timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,651.0,800.0,593.8,272.9
100.0,651.0,807.2,596.6,273.0
200.0,645.0,800.0,593.2,273.7
300.0,651.0,801.7,597.0,271.6
400.0,640.0,812.0,589.0,272.6
500.0,640.0,800.0,589.0,264.4
600.0,651.0,809.8,589.0,271.3
700.0,640.0,812.0,597.0,269.7
800.0,651.0,812.0,597.0,285.5
900.0,651.0,801.4,597.0,275.7
1000.0,643.3,800.0,596.9,285.2
1100.0,651.0,812.0,597.0,277.2
1200.0,646.0,810.9,589.0,272.6
1300.0,647.9,812.0,589.0,278.5
1400.0,640.0,800.0,596.7,260.1
1500.0,640.0,800.1,597.0,289.0
1600.0,646.3,800.0,593.2,270.2
1700.0,651.0,800.0,589.0,268.5
1800.0,640.1,800.7,597.0,270.1
1900.0,640.0,802.9,589.0,263.8
2000.0,640.0,800.0,589.0,274.7
2100.0,651.0,812.0,589.3,263.7
2200.0,651.0,801.2,589.0,284.4
2300.0,640.3,810.6,597.0,281.2
2400.0,651.0,812.0,591.2,273.6
2500.0,643.7,812.0,593.6,276.6
2600.0,640.0,812.0,589.0,275.2
2700.0,645.0,808.3,590.4,277.6
2800.0,640.0,812.0,589.0,275.9
2900.0,651.0,800.0,597.0,272.7
3000.0,645.8,800.0,597.0,262.8
3100.0,642.8,812.0,589.0,271.9
3200.0,646.1,812.0,589.0,274.2
3300.0,647.5,800.0,589.0,277.3
3400.0,651.0,812.0,597.0,273.4
3500.0,640.0,812.0,594.3,281.1
3600.0,651.0,812.0,589.0,272.3
3700.0,643.4,811.6,589.0,279.6
3800.0,640.0,803.4,589.0,277.0
3900.0,640.3,810.9,593.4,272.3
4000.0,643.5,812.0,597.0,279.3
4100.0,651.0,800.0,589.3,277.4
4200.0,648.8,800.0,590.5,274.2
4300.0,642.9,812.0,589.0,291.0
4400.0,649.4,805.3,597.0,271.5
4500.0,644.1,800.0,593.6,280.5
4600.0,644.6,811.4,596.0,277.3
4700.0,640.0,800.0,597.0,266.2
4800.0,641.6,803.8,589.0,284.5
4900.0,641.7,800.0,590.8,267.3
5000.0,640.0,800.0,597.0,275.7
5100.0,646.4,802.5,597.0,271.6
5200.0,640.0,812.0,596.1,273.0
5300.0,648.9,804.0,594.1,275.4
5400.0,640.0,812.0,597.0,279.6
5500.0,651.0,800.0,595.5,280.8
5600.0,651.0,812.0,591.6,276.2
5700.0,641.1,800.0,589.0,260.0
5800.0,651.0,812.0,589.0,274.5
5900.0,643.3,800.0,597.0,275.1
6000.0,648.7,812.0,594.0,268.7
6100.0,648.6,800.0,596.1,266.5
6200.0,640.0,810.9,597.0,279.9
6300.0,651.0,803.8,589.0,273.6
6400.0,648.0,800.0,589.0,291.0
6500.0,651.0,800.0,589.7,272.9
6600.0,640.0,810.9,597.0,273.4
6700.0,649.1,805.0,589.0,274.3
6800.0,640.7,805.4,597.0,272.9
