timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,642.0,816.0,587.1,441.4
100.0,645.2,816.0,581.1,454.9
200.0,642.0,816.0,589.2,446.4
300.0,642.0,821.9,583.7,430.4
400.0,643.9,826.0,582.4,446.1
500.0,642.0,816.0,580.0,430.6
600.0,642.0,816.0,580.9,451.7
700.0,642.0,816.0,580.0,442.6
800.0,646.3,826.0,580.0,458.4
900.0,642.0,816.0,580.0,455.3
1000.0,653.0,817.2,589.4,462.8
1100.0,644.3,826.0,590.0,455.7
1200.0,642.0,826.0,590.0,447.6
1300.0,642.0,820.5,580.2,443.8
1400.0,642.0,816.0,580.0,453.4
1500.0,643.7,826.0,590.0,460.1
1600.0,642.0,826.0,587.6,478.5
1700.0,642.0,826.0,580.8,445.0
1800.0,642.0,816.0,589.6,463.5
1900.0,653.0,816.0,580.0,457.2
2000.0,642.0,826.0,590.0,447.7
2100.0,642.0,826.0,580.0,464.2
2200.0,642.0,816.0,585.4,451.6
2300.0,642.0,816.0,580.0,441.0
2400.0,653.0,826.0,585.1,445.4
2500.0,653.0,818.8,590.0,441.1
2600.0,642.0,816.0,586.3,472.9
2700.0,653.0,818.7,580.0,451.4
2800.0,642.0,826.0,580.0,438.1
2900.0,648.9,826.0,583.2,461.4
3000.0,642.0,816.0,590.0,444.3
3100.0,648.8,825.1,590.0,458.4
3200.0,643.2,816.0,580.0,450.6
3300.0,645.6,816.0,580.8,429.0
3400.0,642.0,816.0,586.6,463.7
3500.0,653.0,816.0,586.6,461.8
3600.0,646.1,816.0,580.0,456.6
3700.0,642.0,820.8,581.0,459.4
3800.0,653.0,816.0,590.0,451.0
3900.0,644.7,826.0,590.0,481.6
4000.0,653.0,819.9,590.0,471.0
4100.0,642.0,826.0,590.0,458.6
4200.0,642.0,826.0,580.0,441.3
4300.0,642.3,816.0,587.8,436.9
4400.0,648.6,826.0,590.0,463.5
4500.0,642.0,826.0,580.0,463.2
4600.0,651.3,826.0,580.0,442.0
4700.0,642.0,821.9,588.9,448.2
4800.0,642.0,816.0,580.0,475.4
4900.0,653.0,826.0,589.7,471.5
5000.0,642.0,822.0,590.0,460.5
5100.0,651.6,816.0,580.0,454.2
5200.0,642.0,822.4,584.0,434.5
5300.0,643.7,819.9,580.0,452.3
5400.0,643.2,816.0,580.0,459.7
5500.0,644.0,816.0,587.3,440.6
5600.0,645.5,826.0,584.0,466.3
5700.0,642.0,826.0,580.0,471.2
5800.0,653.0,826.0,583.7,459.3
5900.0,642.0,816.0,580.0,467.8
6000.0,653.0,825.9,580.0,460.7
6100.0,642.0,826.0,586.6,443.1
6200.0,653.0,825.0,587.4,486.0
6300.0,650.0,818.8,581.6,466.2
6400.0,645.3,826.0,582.5,463.6
6500.0,642.0,826.0,580.0,459.1
6600.0,643.8,816.0,580.5,470.2
6700.0,642.0,816.0,590.0,454.4
6800.0,642.0,816.2,580.0,450.2
6900.0,642.0,821.5,590.0,461.6
7000.0,642.0,816.0,590.0,444.2
7100.0,646.1,816.0,584.3,452.0
7200.0,653.0,816.8,590.0,455.7
7300.0,642.0,816.0,582.4,444.1
7400.0,648.0,818.6,580.0,455.9
7500.0,651.2,824.0,583.5,424.0
7600.0,653.0,816.0,580.0,446.8
7700.0,651.4,820.8,580.8,463.3
7800.0,642.0,816.0,580.9,464.1
7900.0,653.0,816.0,588.3,465.2
8000.0,642.0,826.0,581.2,465.0
8100.0,642.0,826.0,582.8,444.5
8200.0,653.0,816.0,590.0,455.7
8300.0,649.5,816.0,580.0,482.2
8400.0,653.0,826.0,590.0,479.7
8500.0,647.3,826.0,584.1,460.7
8600.0,642.0,825.1,580.4,461.3
8700.0,651.9,826.0,588.7,446.5
8800.0,649.0,818.8,581.6,451.6
8900.0,642.0,824.9,580.0,453.1
9000.0,653.0,816.0,581.7,441.1
9100.0,650.9,818.1,585.3,446.3
9200.0,642.0,816.8,580.1,442.5
9300.0,653.0,826.0,583.6,457.7
9400.0,651.3,822.3,580.0,460.8
9500.0,650.3,826.0,587.6,460.1
9600.0,653.0,826.0,590.0,480.2
9700.0,646.6,826.0,585.0,454.5
9800.0,642.0,816.0,580.0,452.5
9900.0,653.0,825.5,587.8,448.2
10000.0,642.9,816.1,580.0,456.5
10100.0,650.2,826.0,590.0,449.0
10200.0,642.0,816.0,585.8,452.6
10300.0,642.0,826.0,589.8,426.7
10400.0,652.5,826.0,586.1,462.5
10500.0,645.6,821.9,580.0,446.5
10600.0,648.4,826.0,590.0,459.9
10700.0,642.0,826.0,580.0,455.2
10800.0,642.0,826.0,580.0,430.0
10900.0,650.2,816.0,580.0,449.2
11000.0,653.0,816.0,585.2,465.9
11100.0,651.8,816.0,582.2,457.0
11200.0,647.2,818.7,580.0,454.4
11300.0,642.3,825.6,580.0,435.8
11400.0,644.8,822.0,580.0,457.6
11500.0,645.1,816.0,580.0,466.7
11600.0,642.4,826.0,586.7,472.3
11700.0,642.8,826.0,588.2,450.0
11800.0,642.0,817.0,580.7,442.7
11900.0,642.0,818.1,580.0,448.0
12000.0,647.9,826.0,581.7,471.8
12100.0,653.0,816.0,582.3,442.6
12200.0,644.5,816.0,580.0,459.6
12300.0,653.0,823.3,590.0,472.9
12400.0,642.1,816.5,580.4,479.8
12500.0,642.0,817.2,584.9,442.8
12600.0,644.4,819.3,583.0,469.7
12700.0,642.0,826.0,590.0,471.5
12800.0,642.0,816.0,580.0,451.3
12900.0,642.4,826.0,586.7,467.6
13000.0,642.0,816.0,589.1,451.9
13100.0,642.0,816.0,583.4,453.2
13200.0,643.9,816.0,588.8,427.3
13300.0,651.3,816.0,590.0,463.7
13400.0,642.0,825.6,580.0,449.1
13500.0,648.0,816.0,580.0,460.6
13600.0,651.1,817.6,590.0,463.2
13700.0,642.0,816.0,590.0,454.9
13800.0,647.3,826.0,583.3,470.4
13900.0,642.0,822.1,588.8,460.5
14000.0,642.0,826.0,580.0,448.5
14100.0,653.0,826.0,589.9,468.1
14200.0,642.0,819.9,583.2,453.5
14300.0,642.0,816.0,584.3,430.2
14400.0,645.0,826.0,580.0,452.9
14500.0,653.0,818.9,580.0,433.9
14600.0,642.0,817.8,580.5,477.1
14700.0,653.0,826.0,590.0,445.1
14800.0,652.7,816.0,584.3,444.1
14900.0,652.8,816.0,581.6,455.3
15000.0,645.0,816.0,582.9,465.3
15100.0,651.2,816.0,580.0,449.1
15200.0,642.0,826.0,590.0,461.7
15300.0,652.9,816.0,583.1,470.7
15400.0,653.0,818.4,590.0,476.3
15500.0,642.0,826.0,583.3,469.7
15600.0,642.0,816.8,580.0,429.8
15700.0,653.0,816.0,582.6,459.7
15800.0,642.0,826.0,580.0,472.8
15900.0,653.0,826.0,580.0,469.8
16000.0,653.0,816.0,590.0,462.7
16100.0,648.0,817.0,590.0,457.5
16200.0,643.4,826.0,581.2,456.6
16300.0,650.4,823.4,590.0,453.2
16400.0,646.6,816.0,580.0,451.6
16500.0,653.0,821.5,587.1,458.8
16600.0,642.0,816.0,586.0,434.1
16700.0,642.0,826.0,580.0,461.8
16800.0,642.0,826.0,585.2,460.2
16900.0,648.7,816.0,590.0,462.0
17000.0,642.3,826.0,585.1,485.0
17100.0,651.3,820.3,590.0,455.6
17200.0,653.0,816.0,580.0,451.9
17300.0,642.0,816.0,580.0,453.1
17400.0,653.0,816.0,580.0,461.6
17500.0,649.2,816.0,580.2,466.9
17600.0,644.4,816.0,590.0,461.1
17700.0,653.0,816.0,580.0,453.9
17800.0,653.0,826.0,583.9,440.1
17900.0,647.3,816.0,580.0,476.3
18000.0,653.0,826.0,580.0,460.9
18100.0,649.1,816.0,583.2,479.9
18200.0,650.4,816.0,580.0,476.2
18300.0,653.0,823.3,580.0,469.3
18400.0,648.6,826.0,580.0,440.7
18500.0,651.2,816.0,580.0,444.4
18600.0,642.0,826.0,581.5,452.0
18700.0,644.0,820.7,580.0,448.8
18800.0,642.0,826.0,580.0,444.8
18900.0,642.0,824.3,585.6,443.0
19000.0,653.0,826.0,590.0,451.3
19100.0,642.0,826.0,589.6,467.9
19200.0,647.1,826.0,583.6,481.1
19300.0,653.0,822.8,580.0,455.9
19400.0,642.0,816.0,580.0,474.0
19500.0,645.6,816.0,580.0,462.6
19600.0,652.2,816.0,587.3,450.8
19700.0,653.0,824.5,590.0,458.3
19800.0,651.4,817.6,590.0,456.3
19900.0,642.0,826.0,590.0,468.1
20000.0,653.0,816.0,590.0,470.9
20100.0,648.7,816.0,590.0,434.0
20200.0,642.0,822.9,584.4,450.3
20300.0,642.0,816.0,588.1,455.8
20400.0,642.0,816.0,586.1,446.0
20500.0,642.1,826.0,586.5,450.6
20600.0,642.0,820.4,580.0,448.2
20700.0,642.0,826.0,580.0,456.6
20800.0,653.0,818.7,583.9,444.2
20900.0,653.0,826.0,590.0,466.6
21000.0,651.3,816.0,580.0,456.7
21100.0,653.0,816.0,590.0,479.1
21200.0,643.8,816.0,588.5,447.8
21300.0,651.8,816.0,590.0,456.6
21400.0,642.0,826.0,584.5,456.6
21500.0,648.1,816.0,588.7,429.9
21600.0,642.0,816.0,580.0,437.8
21700.0,642.0,816.0,580.0,455.7
21800.0,646.7,826.0,580.0,424.0
21900.0,651.8,826.0,589.6,486.0
22000.0,653.0,816.0,590.0,470.6
