timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,641.6,837.0,577.0,471.1
100.0,644.2,820.8,585.0,483.1
200.0,648.2,822.8,571.3,432.9
300.0,633.0,817.7,564.0,398.8
400.0,633.0,817.1,580.6,420.8
500.0,640.1,803.6,564.0,391.3
600.0,646.2,820.6,569.4,397.7
700.0,655.0,833.1,582.8,466.7
800.0,650.0,800.0,564.0,423.6
900.0,639.2,800.0,564.0,403.9
1000.0,643.5,817.8,570.1,395.6
1100.0,633.0,800.0,570.3,394.5
1200.0,647.7,800.9,581.8,405.2
1300.0,633.0,800.0,568.3,403.7
1400.0,640.9,824.9,578.6,477.7
1500.0,645.1,803.8,571.2,454.8
1600.0,633.0,800.0,564.0,410.3
1700.0,649.6,817.6,568.1,395.1
1800.0,633.0,811.5,564.0,388.0
1900.0,645.4,805.6,566.3,400.8
2000.0,640.5,808.2,564.0,423.5
2100.0,646.2,801.8,575.5,401.0
2200.0,633.4,823.9,573.6,441.8
2300.0,651.7,834.0,586.0,469.9
2400.0,649.2,835.7,581.3,490.2
2500.0,642.7,837.0,589.1,484.0
2600.0,650.2,822.3,585.2,467.4
2700.0,633.0,801.7,584.3,454.6
2800.0,633.0,800.0,565.3,394.8
2900.0,635.6,837.0,578.7,456.9
3000.0,635.2,814.2,564.0,392.8
3100.0,648.8,803.8,564.6,393.8
3200.0,633.0,802.5,575.2,407.2
3300.0,654.7,827.3,587.5,469.0
3400.0,655.0,833.2,581.5,495.0
3500.0,633.0,800.0,572.3,418.4
3600.0,647.4,816.4,578.1,394.3
3700.0,639.2,800.0,567.1,413.8
3800.0,642.0,807.4,581.7,442.8
3900.0,633.0,819.6,564.0,402.3
4000.0,643.8,810.3,577.9,400.7
4100.0,637.2,830.7,582.3,457.9
4200.0,652.4,815.4,591.0,457.4
4300.0,636.1,800.0,564.0,392.4
4400.0,639.0,834.8,571.7,469.7
4500.0,634.9,800.0,565.4,395.4
4600.0,634.8,803.9,568.6,411.4
4700.0,651.3,821.4,582.0,445.3
4800.0,633.0,817.3,575.6,402.4
4900.0,640.7,813.2,576.4,452.0
5000.0,646.2,814.8,571.3,396.8
5100.0,647.3,821.6,564.0,394.9
5200.0,633.0,826.0,564.9,417.5
5300.0,647.9,800.0,574.2,395.7
5400.0,633.0,825.4,578.9,463.0
5500.0,637.2,801.5,577.1,405.8
5600.0,644.5,812.4,573.3,426.3
5700.0,633.0,814.9,577.9,409.5
5800.0,635.7,837.0,568.8,459.2
5900.0,643.1,817.6,568.0,390.1
6000.0,641.4,822.9,566.4,404.0
6100.0,633.0,813.4,580.5,418.0
6200.0,647.3,825.0,589.7,463.0
6300.0,633.0,804.2,564.0,411.9
6400.0,638.8,802.6,564.0,392.2
6500.0,644.5,819.3,573.0,436.2
6600.0,644.6,829.6,591.0,460.6
6700.0,633.0,800.0,569.0,397.1
6800.0,635.0,806.3,584.2,433.9
6900.0,639.7,800.0,564.0,433.8
7000.0,633.0,811.1,572.5,389.2
7100.0,637.7,802.1,573.5,406.1
7200.0,649.1,802.8,582.9,430.0
7300.0,633.0,804.9,581.3,442.8
7400.0,633.0,811.0,564.0,397.6
7500.0,633.0,815.1,571.9,401.8
7600.0,633.0,800.0,564.0,388.8
7700.0,654.6,832.9,582.5,472.3
7800.0,633.0,808.3,564.0,395.8
7900.0,640.4,801.7,564.0,406.7
8000.0,633.0,805.2,564.0,424.4
8100.0,646.9,837.0,579.3,487.2
8200.0,643.5,809.1,586.2,433.5
8300.0,633.0,817.9,564.0,423.2
8400.0,637.9,832.3,573.8,461.6
8500.0,646.3,819.8,575.3,403.1
8600.0,644.5,818.8,564.0,405.1
8700.0,655.0,837.0,589.8,461.2
8800.0,639.4,802.8,578.0,404.5
8900.0,652.2,821.9,577.4,472.2
9000.0,635.3,816.4,568.3,394.9
9100.0,645.5,800.0,575.9,397.9
9200.0,633.0,803.2,579.4,417.7
9300.0,650.3,824.3,578.8,479.4
9400.0,639.0,816.8,564.8,403.3
9500.0,633.0,809.7,574.4,406.1
9600.0,640.4,824.3,578.4,465.7
9700.0,633.0,810.4,572.2,399.0
9800.0,633.0,803.1,574.2,388.5
9900.0,636.3,810.7,587.1,449.9
10000.0,633.0,800.0,575.0,413.9
10100.0,633.0,801.6,573.2,436.3
10200.0,646.0,800.0,564.0,392.2
10300.0,642.8,834.9,588.2,484.1
10400.0,645.6,800.0,564.0,395.5
10500.0,647.9,815.3,572.8,402.7
10600.0,653.4,810.9,577.4,407.4
10700.0,644.3,800.9,565.9,446.7
10800.0,642.2,817.4,571.3,424.3
10900.0,638.7,809.5,578.3,417.1
11000.0,655.0,822.7,582.9,462.3
11100.0,635.6,810.1,568.2,405.3
11200.0,634.9,810.8,565.9,405.8
11300.0,649.7,830.4,582.5,477.7
11400.0,648.5,800.7,569.0,396.8
11500.0,638.4,824.6,564.0,412.7
11600.0,646.6,803.6,568.8,398.5
11700.0,633.0,804.6,569.4,448.4
11800.0,639.6,815.0,570.3,424.0
11900.0,635.6,823.7,567.2,456.8
12000.0,633.0,803.2,572.8,414.5
12100.0,640.6,823.5,575.3,468.3
12200.0,636.2,806.7,564.0,405.6
12300.0,647.4,800.0,564.0,395.3
12400.0,650.1,826.1,568.0,404.7
12500.0,633.0,822.5,578.0,461.4
12600.0,641.3,815.5,574.4,388.0
12700.0,655.0,822.9,581.8,474.1
12800.0,639.9,807.4,579.1,408.9
12900.0,642.9,815.4,570.8,398.8
