timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,677.5,844.0,616.0,494.6
100.0,669.8,839.3,616.0,473.1
200.0,669.0,823.0,597.0,455.9
300.0,683.0,838.1,601.8,478.0
400.0,676.0,823.6,611.0,462.6
500.0,677.3,838.5,611.8,462.7
600.0,683.0,823.0,597.0,463.9
700.0,683.0,835.0,604.8,453.3
800.0,670.1,844.0,604.8,490.2
900.0,669.0,833.2,601.7,476.8
1000.0,683.0,844.0,616.0,462.9
1100.0,683.0,823.0,610.4,460.3
1200.0,683.0,835.2,604.1,498.0
1300.0,673.2,841.9,610.9,470.0
1400.0,675.8,823.0,597.0,451.0
1500.0,673.0,823.0,605.6,462.5
1600.0,669.0,841.7,597.0,472.4
1700.0,683.0,823.0,597.0,461.0
1800.0,683.0,823.0,607.3,482.6
1900.0,683.0,844.0,609.2,491.4
2000.0,680.3,843.9,604.6,504.0
2100.0,675.7,823.0,597.0,459.9
2200.0,683.0,832.9,608.1,450.0
2300.0,677.7,828.8,604.2,454.2
2400.0,681.3,825.3,599.8,473.2
2500.0,676.1,824.5,597.0,439.0
2600.0,679.5,842.4,611.8,467.0
2700.0,681.6,839.1,615.6,450.9
2800.0,675.6,823.0,616.0,472.9
2900.0,683.0,827.8,609.3,460.0
3000.0,672.4,823.0,609.7,456.1
3100.0,683.0,844.0,607.2,476.0
3200.0,670.8,823.0,612.5,466.8
3300.0,683.0,830.3,609.8,468.5
3400.0,669.0,832.0,614.2,450.6
3500.0,669.0,842.9,600.8,456.1
3600.0,673.7,823.0,605.5,462.4
3700.0,669.0,823.0,614.3,475.5
3800.0,669.0,823.0,599.1,448.3
3900.0,677.3,840.9,600.0,448.6
4000.0,676.6,840.6,605.9,469.5
4100.0,676.8,830.0,616.0,474.9
4200.0,683.0,827.8,604.9,488.0
4300.0,669.0,836.3,604.0,474.2
4400.0,677.3,829.7,599.0,473.4
4500.0,669.3,837.2,612.7,439.0
4600.0,669.0,843.3,603.2,469.6
4700.0,669.0,826.6,608.0,466.7
4800.0,669.0,823.0,599.8,451.9
4900.0,669.0,824.0,603.3,445.3
5000.0,676.4,823.0,600.4,462.8
5100.0,669.0,835.2,616.0,472.4
5200.0,676.6,823.0,616.0,464.5
5300.0,683.0,823.0,615.0,468.1
5400.0,669.0,843.9,607.4,449.3
5500.0,681.8,826.0,604.3,462.1
5600.0,683.0,839.4,603.0,449.4
5700.0,681.8,832.8,615.6,462.1
5800.0,683.0,823.0,611.0,475.2
5900.0,683.0,832.9,610.7,477.3
6000.0,678.3,823.0,597.0,448.3
6100.0,683.0,834.5,603.4,461.9
6200.0,683.0,844.0,616.0,470.4
6300.0,683.0,844.0,602.9,461.3
6400.0,683.0,840.7,604.3,474.3
6500.0,679.6,844.0,614.2,500.5
6600.0,672.1,827.7,603.2,450.4
6700.0,670.0,836.6,604.3,467.8
6800.0,669.0,823.0,611.0,458.4
6900.0,670.7,823.0,605.7,455.4
7000.0,682.9,839.1,616.0,453.5
7100.0,677.4,832.0,616.0,492.3
7200.0,671.4,837.2,598.2,467.3
7300.0,681.4,823.0,606.3,474.3
7400.0,681.3,823.0,612.0,444.6
7500.0,669.9,824.4,616.0,454.6
7600.0,681.6,823.0,616.0,463.4
7700.0,683.0,831.5,597.0,461.8
7800.0,673.7,829.0,597.0,475.2
7900.0,683.0,824.4,603.7,454.9
8000.0,682.2,842.3,613.1,471.4
8100.0,669.0,839.7,616.0,467.4
8200.0,669.0,826.4,608.9,463.2
8300.0,682.5,823.0,597.4,477.7
8400.0,676.3,823.0,606.3,475.9
8500.0,678.4,841.5,613.2,504.0
8600.0,669.0,844.0,602.9,463.2
8700.0,679.6,839.6,611.2,477.3
8800.0,669.0,823.0,597.0,451.7
8900.0,669.0,824.8,597.0,456.5
9000.0,669.0,835.5,615.7,473.7
9100.0,674.8,842.2,616.0,463.4
9200.0,669.6,837.3,610.5,450.6
9300.0,670.7,827.2,608.5,452.9
9400.0,675.4,833.0,601.6,468.6
9500.0,669.0,839.0,614.4,461.4
9600.0,670.1,827.9,616.0,485.7
9700.0,669.0,826.9,612.4,461.7
9800.0,676.6,843.0,615.7,467.9
9900.0,669.0,831.4,605.8,464.4
10000.0,669.0,844.0,616.0,478.5
10100.0,683.0,823.0,603.1,480.7
10200.0,683.0,830.8,613.6,462.6
10300.0,672.4,844.0,603.8,463.4
10400.0,680.6,831.4,616.0,481.1
10500.0,683.0,844.0,616.0,488.0
10600.0,678.5,826.4,597.3,453.8
10700.0,682.2,824.9,597.0,465.8
10800.0,672.8,830.9,609.8,449.7
10900.0,676.3,823.0,597.0,455.3
11000.0,672.9,823.0,608.7,464.8
11100.0,669.0,824.0,602.6,460.7
11200.0,669.0,844.0,614.2,454.9
11300.0,669.0,825.2,609.3,451.5
11400.0,669.0,844.0,616.0,448.7
11500.0,669.0,823.0,610.4,471.2
11600.0,679.5,833.5,615.3,500.3
11700.0,669.0,825.9,615.8,467.0
11800.0,680.9,823.0,597.0,461.5
11900.0,669.0,827.7,598.0,468.6
12000.0,669.0,842.7,607.7,462.4
12100.0,679.7,839.5,599.9,446.0
12200.0,681.3,833.0,612.7,486.3
12300.0,671.7,823.0,604.7,448.5
12400.0,669.0,823.0,598.1,442.5
12500.0,669.0,823.0,597.0,459.2
12600.0,669.0,823.0,614.6,448.5
12700.0,683.0,843.6,600.0,461.4
12800.0,683.0,827.4,613.3,457.2
12900.0,669.0,829.6,609.0,452.9
13000.0,682.8,832.4,616.0,468.0
13100.0,669.0,830.6,615.6,504.0
13200.0,683.0,828.6,607.0,481.3
13300.0,669.0,843.3,608.8,471.5
13400.0,680.8,823.0,600.2,470.1
13500.0,669.0,823.0,600.6,454.8
13600.0,679.6,823.0,597.0,450.5
13700.0,683.0,826.8,603.6,479.8
13800.0,677.6,840.3,602.8,461.1
13900.0,675.5,835.8,608.3,469.0
14000.0,676.7,844.0,606.1,478.4
14100.0,681.6,830.9,599.1,463.3
14200.0,674.6,823.0,597.0,457.3
14300.0,677.1,836.2,599.1,483.4
14400.0,679.6,843.6,608.9,474.0
14500.0,680.3,843.7,610.6,468.1
14600.0,670.8,833.5,612.7,462.1
14700.0,683.0,844.0,616.0,483.4
14800.0,669.0,844.0,605.9,455.4
14900.0,669.0,834.8,602.4,454.5
15000.0,676.9,844.0,614.4,494.7
15100.0,682.5,829.5,597.0,452.1
15200.0,669.2,834.6,597.0,456.1
15300.0,683.0,823.0,616.0,467.8
15400.0,677.3,823.0,597.0,454.7
15500.0,680.5,838.8,614.9,457.1
15600.0,683.0,823.0,602.5,450.4
15700.0,669.0,823.0,608.5,441.3
15800.0,683.0,844.0,605.3,471.4
15900.0,669.0,838.6,606.0,467.9
16000.0,673.2,823.0,616.0,469.8
16100.0,669.0,823.0,597.8,445.1
16200.0,669.0,844.0,608.0,471.8
16300.0,680.0,838.8,597.0,455.8
16400.0,669.0,842.3,609.6,467.7
16500.0,683.0,839.3,616.0,489.1
16600.0,669.0,831.3,615.0,478.7
16700.0,669.0,838.0,604.3,458.5
16800.0,669.0,823.0,597.0,466.7
16900.0,681.2,832.5,611.4,457.4
17000.0,669.0,839.4,605.6,453.1
17100.0,682.1,823.7,599.0,463.6
17200.0,669.0,839.3,597.0,449.8
17300.0,669.0,825.7,597.0,468.8
17400.0,669.0,829.3,600.6,466.4
17500.0,683.0,843.5,616.0,467.9
17600.0,681.7,831.3,616.0,478.0
17700.0,678.8,825.2,597.6,463.1
17800.0,683.0,829.5,614.2,456.1
17900.0,675.3,844.0,599.1,459.9
18000.0,671.2,844.0,597.0,461.4
18100.0,675.2,826.0,613.5,466.0
18200.0,669.0,823.0,612.2,462.0
18300.0,669.0,836.9,607.1,461.1
18400.0,671.5,829.1,616.0,444.8
18500.0,683.0,844.0,616.0,500.4
18600.0,673.9,823.0,598.5,467.3
18700.0,669.0,827.2,616.0,476.3
18800.0,669.0,844.0,607.0,466.1
18900.0,669.0,832.6,600.4,456.3
19000.0,676.9,832.9,616.0,466.3
19100.0,676.1,844.0,616.0,460.8
19200.0,678.3,823.1,597.0,458.4
19300.0,682.0,844.0,614.3,453.2
19400.0,669.0,844.0,612.2,468.1
19500.0,675.3,825.0,600.8,442.7
19600.0,679.4,824.1,605.9,457.7
19700.0,681.0,827.8,597.0,453.0
19800.0,683.0,830.5,614.6,459.3
19900.0,674.2,837.8,601.1,465.9
20000.0,674.0,823.0,601.1,461.8
20100.0,669.0,824.7,612.1,472.6
20200.0,678.8,823.0,600.7,472.1
20300.0,669.0,830.8,616.0,468.0
20400.0,669.0,836.9,605.2,471.3
20500.0,669.0,823.0,602.7,463.7
20600.0,671.7,844.0,613.6,501.5
20700.0,669.0,823.6,607.2,472.3
20800.0,673.3,825.4,605.7,465.8
20900.0,683.0,839.5,615.3,453.5
21000.0,672.9,844.0,613.8,492.0
21100.0,675.9,844.0,606.0,470.9
21200.0,678.6,837.4,612.8,453.9
21300.0,670.3,839.0,606.4,484.8
21400.0,669.0,832.7,605.4,447.2
21500.0,669.0,829.6,613.9,463.9
21600.0,683.0,823.8,616.0,489.4
21700.0,677.8,835.1,611.3,465.7
21800.0,669.0,823.0,613.1,471.8
21900.0,683.0,832.7,611.6,468.9
22000.0,683.0,823.0,597.0,466.6
22100.0,683.0,831.7,600.8,457.4
22200.0,677.9,839.8,597.3,468.9
22300.0,683.0,823.0,603.0,462.1
22400.0,683.0,837.7,598.4,463.4
22500.0,669.0,835.4,601.9,481.9
22600.0,669.0,832.3,597.2,464.5
22700.0,670.2,824.0,607.8,450.2
22800.0,683.0,837.2,607.1,455.9
22900.0,681.1,836.2,616.0,477.4
23000.0,676.7,844.0,602.1,479.2
23100.0,675.2,832.9,604.1,451.3
23200.0,671.5,834.7,600.9,460.0
23300.0,669.0,823.0,597.0,471.5
23400.0,669.0,829.4,603.7,468.0
23500.0,669.0,828.5,597.0,462.4
23600.0,669.0,823.0,601.8,453.4
23700.0,677.7,823.0,615.6,466.0
23800.0,674.3,833.3,597.0,472.1
23900.0,677.6,839.0,607.9,453.8
24000.0,675.3,823.0,597.0,457.6
24100.0,678.4,823.0,597.0,440.8
24200.0,683.0,840.3,611.7,458.8
24300.0,669.0,841.9,615.5,461.8
24400.0,678.1,830.0,610.2,460.6
24500.0,669.0,827.7,610.9,450.8
24600.0,669.0,828.9,606.8,458.9
24700.0,675.0,832.6,608.0,468.0
24800.0,669.0,829.2,616.0,488.8
24900.0,672.1,823.0,602.9,457.1
25000.0,678.8,844.0,616.0,455.0
25100.0,669.0,844.0,604.7,468.4
25200.0,669.0,836.2,597.0,460.6
25300.0,669.0,823.0,597.0,439.7
25400.0,669.0,828.1,616.0,466.9
25500.0,677.1,823.0,597.7,463.5
25600.0,669.0,823.0,611.2,449.3
25700.0,683.0,844.0,616.0,487.1
25800.0,678.8,823.0,611.8,464.4
25900.0,670.7,837.5,603.9,475.0
26000.0,669.0,841.9,616.0,484.4
26100.0,669.0,836.7,609.0,478.5
26200.0,681.5,833.6,610.4,494.3
26300.0,670.3,836.0,609.5,457.0
26400.0,680.6,835.0,613.7,474.7
26500.0,673.5,823.0,601.5,454.9
26600.0,683.0,842.7,607.5,492.2
26700.0,675.3,840.0,613.1,450.1
26800.0,669.0,823.0,600.6,461.3
26900.0,669.0,844.0,608.3,455.1
27000.0,669.7,828.7,597.0,449.1
27100.0,669.0,823.0,615.3,457.8
27200.0,669.0,836.5,613.6,451.5
27300.0,679.8,837.1,609.7,488.0
27400.0,683.0,844.0,603.1,466.1
27500.0,669.0,828.1,603.3,450.1
27600.0,683.0,823.2,605.7,477.9
27700.0,680.6,844.0,606.3,457.2
27800.0,669.0,844.0,616.0,447.3
27900.0,683.0,844.0,612.2,448.8
28000.0,676.6,837.9,597.0,476.2
28100.0,681.7,842.2,598.4,474.9
28200.0,669.0,831.6,597.0,455.4
28300.0,674.5,823.0,605.2,461.4
28400.0,669.0,844.0,610.6,458.6
28500.0,679.3,823.0,612.4,462.3
28600.0,671.8,823.0,597.0,465.5
28700.0,669.0,831.3,612.5,455.3
28800.0,669.0,823.0,604.4,447.9
28900.0,670.6,841.4,601.7,467.0
29000.0,678.4,844.0,604.7,445.2
29100.0,674.3,823.0,600.6,455.7
29200.0,673.0,823.6,602.4,469.9
29300.0,669.0,825.6,601.4,467.3
29400.0,669.0,823.0,612.8,454.4
29500.0,669.0,823.0,597.0,467.6
29600.0,675.0,833.9,615.5,471.1
29700.0,670.0,838.6,597.5,461.6
29800.0,669.0,823.0,597.0,462.7
29900.0,675.5,823.0,602.8,472.4
30000.0,679.3,837.2,598.9,473.4
30100.0,682.6,823.0,597.0,450.0
30200.0,669.0,844.0,601.6,459.9
30300.0,670.2,836.0,616.0,504.0
30400.0,674.6,823.0,597.0,451.5
30500.0,675.2,838.9,606.8,477.3
30600.0,671.5,835.1,597.0,464.6
30700.0,679.5,826.9,601.6,449.4
30800.0,683.0,825.3,607.3,478.5
