timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,659.0,832.0,603.8,441.3
100.0,664.0,817.0,604.0,449.5
200.0,664.2,817.0,596.6,454.0
300.0,670.0,817.0,594.2,453.7
400.0,659.0,817.0,600.4,441.1
500.0,660.5,817.0,599.5,431.0
600.0,669.7,834.0,604.0,465.2
700.0,659.0,817.0,591.0,469.3
800.0,668.4,817.0,603.2,452.9
900.0,659.2,828.6,603.7,457.4
1000.0,659.0,817.0,594.5,455.7
1100.0,659.0,829.1,604.0,465.7
1200.0,670.0,817.0,591.0,447.8
1300.0,661.8,834.0,604.0,468.1
1400.0,670.0,830.8,596.6,454.2
1500.0,670.0,827.3,591.0,456.1
1600.0,662.6,820.2,604.0,449.8
1700.0,667.9,817.0,595.0,455.6
1800.0,666.3,828.0,599.3,453.7
1900.0,659.0,834.0,597.5,463.1
2000.0,659.0,821.1,604.0,454.1
2100.0,664.3,822.2,591.0,461.7
2200.0,659.0,817.0,601.1,462.4
2300.0,670.0,822.6,597.9,450.1
2400.0,670.0,834.0,604.0,463.4
2500.0,670.0,827.4,597.9,464.5
2600.0,659.0,817.0,604.0,436.9
2700.0,667.3,834.0,598.2,453.2
2800.0,670.0,817.0,604.0,450.1
2900.0,659.0,831.7,591.0,467.9
3000.0,659.0,817.0,595.7,454.8
3100.0,670.0,820.3,599.6,441.3
3200.0,659.0,822.4,591.1,439.8
3300.0,659.0,834.0,601.6,468.4
3400.0,670.0,825.4,593.3,468.7
3500.0,659.0,828.7,602.5,432.7
3600.0,670.0,817.0,591.0,454.0
3700.0,670.0,817.0,598.9,461.8
3800.0,669.9,817.0,591.0,462.2
3900.0,670.0,833.2,604.0,454.1
4000.0,659.0,819.3,597.6,469.7
4100.0,661.1,820.5,603.7,476.6
4200.0,661.9,834.0,604.0,471.5
4300.0,659.0,817.0,593.7,455.2
4400.0,665.5,827.3,603.2,440.9
4500.0,659.0,834.0,599.6,462.3
4600.0,659.0,817.6,591.0,449.7
4700.0,659.0,817.0,591.0,460.3
4800.0,670.0,834.0,604.0,464.8
4900.0,670.0,824.5,604.0,469.6
5000.0,661.6,825.0,594.3,431.0
5100.0,659.6,817.0,591.0,462.6
5200.0,670.0,834.0,595.4,464.2
5300.0,659.0,832.0,604.0,478.4
5400.0,659.0,831.4,599.4,451.7
5500.0,659.0,826.9,604.0,454.2
5600.0,659.0,834.0,591.0,467.9
5700.0,666.0,827.3,604.0,463.3
5800.0,668.1,834.0,604.0,469.0
5900.0,663.0,834.0,596.8,461.0
6000.0,659.0,832.5,595.7,442.7
6100.0,664.4,826.9,604.0,454.9
6200.0,659.0,827.5,603.5,454.8
6300.0,669.8,817.0,591.0,448.2
6400.0,660.7,827.5,604.0,449.1
6500.0,670.0,833.4,604.0,449.8
6600.0,670.0,834.0,604.0,462.0
6700.0,667.1,817.0,599.4,462.8
6800.0,659.0,817.0,604.0,442.6
6900.0,665.4,817.0,591.0,456.6
7000.0,659.0,819.7,602.0,446.2
7100.0,660.3,826.8,604.0,457.9
7200.0,668.0,817.0,591.0,465.6
7300.0,660.3,817.0,604.0,464.1
7400.0,670.0,834.0,602.0,453.2
7500.0,659.0,834.0,592.9,480.3
7600.0,659.0,817.0,602.4,459.7
7700.0,659.8,817.0,604.0,457.1
7800.0,660.1,826.3,591.8,434.4
7900.0,661.3,817.0,598.8,440.2
8000.0,668.3,825.9,604.0,449.4
8100.0,670.0,824.7,597.1,438.1
8200.0,664.5,832.3,591.9,462.0
8300.0,665.5,817.0,591.0,440.7
8400.0,670.0,834.0,598.5,456.8
8500.0,659.0,834.0,591.0,442.2
8600.0,659.0,820.5,591.0,437.0
8700.0,670.0,830.8,594.5,455.1
8800.0,670.0,834.0,596.6,483.2
8900.0,662.4,821.5,592.7,442.7
9000.0,659.0,817.0,604.0,448.5
9100.0,659.0,834.0,604.0,462.8
9200.0,659.0,833.3,594.6,447.1
9300.0,662.9,819.7,591.0,463.6
9400.0,670.0,834.0,595.5,457.7
9500.0,659.0,817.0,591.0,455.8
9600.0,662.1,834.0,601.1,467.3
9700.0,670.0,830.7,591.1,465.0
9800.0,666.0,834.0,598.2,468.0
9900.0,663.0,824.2,591.1,444.6
10000.0,659.0,822.0,593.1,458.3
10100.0,659.0,826.7,604.0,462.5
