timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,582.0,937.0,645.6,750.4
100.0,578.0,926.0,637.0,744.1
200.0,587.0,937.0,652.0,755.0
300.0,579.2,926.0,639.5,736.3
400.0,582.9,935.9,652.0,755.0
500.0,583.5,937.0,647.2,754.9
600.0,578.0,926.0,647.2,716.6
700.0,582.9,937.0,640.9,745.2
800.0,587.0,926.0,652.0,732.1
900.0,584.2,931.9,652.0,738.1
1000.0,578.0,937.0,649.6,755.0
1100.0,580.0,928.0,640.6,720.4
1200.0,587.0,926.0,652.0,732.5
1300.0,578.0,930.4,642.0,741.2
1400.0,586.5,926.0,641.4,752.8
1500.0,578.0,926.0,645.1,700.7
1600.0,583.6,937.0,638.1,740.4
1700.0,579.2,936.6,652.0,741.5
1800.0,587.0,926.0,652.0,743.3
1900.0,578.3,932.1,643.6,750.4
2000.0,578.0,926.0,649.2,750.9
2100.0,584.5,933.2,637.0,738.5
2200.0,586.1,937.0,649.6,746.7
2300.0,587.0,937.0,646.2,744.5
2400.0,578.0,937.0,652.0,735.0
2500.0,582.9,926.0,652.0,745.7
2600.0,578.0,927.3,639.4,749.2
2700.0,587.0,926.0,648.2,735.0
2800.0,578.0,932.5,650.9,734.4
2900.0,578.0,930.1,652.0,744.2
3000.0,578.0,926.0,652.0,728.2
3100.0,579.8,937.0,638.5,755.0
3200.0,583.3,926.0,652.0,742.0
3300.0,587.0,935.5,652.0,726.2
3400.0,587.0,937.0,652.0,750.0
3500.0,587.0,926.0,652.0,750.4
3600.0,582.8,937.0,652.0,737.9
3700.0,578.0,930.2,639.9,749.2
3800.0,587.0,926.0,652.0,744.9
3900.0,578.0,937.0,641.9,728.4
4000.0,578.0,932.3,643.2,754.8
4100.0,578.0,926.0,650.2,749.5
4200.0,578.9,937.0,652.0,740.2
4300.0,585.3,931.4,637.0,738.9
4400.0,582.3,930.2,644.2,738.2
4500.0,587.0,926.0,637.0,705.0
4600.0,583.4,928.3,637.0,733.5
4700.0,578.0,926.0,651.2,719.8
4800.0,587.0,937.0,652.0,732.0
4900.0,582.2,931.9,648.4,755.0
5000.0,578.0,937.0,637.7,746.4
5100.0,580.0,937.0,652.0,732.5
5200.0,587.0,926.0,652.0,733.5
5300.0,578.0,931.4,652.0,729.7
5400.0,587.0,934.1,652.0,727.0
5500.0,587.0,937.0,652.0,726.7
5600.0,578.0,928.8,639.5,738.2
5700.0,586.1,937.0,641.7,734.3
5800.0,585.3,937.0,650.4,743.4
5900.0,578.0,926.0,646.3,696.0
6000.0,583.1,926.0,638.1,738.2
6100.0,578.0,926.0,637.0,703.7
6200.0,585.9,926.0,652.0,755.0
6300.0,578.0,937.0,637.0,748.3
6400.0,578.4,926.0,651.1,755.0
6500.0,578.0,937.0,641.1,696.0
6600.0,585.4,926.0,637.9,710.2
6700.0,586.1,927.5,644.2,708.7
6800.0,587.0,935.4,646.4,753.0
6900.0,583.5,937.0,647.3,701.1
7000.0,587.0,935.4,640.1,753.9
7100.0,587.0,926.0,652.0,749.6
7200.0,584.8,926.0,640.9,743.4
7300.0,584.6,937.0,647.7,746.6
7400.0,584.1,937.0,642.5,755.0
7500.0,578.0,937.0,648.7,707.4
7600.0,584.6,937.0,652.0,743.5
7700.0,581.7,926.0,647.0,741.1
7800.0,583.9,926.0,637.0,701.4
7900.0,580.2,931.7,652.0,749.2
8000.0,587.0,937.0,638.8,701.4
8100.0,578.0,932.7,637.0,739.8
8200.0,587.0,937.0,644.5,743.5
8300.0,578.0,932.1,652.0,748.5
8400.0,587.0,937.0,642.5,696.0
