timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,715.4,923.5,771.5,638.0
100.0,752.7,959.0,787.1,722.8
200.0,695.9,910.0,726.8,450.6
300.0,678.0,927.9,723.0,412.1
400.0,723.5,946.9,782.9,526.7
500.0,734.8,937.4,761.4,643.3
600.0,733.1,950.7,763.1,661.7
700.0,697.2,928.0,730.2,442.6
800.0,699.2,918.0,745.6,421.4
900.0,710.9,919.0,760.2,545.6
1000.0,747.6,940.3,759.4,710.6
1100.0,678.0,910.0,737.2,443.0
1200.0,685.0,910.6,746.3,424.5
1300.0,686.3,921.7,748.4,484.3
1400.0,692.7,928.9,733.2,445.5
1500.0,699.7,926.6,734.5,448.6
1600.0,678.0,923.5,734.9,412.0
1700.0,719.2,928.7,792.9,609.1
1800.0,705.4,919.1,748.4,479.5
1900.0,678.9,926.6,744.5,420.8
2000.0,720.1,953.8,747.5,513.7
2100.0,691.8,922.5,743.7,464.9
2200.0,679.5,910.0,732.0,433.2
2300.0,703.2,937.2,746.3,495.1
2400.0,690.4,916.1,737.5,502.1
2500.0,738.4,942.5,768.8,573.7
2600.0,701.5,914.0,726.1,419.3
2700.0,680.8,913.1,729.6,466.0
2800.0,687.5,910.0,729.3,470.6
2900.0,696.3,921.5,726.6,381.6
3000.0,694.7,917.0,736.0,407.7
3100.0,694.6,916.3,756.6,601.4
3200.0,686.9,934.1,734.3,452.2
3300.0,699.9,914.1,730.2,465.6
3400.0,701.7,928.7,723.0,463.6
3500.0,717.5,933.6,773.1,658.3
3600.0,699.1,913.1,740.9,467.1
3700.0,700.3,910.0,738.2,477.3
3800.0,754.5,941.0,795.7,765.5
3900.0,682.5,910.0,737.4,416.1
4000.0,692.4,910.0,726.4,471.6
4100.0,702.1,922.6,753.7,485.2
4200.0,695.9,925.0,747.8,553.0
4300.0,734.2,934.5,781.2,675.4
4400.0,688.7,930.1,731.3,443.9
4500.0,717.1,949.8,758.8,656.2
4600.0,750.0,947.2,794.7,637.1
4700.0,705.1,918.0,742.4,568.8
4800.0,766.8,953.5,779.5,767.3
4900.0,733.3,921.5,763.1,547.1
5000.0,706.9,921.2,723.0,485.7
5100.0,697.1,928.0,749.4,493.6
5200.0,739.8,939.7,785.8,653.4
5300.0,701.7,910.0,723.0,429.0
5400.0,688.3,916.7,724.9,450.3
5500.0,689.2,910.5,742.4,446.7
5600.0,716.1,944.6,747.1,557.8
5700.0,708.3,934.0,749.4,491.0
5800.0,729.1,959.0,799.0,679.2
5900.0,678.0,930.1,730.8,421.1
6000.0,730.5,948.9,795.6,615.3
6100.0,686.1,921.3,735.0,462.8
6200.0,711.0,916.6,748.8,470.7
6300.0,703.0,910.0,751.4,442.8
6400.0,697.9,933.4,752.7,425.8
6500.0,727.3,938.9,773.7,638.4
6600.0,678.0,923.2,733.0,409.3
6700.0,714.5,950.0,771.8,562.8
6800.0,680.9,910.3,753.5,413.6
6900.0,730.6,941.5,750.0,594.2
7000.0,697.8,926.4,732.5,388.4
7100.0,710.2,948.2,739.6,541.8
7200.0,737.4,939.7,771.0,645.9
7300.0,703.8,910.0,741.9,485.4
7400.0,717.9,928.0,785.2,586.6
7500.0,680.7,920.8,728.5,394.6
7600.0,692.2,915.7,736.8,428.3
7700.0,696.2,929.7,745.3,485.1
7800.0,749.6,933.2,779.9,700.8
7900.0,681.0,910.0,729.4,417.1
8000.0,702.5,928.9,753.5,472.1
8100.0,686.8,910.4,729.0,445.6
8200.0,755.5,946.2,792.3,702.6
8300.0,701.6,942.9,759.7,436.6
8400.0,681.0,910.0,738.7,427.3
8500.0,755.2,941.8,769.5,714.7
8600.0,759.0,945.0,790.4,686.6
8700.0,693.5,920.0,742.1,443.8
8800.0,691.9,928.3,757.5,493.5
8900.0,691.6,920.1,723.0,417.6
9000.0,747.7,943.1,781.7,697.4
9100.0,713.6,936.2,758.5,636.3
9200.0,678.0,910.0,723.0,407.7
9300.0,694.4,910.0,736.1,437.0
9400.0,753.7,938.3,776.9,685.2
9500.0,727.6,945.0,764.2,645.8
9600.0,699.6,916.1,737.7,407.9
9700.0,759.6,956.5,772.4,660.0
9800.0,692.3,910.0,738.7,439.2
9900.0,744.0,935.4,771.3,653.5
10000.0,678.0,939.4,748.6,377.3
10100.0,678.0,910.0,736.0,411.5
10200.0,678.0,913.6,723.2,424.4
10300.0,765.0,959.0,792.0,685.8
10400.0,697.4,933.9,731.0,395.8
