timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,747.9,950.0,769.2,658.9
100.0,714.6,917.1,765.7,542.9
200.0,669.4,910.9,721.6,425.1
300.0,698.0,918.6,742.8,514.2
400.0,664.1,900.6,708.0,340.7
500.0,667.7,897.9,714.3,411.1
600.0,694.5,910.6,743.8,497.2
700.0,661.0,921.0,721.2,351.9
800.0,695.1,923.2,724.3,498.2
900.0,666.4,893.9,718.4,415.2
1000.0,676.2,908.8,732.7,357.4
1100.0,693.1,922.5,736.7,495.4
1200.0,680.9,913.6,722.6,451.8
1300.0,670.9,893.0,708.0,446.3
1400.0,717.8,937.1,774.5,545.6
1500.0,701.8,935.4,750.5,489.0
1600.0,748.4,938.9,782.1,772.4
1700.0,666.8,910.2,730.4,399.7
1800.0,734.3,937.8,754.6,630.8
1900.0,730.1,923.6,774.2,671.5
2000.0,736.4,950.0,785.2,720.9
2100.0,688.2,926.2,741.2,654.3
2200.0,748.0,947.0,765.0,711.9
2300.0,666.4,893.0,732.2,422.3
2400.0,662.4,893.0,713.8,363.0
2500.0,672.3,911.9,744.8,353.2
2600.0,677.6,906.8,725.1,359.0
2700.0,674.0,893.0,708.0,360.2
2800.0,681.9,893.0,712.0,437.3
2900.0,665.1,915.4,722.5,417.5
3000.0,670.0,893.0,728.3,369.3
3100.0,764.0,931.1,787.0,736.9
3200.0,734.4,945.2,763.3,681.4
3300.0,713.1,938.6,765.5,669.9
3400.0,671.6,922.4,733.7,359.1
3500.0,689.2,919.0,729.2,411.1
3600.0,693.8,893.0,728.2,426.6
3700.0,721.9,938.2,773.3,638.6
3800.0,683.2,934.7,730.3,376.8
3900.0,742.0,932.8,773.7,733.7
4000.0,720.6,948.6,778.1,556.4
4100.0,662.5,908.8,719.0,359.9
4200.0,764.0,950.0,787.0,768.0
4300.0,666.7,893.0,708.0,357.9
4400.0,695.7,902.0,729.3,621.8
4500.0,661.0,929.3,741.3,353.8
4600.0,706.3,933.6,749.9,502.9
4700.0,669.5,910.8,727.9,354.7
4800.0,699.9,915.9,751.8,608.4
4900.0,677.8,898.6,718.9,432.3
5000.0,712.7,908.3,731.0,624.3
5100.0,661.0,896.2,709.8,366.8
5200.0,679.5,909.6,730.2,446.5
5300.0,698.6,927.7,734.0,453.7
5400.0,669.9,898.8,716.6,406.5
5500.0,684.3,920.6,734.7,490.0
5600.0,742.4,939.0,778.5,714.5
5700.0,674.9,900.2,708.0,377.3
5800.0,685.6,908.2,711.9,433.1
5900.0,712.7,930.7,780.1,553.3
6000.0,690.6,925.0,709.6,407.0
6100.0,692.0,931.6,728.4,493.0
6200.0,712.4,928.5,746.6,476.2
6300.0,665.9,918.8,716.8,409.3
6400.0,672.7,921.6,711.8,371.2
6500.0,747.7,950.0,772.1,727.7
6600.0,731.7,936.2,781.6,599.5
6700.0,662.6,916.1,730.1,432.3
6800.0,713.1,920.5,749.6,639.7
6900.0,701.4,925.6,736.3,436.0
7000.0,684.5,923.6,739.0,443.4
7100.0,739.1,941.8,787.0,734.8
7200.0,698.3,920.8,753.6,584.0
7300.0,677.2,907.4,727.4,350.6
7400.0,670.2,914.3,718.2,371.0
7500.0,726.8,950.0,774.3,667.5
7600.0,734.6,942.7,769.1,670.0
7700.0,723.0,925.8,775.6,575.4
7800.0,688.3,896.2,720.2,423.2
7900.0,667.3,915.2,723.6,397.5
8000.0,670.0,893.0,716.7,365.8
8100.0,664.5,903.0,726.0,399.2
8200.0,661.0,893.0,708.0,365.8
8300.0,671.1,916.9,721.5,353.2
8400.0,730.7,950.0,779.6,669.3
8500.0,687.1,894.7,735.9,496.8
8600.0,696.3,914.8,737.3,492.1
8700.0,747.6,950.0,777.7,695.1
8800.0,678.9,914.5,708.0,366.2
