timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,705.0,921.1,732.0,504.2
100.0,703.0,926.0,741.2,646.0
200.0,713.4,926.0,729.4,522.9
300.0,685.2,907.3,716.7,499.4
400.0,700.2,909.9,742.6,498.7
500.0,714.0,926.0,733.1,543.1
600.0,689.4,926.0,752.0,520.5
700.0,700.1,926.0,722.7,455.7
800.0,667.9,907.2,723.2,411.7
900.0,692.4,926.0,734.7,444.0
1000.0,693.8,914.8,750.5,516.7
1100.0,686.2,899.1,726.7,431.2
1200.0,695.9,893.8,739.8,515.7
1300.0,699.8,894.3,728.6,459.6
1400.0,687.0,894.0,724.7,421.0
1500.0,699.3,913.3,736.4,543.2
1600.0,711.4,926.0,752.0,629.3
1700.0,656.6,899.8,704.0,380.9
1800.0,679.7,918.2,734.8,433.6
1900.0,680.3,924.4,718.5,413.3
2000.0,692.0,904.0,741.4,412.9
2100.0,714.0,908.8,740.3,638.7
2200.0,684.5,926.0,738.1,465.9
2300.0,714.0,926.0,736.9,545.1
2400.0,671.9,913.7,732.1,380.3
2500.0,700.5,926.0,752.0,614.6
2600.0,692.3,926.0,739.3,405.6
2700.0,700.3,918.5,748.7,554.5
2800.0,671.6,917.9,724.7,430.6
2900.0,682.9,920.1,736.3,416.5
3000.0,696.9,919.5,730.2,440.4
3100.0,687.2,926.0,746.4,532.9
3200.0,666.9,918.8,734.3,398.4
3300.0,677.9,902.4,731.3,435.4
3400.0,691.2,926.0,732.8,594.1
3500.0,673.8,922.4,726.2,409.5
3600.0,702.1,901.2,736.7,535.7
3700.0,654.0,892.0,717.4,325.2
3800.0,678.1,904.3,720.6,371.4
3900.0,688.2,905.6,744.7,487.2
4000.0,685.6,902.7,727.8,398.9
4100.0,664.7,892.0,712.2,324.5
4200.0,702.1,902.5,720.6,451.7
4300.0,682.9,923.0,735.9,507.5
4400.0,704.6,922.5,736.0,473.2
4500.0,713.7,926.0,725.3,537.9
4600.0,711.5,910.3,752.0,526.1
4700.0,681.1,923.0,745.2,416.4
4800.0,693.5,914.3,740.9,495.2
4900.0,707.3,907.6,752.0,509.5
5000.0,696.1,905.8,744.5,495.3
5100.0,673.5,909.4,721.2,433.6
5200.0,675.1,901.8,722.3,387.3
5300.0,694.0,916.0,733.1,494.0
5400.0,699.0,923.4,728.3,539.2
5500.0,703.5,907.0,746.4,460.3
5600.0,706.9,907.3,752.0,549.8
5700.0,709.4,901.8,738.3,579.1
5800.0,702.3,926.0,738.9,431.9
5900.0,689.2,901.8,746.3,421.0
6000.0,702.4,907.2,731.4,526.0
6100.0,714.0,918.3,737.8,633.9
6200.0,696.8,906.0,738.5,464.4
6300.0,699.4,903.3,735.6,516.4
6400.0,701.8,926.0,743.0,546.2
6500.0,693.8,926.0,743.0,488.5
6600.0,685.3,905.6,719.3,477.7
6700.0,694.4,925.2,726.5,523.4
6800.0,714.0,926.0,752.0,639.3
6900.0,700.9,899.0,741.3,449.0
7000.0,674.6,916.4,721.4,418.2
7100.0,669.2,918.0,728.8,396.0
7200.0,682.0,907.6,737.8,418.3
7300.0,683.6,903.8,718.0,426.0
7400.0,697.2,899.0,733.9,498.0
7500.0,684.2,898.8,719.7,442.4
7600.0,690.8,917.3,743.3,481.8
7700.0,703.0,904.6,732.8,482.9
7800.0,677.1,903.6,721.7,465.7
7900.0,694.6,925.5,750.7,404.2
8000.0,707.0,926.0,725.6,443.7
8100.0,683.6,913.7,732.2,498.4
8200.0,706.3,898.0,752.0,509.4
8300.0,708.7,926.0,737.9,591.7
8400.0,695.5,894.1,749.7,408.4
8500.0,673.1,892.0,717.8,376.8
8600.0,671.8,913.0,735.5,426.2
8700.0,690.8,911.1,735.8,527.7
8800.0,685.8,922.7,725.3,480.5
8900.0,711.2,913.7,746.1,493.9
9000.0,671.2,896.9,736.9,395.0
9100.0,700.1,926.0,735.8,645.4
9200.0,689.5,904.0,740.7,477.3
9300.0,712.8,926.0,729.4,559.7
9400.0,695.9,913.4,728.3,494.8
9500.0,690.2,892.0,722.8,430.1
9600.0,686.7,907.6,715.7,416.4
9700.0,691.7,901.4,741.7,541.2
9800.0,654.0,911.7,707.3,339.5
9900.0,675.7,893.3,706.5,427.9
10000.0,705.1,902.8,750.4,509.0
10100.0,700.3,926.0,742.0,527.0
10200.0,690.0,926.0,738.8,449.8
10300.0,686.2,915.7,731.7,431.3
10400.0,673.2,894.4,730.8,442.5
10500.0,690.8,905.7,743.7,523.7
10600.0,666.0,911.8,719.3,398.2
10700.0,695.8,908.6,743.6,510.5
10800.0,700.8,926.0,740.6,548.5
10900.0,692.7,923.1,737.9,518.2
11000.0,693.1,905.7,743.0,495.0
11100.0,672.6,892.6,723.0,421.7
11200.0,707.2,925.2,732.0,495.5
11300.0,689.7,904.6,725.5,394.3
11400.0,689.1,914.1,740.7,518.6
11500.0,682.7,911.7,724.1,406.0
11600.0,683.9,913.8,730.3,386.1
11700.0,704.2,912.2,725.1,463.6
11800.0,698.9,926.0,732.1,449.5
11900.0,691.0,905.4,738.2,400.5
12000.0,712.5,926.0,735.4,542.3
12100.0,703.8,909.0,720.4,580.9
12200.0,667.8,896.6,729.7,407.5
12300.0,675.3,909.2,727.2,414.6
12400.0,694.4,926.0,752.0,515.7
12500.0,679.5,913.1,725.0,431.5
12600.0,708.8,912.4,718.7,479.5
12700.0,683.2,926.0,734.9,427.1
12800.0,663.8,892.0,704.0,326.8
