timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,450.0,664.0,395.0,276.4
100.0,482.9,724.0,443.8,302.7
200.0,478.2,735.9,435.1,300.3
300.0,505.1,792.2,512.8,359.0
400.0,427.7,622.6,361.5,244.2
500.0,495.1,746.7,468.6,325.4
600.0,500.4,766.6,486.2,337.1
700.0,488.5,744.0,461.4,325.5
800.0,434.2,661.5,385.4,271.2
900.0,513.2,772.9,515.3,340.3
1000.0,434.9,646.7,369.5,253.3
1100.0,312.6,511.3,263.8,198.5
1200.0,351.1,554.2,287.9,211.6
1300.0,444.3,665.7,390.9,277.2
1400.0,439.7,650.1,379.5,265.2
1500.0,387.2,586.4,310.7,223.1
1600.0,514.5,796.0,523.0,358.5
1700.0,488.6,769.3,478.7,338.9
1800.0,404.0,613.8,338.3,232.7
1900.0,355.4,544.3,289.6,217.4
2000.0,349.5,538.2,284.7,214.5
2100.0,378.8,584.9,314.4,221.4
2200.0,500.5,760.6,483.3,333.7
2300.0,468.6,719.8,424.7,301.7
2400.0,514.7,786.0,505.9,353.3
2500.0,445.4,658.6,385.2,266.3
2600.0,446.1,666.3,402.8,276.5
2700.0,364.3,566.3,300.9,214.1
2800.0,496.9,757.7,489.2,332.0
2900.0,334.6,539.1,280.1,211.0
3000.0,505.4,796.0,508.7,347.4
3100.0,504.1,784.4,509.8,352.5
3200.0,326.0,519.6,266.7,209.3
3300.0,314.7,515.0,266.8,201.4
3400.0,321.3,518.8,262.7,212.7
3500.0,512.2,765.8,507.3,343.2
3600.0,497.4,766.3,490.9,340.8
3700.0,495.7,785.3,491.4,343.7
3800.0,322.3,529.4,271.5,207.6
3900.0,340.9,538.4,289.6,207.6
4000.0,513.3,783.9,523.0,359.0
4100.0,507.6,794.9,506.8,359.0
4200.0,485.3,767.5,472.5,334.3
4300.0,466.5,713.8,444.2,295.5
4400.0,490.9,776.2,488.9,330.0
4500.0,467.2,724.3,424.9,299.7
4600.0,334.3,535.7,273.2,207.7
4700.0,515.0,779.1,523.0,358.4
4800.0,424.6,651.3,379.5,253.5
4900.0,492.9,750.2,473.1,320.9
5000.0,395.6,593.3,333.2,231.2
5100.0,453.5,691.9,425.5,289.5
5200.0,349.8,552.7,291.2,212.6
5300.0,403.5,618.7,337.3,232.6
5400.0,472.7,733.2,455.2,305.3
5500.0,321.5,515.3,272.4,208.8
5600.0,508.8,779.5,512.2,354.0
5700.0,485.2,738.7,453.6,301.8
5800.0,386.6,605.8,332.4,226.4
5900.0,504.7,771.8,496.3,346.9
6000.0,432.0,635.5,368.5,253.2
6100.0,374.4,582.0,311.7,220.8
6200.0,470.0,719.8,429.6,303.6
6300.0,323.1,519.0,260.8,203.1
6400.0,514.3,788.9,521.3,352.2
6500.0,429.5,641.9,370.0,258.1
6600.0,494.1,733.7,470.6,315.0
6700.0,515.0,789.5,519.3,350.1
6800.0,513.0,786.7,511.8,351.8
6900.0,347.5,535.8,286.5,213.8
7000.0,515.0,790.2,523.0,355.9
7100.0,515.0,795.0,523.0,359.0
7200.0,326.8,521.7,268.7,207.2
7300.0,507.7,796.0,511.2,345.5
7400.0,455.1,679.6,396.8,277.5
7500.0,429.4,627.4,358.6,245.2
7600.0,464.6,685.5,408.1,280.1
7700.0,406.8,615.4,343.7,238.3
7800.0,482.1,711.6,446.5,307.9
7900.0,464.8,708.2,419.0,289.8
8000.0,513.6,796.0,522.6,347.9
8100.0,440.5,654.0,384.3,271.7
8200.0,498.9,760.8,472.2,322.9
8300.0,469.3,706.7,443.6,300.9
8400.0,361.8,566.5,303.9,214.5
8500.0,511.3,792.9,514.3,355.7
8600.0,512.7,796.0,522.6,354.2
8700.0,502.3,773.4,494.4,343.8
8800.0,462.0,687.5,410.0,278.9
8900.0,485.2,763.7,468.7,331.2
9000.0,492.7,741.8,478.7,318.9
9100.0,336.4,532.7,276.5,204.5
9200.0,430.8,653.1,376.4,251.9
9300.0,491.0,739.1,452.0,310.6
9400.0,504.7,792.6,520.3,349.9
9500.0,452.1,683.8,392.8,272.9
9600.0,339.9,524.8,272.6,205.0
9700.0,506.5,780.0,519.1,355.0
9800.0,509.6,769.1,503.3,343.4
9900.0,387.7,585.2,322.2,227.1
10000.0,321.5,530.0,268.6,214.3
10100.0,318.3,523.8,263.0,200.4
10200.0,504.4,779.7,506.3,348.3
10300.0,347.1,550.3,281.9,215.3
10400.0,377.5,584.4,310.0,216.1
10500.0,358.5,564.9,301.9,213.8
10600.0,431.3,665.2,386.9,263.3
10700.0,490.9,757.1,487.8,333.4
10800.0,318.8,519.2,267.5,213.6
10900.0,495.7,787.0,490.6,346.8
11000.0,468.4,722.6,434.4,303.7
11100.0,470.9,691.5,420.6,289.4
11200.0,433.8,634.4,365.9,249.9
11300.0,489.9,748.5,463.5,326.0
11400.0,503.7,773.5,504.5,335.6
11500.0,325.6,530.4,269.3,206.3
11600.0,435.9,636.4,372.5,253.7
11700.0,451.3,667.4,396.9,265.6
11800.0,514.2,783.2,498.1,345.9
11900.0,512.9,764.8,500.0,346.8
12000.0,446.5,645.9,387.6,263.4
12100.0,327.5,534.3,273.5,206.4
12200.0,490.1,723.2,460.5,314.3
12300.0,502.1,779.1,496.5,348.3
12400.0,352.5,553.9,296.4,215.7
12500.0,313.7,514.6,257.9,204.3
12600.0,353.3,544.8,294.9,217.4
12700.0,343.1,536.7,284.9,205.5
12800.0,330.8,535.7,279.4,206.4
12900.0,411.6,631.8,353.7,240.2
13000.0,501.6,771.1,506.1,348.2
13100.0,487.0,753.3,460.9,323.0
13200.0,486.0,746.3,463.0,307.0
13300.0,515.0,796.0,511.7,354.6
13400.0,358.7,559.3,288.9,215.9
