timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,535.0,829.0,561.1,401.0
100.0,531.0,829.0,567.0,402.5
200.0,531.0,829.0,567.0,401.0
300.0,531.3,834.0,561.0,402.0
400.0,535.0,829.0,567.0,406.5
500.0,535.0,834.0,567.0,401.0
600.0,531.0,834.0,561.0,404.5
700.0,535.0,834.0,561.0,407.0
800.0,535.0,834.0,561.0,401.0
900.0,531.0,829.0,567.0,407.0
1000.0,533.3,829.0,565.9,401.0
1100.0,535.0,829.0,567.0,407.0
1200.0,531.0,834.0,567.0,407.0
1300.0,535.0,829.0,567.0,407.0
1400.0,533.8,829.0,567.0,404.9
1500.0,531.0,834.0,562.5,403.6
1600.0,535.0,829.0,561.0,407.0
1700.0,532.0,834.0,562.0,405.5
1800.0,531.0,829.0,561.0,401.0
1900.0,531.0,829.0,562.7,402.7
2000.0,535.0,834.0,561.0,407.0
2100.0,531.0,829.0,561.0,402.6
2200.0,535.0,834.0,567.0,401.0
2300.0,532.5,829.0,561.0,401.0
2400.0,533.2,834.0,561.0,407.0
2500.0,531.0,834.0,561.0,401.0
2600.0,535.0,834.0,566.4,401.0
2700.0,531.0,833.3,561.5,401.2
2800.0,531.0,829.0,561.0,401.5
2900.0,531.0,834.0,561.0,401.0
3000.0,533.7,829.9,565.0,405.7
3100.0,531.0,834.0,561.0,407.0
3200.0,535.0,834.0,561.0,401.2
3300.0,533.6,834.0,561.0,407.0
3400.0,535.0,829.0,567.0,401.0
3500.0,535.0,829.0,561.0,401.0
3600.0,531.0,832.7,561.0,403.9
3700.0,531.0,834.0,567.0,401.0
3800.0,531.0,829.0,567.0,405.8
3900.0,531.3,829.0,565.1,402.0
4000.0,535.0,829.0,567.0,406.1
4100.0,534.8,830.2,561.0,407.0
4200.0,535.0,829.0,567.0,407.0
4300.0,535.0,834.0,561.0,407.0
4400.0,535.0,829.0,567.0,407.0
4500.0,531.0,829.0,567.0,405.3
4600.0,535.0,834.0,561.0,407.0
4700.0,535.0,829.0,561.0,407.0
4800.0,535.0,834.0,566.2,404.4
4900.0,535.0,834.0,561.0,407.0
5000.0,531.0,829.0,561.0,406.2
5100.0,535.0,829.0,561.0,401.0
5200.0,535.0,833.5,567.0,401.0
5300.0,535.0,829.0,567.0,401.0
5400.0,535.0,829.0,563.3,407.0
5500.0,532.2,834.0,567.0,401.0
5600.0,535.0,834.0,566.7,407.0
5700.0,531.5,829.0,567.0,402.3
5800.0,531.0,829.0,567.0,403.5
5900.0,533.9,834.0,567.0,401.0
6000.0,535.0,829.0,563.6,402.2
6100.0,531.0,834.0,567.0,407.0
6200.0,531.0,829.0,561.0,407.0
6300.0,535.0,829.0,561.0,407.0
6400.0,531.0,829.0,561.0,401.0
6500.0,535.0,829.9,567.0,404.2
6600.0,531.0,834.0,561.0,401.0
6700.0,531.0,829.0,567.0,405.2
6800.0,535.0,830.0,567.0,402.4
6900.0,531.0,829.0,561.0,401.2
7000.0,535.0,829.0,561.0,407.0
7100.0,531.0,829.0,561.0,407.0
7200.0,535.0,829.0,564.4,407.0
7300.0,531.0,834.0,563.4,407.0
7400.0,535.0,834.0,567.0,406.7
7500.0,531.0,834.0,567.0,401.0
7600.0,535.0,834.0,567.0,404.6
7700.0,535.0,829.0,564.7,404.5
7800.0,535.0,829.0,567.0,401.0
7900.0,531.0,831.1,561.0,404.3
8000.0,535.0,834.0,567.0,407.0
8100.0,535.0,832.8,567.0,405.2
8200.0,531.0,829.0,561.0,407.0
8300.0,531.0,830.3,567.0,401.0
8400.0,531.0,834.0,561.0,405.3
8500.0,531.0,834.0,565.1,401.0
8600.0,535.0,834.0,562.4,401.7
8700.0,533.1,834.0,565.2,401.0
8800.0,531.0,834.0,562.4,401.0
8900.0,535.0,834.0,567.0,407.0
9000.0,531.0,834.0,567.0,406.7
9100.0,535.0,829.0,567.0,407.0
9200.0,531.0,829.0,561.0,407.0
9300.0,531.0,829.0,561.9,401.0
9400.0,535.0,829.0,561.0,404.7
9500.0,535.0,829.0,567.0,407.0
9600.0,535.0,829.0,564.4,401.0
9700.0,535.0,834.0,567.0,407.0
9800.0,531.3,834.0,567.0,407.0
9900.0,535.0,829.0,567.0,401.8
10000.0,531.1,829.0,567.0,401.5
10100.0,532.9,829.0,567.0,401.0
10200.0,535.0,834.0,567.0,401.2
10300.0,535.0,829.0,567.0,407.0
10400.0,535.0,829.0,567.0,404.9
10500.0,535.0,829.0,567.0,407.0
10600.0,531.0,829.0,561.0,401.0
10700.0,531.0,829.0,567.0,406.5
10800.0,535.0,834.0,567.0,407.0
10900.0,532.4,829.0,567.0,401.0
11000.0,531.0,834.0,567.0,401.0
11100.0,535.0,832.4,561.0,407.0
11200.0,535.0,834.0,562.9,407.0
11300.0,535.0,834.0,565.2,407.0
11400.0,531.6,834.0,561.0,401.0
11500.0,531.0,834.0,564.3,405.7
11600.0,535.0,834.0,561.0,401.0
11700.0,531.0,834.0,565.9,407.0
11800.0,535.0,834.0,561.0,403.9
11900.0,535.0,834.0,564.9,401.0
12000.0,531.0,829.0,567.0,401.0
12100.0,535.0,829.0,561.0,405.2
12200.0,531.0,834.0,565.3,401.0
12300.0,532.7,829.0,567.0,401.0
12400.0,535.0,829.0,563.2,404.5
12500.0,535.0,834.0,563.1,406.9
12600.0,535.0,829.0,561.0,407.0
12700.0,531.0,834.0,561.0,405.0
12800.0,535.0,834.0,565.6,401.1
12900.0,535.0,829.0,562.1,407.0
13000.0,535.0,834.0,567.0,401.0
13100.0,531.0,829.0,565.5,407.0
13200.0,531.9,829.0,561.0,404.1
13300.0,535.0,834.0,564.1,407.0
13400.0,535.0,834.0,561.4,401.0
13500.0,535.0,829.0,562.6,401.0
13600.0,533.9,829.0,561.5,407.0
13700.0,531.0,834.0,567.0,401.2
13800.0,531.0,834.0,565.4,407.0
13900.0,531.0,834.0,566.4,403.8
14000.0,531.0,829.0,561.0,401.0
14100.0,531.0,829.0,561.0,401.0
14200.0,535.0,834.0,561.0,401.0
14300.0,531.0,834.0,564.2,402.1
14400.0,531.0,834.0,563.6,401.0
14500.0,531.0,829.0,567.0,407.0
14600.0,531.5,829.0,567.0,407.0
14700.0,533.3,834.0,567.0,402.2
14800.0,535.0,829.0,567.0,402.1
14900.0,534.7,829.0,561.0,404.1
15000.0,535.0,829.0,567.0,401.0
15100.0,535.0,834.0,561.0,401.0
15200.0,531.0,834.0,567.0,405.6
15300.0,531.1,834.0,561.0,402.0
15400.0,534.5,834.0,561.3,407.0
15500.0,535.0,829.0,567.0,401.7
15600.0,535.0,832.4,562.1,401.0
15700.0,535.0,834.0,561.0,401.0
15800.0,531.0,834.0,561.0,406.8
15900.0,531.0,834.0,561.0,407.0
16000.0,535.0,834.0,561.0,401.0
16100.0,532.8,829.0,564.5,401.0
16200.0,535.0,829.0,562.8,401.0
16300.0,531.0,829.0,565.3,407.0
16400.0,531.4,829.0,561.0,401.0
16500.0,535.0,829.0,566.9,401.0
16600.0,531.0,829.3,561.0,407.0
16700.0,535.0,829.0,567.0,407.0
16800.0,535.0,834.0,561.0,406.2
16900.0,531.0,829.0,561.0,407.0
17000.0,531.5,829.6,561.0,401.0
17100.0,535.0,829.0,561.0,401.0
17200.0,531.0,834.0,561.0,406.4
17300.0,535.0,834.0,564.6,407.0
17400.0,531.0,829.0,567.0,407.0
17500.0,531.0,829.0,561.0,405.5
17600.0,535.0,829.0,561.0,407.0
17700.0,531.0,829.0,567.0,404.9
17800.0,535.0,834.0,561.0,407.0
17900.0,535.0,834.0,561.0,403.8
18000.0,531.0,834.0,561.0,407.0
18100.0,534.4,834.0,567.0,407.0
18200.0,531.0,829.0,561.0,401.5
18300.0,534.5,829.0,561.0,401.0
18400.0,535.0,829.0,561.0,401.0
18500.0,531.0,834.0,567.0,404.7
18600.0,531.0,829.0,561.0,401.0
18700.0,531.0,829.0,561.0,403.6
18800.0,535.0,834.0,561.0,407.0
18900.0,534.2,834.0,561.0,407.0
19000.0,531.0,830.9,567.0,406.2
19100.0,535.0,829.0,561.0,407.0
19200.0,531.0,834.0,567.0,405.0
19300.0,535.0,834.0,563.4,404.5
19400.0,531.0,829.0,561.0,407.0
19500.0,531.7,829.0,561.0,407.0
19600.0,535.0,834.0,567.0,402.8
19700.0,535.0,829.0,567.0,401.0
19800.0,535.0,829.0,564.8,401.0
19900.0,531.0,831.3,561.0,401.0
20000.0,535.0,834.0,561.0,407.0
20100.0,531.0,829.0,562.8,401.0
20200.0,533.4,834.0,561.0,407.0
20300.0,531.0,834.0,566.8,401.0
20400.0,533.3,829.0,567.0,407.0
20500.0,535.0,829.0,561.0,401.0
20600.0,535.0,834.0,563.8,406.9
20700.0,531.0,834.0,567.0,401.0
20800.0,531.0,834.0,565.5,404.3
20900.0,535.0,833.2,567.0,401.3
21000.0,534.3,834.0,567.0,402.2
21100.0,531.0,830.7,561.0,401.0
21200.0,531.0,834.0,561.0,407.0
21300.0,531.0,834.0,566.5,401.0
21400.0,535.0,834.0,561.0,402.7
21500.0,535.0,834.0,561.0,407.0
21600.0,531.0,830.5,567.0,401.0
21700.0,535.0,832.4,561.0,401.0
21800.0,531.0,829.0,561.0,401.0
21900.0,531.0,829.0,567.0,406.5
22000.0,535.0,834.0,567.0,407.0
22100.0,531.0,834.0,567.0,401.4
22200.0,535.0,834.0,561.0,401.0
22300.0,531.0,834.0,566.3,401.4
22400.0,535.0,834.0,561.0,406.2
22500.0,531.0,831.3,567.0,401.0
22600.0,535.0,834.0,567.0,401.0
22700.0,531.0,829.0,561.0,402.7
22800.0,533.9,829.0,561.5,401.0
22900.0,535.0,834.0,561.0,401.0
23000.0,531.0,834.0,564.5,402.2
23100.0,531.0,829.0,567.0,407.0
23200.0,531.0,829.0,561.0,407.0
23300.0,535.0,831.5,567.0,404.5
23400.0,531.0,829.0,561.0,407.0
23500.0,534.5,829.0,567.0,407.0
23600.0,535.0,834.0,561.0,401.0
23700.0,535.0,834.0,561.0,401.0
23800.0,531.4,829.0,561.0,401.0
23900.0,535.0,834.0,565.3,407.0
24000.0,531.0,829.0,562.6,407.0
24100.0,535.0,829.0,561.0,401.0
24200.0,534.7,829.0,562.2,407.0
24300.0,535.0,829.0,564.6,403.3
24400.0,531.0,834.0,561.0,407.0
24500.0,535.0,829.0,567.0,401.0
24600.0,535.0,829.1,561.0,405.4
24700.0,535.0,834.0,561.0,401.0
24800.0,531.0,834.0,561.0,404.5
24900.0,531.0,831.1,567.0,401.0
25000.0,535.0,834.0,567.0,406.4
25100.0,535.0,834.0,561.5,406.1
25200.0,535.0,829.0,561.5,401.0
25300.0,531.0,834.0,567.0,404.0
25400.0,535.0,833.2,561.7,407.0
25500.0,532.1,829.0,561.0,406.6
25600.0,531.0,829.0,567.0,401.0
25700.0,535.0,829.0,567.0,407.0
25800.0,531.0,829.0,567.0,401.0
25900.0,535.0,829.0,567.0,405.7
26000.0,531.0,832.9,563.2,406.7
26100.0,531.0,829.0,561.0,407.0
26200.0,531.2,829.0,566.9,407.0
26300.0,531.0,834.0,561.0,401.0
26400.0,535.0,829.0,564.0,404.6
26500.0,531.0,829.0,561.0,403.4
26600.0,531.0,831.7,561.0,401.6
26700.0,535.0,834.0,561.0,407.0
26800.0,531.0,834.0,561.0,402.7
26900.0,531.0,829.0,561.0,407.0
27000.0,532.6,829.0,567.0,402.5
27100.0,531.9,829.0,567.0,403.9
27200.0,531.0,834.0,567.0,405.8
27300.0,531.0,829.0,561.0,407.0
27400.0,531.0,829.0,561.0,403.5
27500.0,531.0,829.0,567.0,401.0
27600.0,535.0,834.0,567.0,405.4
27700.0,533.2,830.9,567.0,401.0
27800.0,535.0,834.0,561.0,405.1
27900.0,531.0,829.0,564.2,401.0
28000.0,535.0,834.0,567.0,404.4
28100.0,532.5,834.0,567.0,404.9
28200.0,535.0,829.0,567.0,407.0
28300.0,533.7,829.0,564.6,407.0
28400.0,531.0,834.0,561.0,407.0
28500.0,531.0,834.0,561.0,407.0
28600.0,531.0,834.0,561.0,407.0
28700.0,531.0,829.0,561.0,407.0
28800.0,535.0,829.0,561.0,401.0
28900.0,533.2,829.0,567.0,402.6
29000.0,535.0,829.5,561.0,401.0
29100.0,535.0,834.0,562.2,407.0
29200.0,531.0,829.0,567.0,401.0
29300.0,535.0,829.0,567.0,404.8
29400.0,531.0,829.0,561.0,404.8
29500.0,531.0,829.0,562.3,407.0
29600.0,533.1,829.0,562.3,401.0
29700.0,535.0,834.0,561.0,407.0
29800.0,535.0,834.0,567.0,404.5
29900.0,531.0,834.0,564.0,404.5
30000.0,535.0,829.0,567.0,403.3
30100.0,531.0,829.0,561.0,401.0
30200.0,531.0,829.0,564.3,401.4
30300.0,535.0,829.0,567.0,401.0
30400.0,535.0,834.0,561.6,401.0
30500.0,534.6,832.5,563.0,404.3
