timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,691.6,810.1,666.5,256.3
100.0,665.0,776.0,643.3,232.4
200.0,669.0,788.3,650.6,249.5
300.0,677.3,790.9,647.5,246.1
400.0,695.0,807.6,669.6,256.8
500.0,692.0,791.6,668.3,261.5
600.0,687.1,797.0,678.2,261.8
700.0,683.8,806.4,658.2,246.2
800.0,687.1,777.9,650.7,238.7
900.0,668.0,797.9,662.9,240.5
1000.0,695.0,792.3,672.9,260.5
1100.0,666.8,803.1,667.2,252.0
1200.0,681.3,791.5,660.4,248.9
1300.0,679.7,806.7,664.2,258.0
1400.0,685.5,800.2,676.9,262.8
1500.0,665.0,776.5,652.0,238.9
1600.0,670.5,784.7,660.5,254.7
1700.0,678.7,795.6,655.8,262.3
1800.0,681.0,808.2,673.9,251.3
1900.0,679.9,795.7,673.3,255.8
2000.0,689.2,800.1,652.4,248.2
2100.0,688.6,802.4,679.0,258.3
2200.0,665.0,791.8,647.2,237.9
2300.0,679.9,811.0,665.4,258.3
2400.0,682.6,811.0,667.6,257.9
2500.0,674.4,804.0,662.0,258.9
2600.0,671.9,785.3,663.0,241.6
2700.0,693.5,808.0,657.0,253.5
2800.0,676.6,810.1,678.4,264.9
2900.0,687.8,800.8,674.5,258.6
3000.0,690.4,795.0,671.4,258.3
3100.0,683.5,793.2,653.6,255.8
3200.0,695.0,809.0,670.4,263.6
3300.0,695.0,807.3,679.0,265.6
3400.0,672.8,788.1,640.4,245.3
3500.0,681.6,803.8,673.0,250.5
3600.0,671.5,789.2,645.8,239.1
3700.0,672.1,788.5,647.5,249.1
3800.0,673.0,793.9,649.4,239.8
3900.0,692.5,799.0,665.7,254.8
4000.0,675.6,797.9,656.8,238.3
4100.0,672.0,776.0,643.9,241.0
4200.0,691.0,784.9,665.4,255.8
4300.0,695.0,798.7,667.0,254.6
4400.0,695.0,811.0,679.0,258.7
4500.0,681.5,784.9,652.5,240.8
4600.0,678.5,785.8,658.5,240.3
4700.0,682.3,798.0,672.8,252.8
4800.0,665.0,776.0,651.0,243.1
4900.0,686.9,811.0,671.0,260.9
5000.0,676.1,791.8,659.7,242.7
5100.0,695.0,796.5,679.0,257.2
5200.0,678.8,801.8,679.0,259.1
5300.0,665.0,776.0,637.2,235.1
5400.0,689.0,795.8,654.1,252.6
5500.0,689.7,793.2,679.0,264.3
5600.0,687.0,811.0,655.8,253.3
5700.0,682.6,782.2,661.6,259.9
5800.0,671.4,811.0,651.6,248.2
5900.0,665.2,786.9,663.1,238.9
6000.0,680.0,782.8,652.8,238.7
6100.0,684.7,794.0,639.3,245.1
6200.0,665.0,776.0,636.0,233.2
6300.0,668.0,806.7,665.6,246.0
6400.0,665.0,778.2,641.9,234.8
6500.0,678.7,805.9,676.2,257.7
6600.0,681.3,796.0,653.4,258.1
6700.0,669.8,789.4,645.7,232.6
6800.0,665.7,776.0,665.8,241.5
6900.0,665.0,783.7,637.4,236.6
7000.0,678.1,792.0,645.5,248.5
7100.0,681.3,789.8,673.6,254.2
7200.0,670.9,791.1,647.2,237.4
7300.0,687.3,798.0,655.8,261.2
7400.0,695.0,811.0,663.1,252.6
7500.0,687.3,791.1,645.6,248.7
7600.0,695.0,799.2,679.0,266.0
7700.0,666.9,777.0,646.7,245.8
7800.0,678.2,776.0,636.0,237.8
7900.0,685.2,809.1,661.0,256.1
8000.0,680.5,799.5,679.0,261.1
8100.0,666.0,776.3,646.3,243.4
8200.0,691.0,807.3,664.1,254.1
8300.0,668.7,792.2,651.1,256.8
8400.0,690.2,788.2,658.1,255.3
8500.0,695.0,803.4,672.5,256.7
8600.0,678.5,798.0,665.6,240.5
8700.0,682.1,811.0,675.9,263.3
8800.0,675.2,810.1,665.5,246.9
8900.0,668.2,790.4,650.7,239.8
9000.0,685.3,811.0,665.3,254.5
9100.0,691.6,809.7,651.4,256.8
9200.0,667.9,776.0,636.0,240.2
9300.0,672.1,807.8,663.8,251.1
9400.0,675.0,799.9,670.5,244.9
9500.0,695.0,807.7,669.8,266.0
9600.0,681.7,787.5,662.1,254.5
9700.0,673.2,796.2,658.6,257.2
9800.0,687.2,785.3,667.1,251.6
9900.0,684.4,805.0,655.9,255.5
10000.0,690.1,795.9,661.3,248.9
10100.0,665.0,776.0,636.0,229.0
10200.0,674.1,808.2,653.1,248.7
10300.0,669.1,785.3,646.1,249.3
10400.0,673.2,784.7,636.3,234.5
10500.0,672.2,792.5,636.0,229.0
10600.0,667.8,776.0,663.3,236.4
10700.0,695.0,811.0,675.9,263.9
10800.0,691.4,811.0,666.9,257.9
10900.0,680.8,811.0,679.0,264.0
11000.0,669.2,781.8,640.8,243.4
11100.0,675.4,788.0,662.4,248.3
11200.0,675.5,805.3,660.8,244.5
11300.0,672.2,805.5,647.0,247.0
11400.0,665.0,776.0,650.7,237.2
11500.0,695.0,807.0,663.8,255.8
11600.0,684.0,779.8,663.7,243.4
11700.0,682.7,811.0,677.3,258.8
11800.0,668.9,779.7,644.3,244.3
11900.0,682.8,796.0,636.0,242.4
12000.0,668.1,777.4,645.8,245.8
12100.0,671.4,788.1,678.0,255.9
12200.0,668.9,793.4,642.0,237.3
12300.0,665.0,784.7,644.5,236.7
12400.0,683.7,811.0,678.1,265.3
12500.0,685.7,792.3,671.5,254.4
12600.0,678.2,799.0,671.6,257.6
