timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,409.6,653.6,415.7,353.1
100.0,423.4,633.0,389.6,286.4
200.0,420.9,639.2,396.5,292.8
300.0,416.8,627.3,401.9,263.9
400.0,415.4,639.7,401.4,275.4
500.0,445.2,679.2,441.3,325.0
600.0,448.5,688.0,436.5,519.1
700.0,450.1,677.8,446.7,496.0
800.0,427.9,645.0,393.9,279.5
900.0,458.4,693.0,432.6,355.2
1000.0,412.1,631.6,397.2,350.2
1100.0,428.7,657.4,416.4,259.5
1200.0,408.5,640.4,412.7,298.7
1300.0,454.3,682.9,423.7,301.5
1400.0,416.4,630.8,401.9,431.7
1500.0,421.1,640.3,390.7,292.3
1600.0,424.0,644.8,415.8,325.2
1700.0,471.7,701.7,452.0,390.5
1800.0,458.8,693.7,437.5,336.3
1900.0,426.6,645.6,400.5,405.6
2000.0,420.0,646.2,404.0,340.8
2100.0,451.8,679.5,415.1,396.8
2200.0,430.6,653.3,407.7,297.7
2300.0,466.1,707.0,434.3,368.3
2400.0,439.4,657.6,432.9,319.0
2500.0,421.7,657.8,422.2,433.9
2600.0,443.3,662.3,427.9,445.5
2700.0,435.7,664.2,437.9,452.5
2800.0,442.4,683.0,417.2,395.5
2900.0,436.2,655.4,420.4,484.8
3000.0,450.2,683.1,428.3,312.9
3100.0,414.0,657.6,412.0,264.2
3200.0,420.6,646.2,393.5,289.2
3300.0,432.7,651.2,435.3,441.8
3400.0,446.3,678.1,421.5,445.8
3500.0,409.1,650.1,391.4,419.0
3600.0,461.3,707.0,445.6,624.0
3700.0,479.0,707.0,449.9,366.1
3800.0,417.1,645.3,403.7,426.6
3900.0,446.9,660.4,435.5,457.5
4000.0,420.6,630.0,401.7,343.4
4100.0,420.9,645.2,387.7,372.7
4200.0,419.9,651.9,396.3,398.7
4300.0,429.9,682.9,425.7,400.9
4400.0,423.8,633.0,416.2,445.9
4500.0,423.2,653.8,429.1,382.3
4600.0,404.0,628.9,403.6,282.5
4700.0,420.5,624.4,399.3,267.4
4800.0,461.3,694.6,434.3,309.7
4900.0,465.0,689.4,424.2,371.2
5000.0,416.8,666.5,408.1,421.0
5100.0,410.5,645.1,398.2,424.9
5200.0,404.2,634.1,390.4,379.3
5300.0,419.0,650.2,403.2,417.8
5400.0,460.0,687.0,438.7,455.2
5500.0,441.7,642.7,429.8,442.5
5600.0,473.1,699.4,439.7,346.6
5700.0,415.0,623.0,388.1,243.4
5800.0,455.9,679.0,422.9,315.1
5900.0,417.5,633.6,404.4,348.6
6000.0,471.4,705.3,452.0,550.3
6100.0,432.2,660.1,409.6,446.6
6200.0,452.7,679.5,415.8,307.9
6300.0,424.0,636.8,398.3,415.3
6400.0,410.4,647.5,388.9,414.1
6500.0,456.9,692.5,432.5,368.9
6600.0,407.8,645.1,408.9,289.3
6700.0,415.5,639.1,406.2,298.4
6800.0,422.8,645.1,396.3,278.4
6900.0,421.5,639.6,386.0,279.6
7000.0,437.3,675.8,427.8,521.3
7100.0,471.6,691.0,435.8,397.0
7200.0,440.7,667.5,435.9,461.7
7300.0,446.4,699.0,427.1,306.8
7400.0,421.4,634.9,393.6,296.6
7500.0,404.0,637.5,391.3,241.0
7600.0,471.3,706.9,443.7,614.1
7700.0,421.2,659.8,430.3,379.7
7800.0,412.6,648.5,411.0,400.1
7900.0,430.1,671.0,419.3,334.3
8000.0,411.3,632.0,416.0,324.4
8100.0,410.3,625.2,385.0,234.0
8200.0,432.4,657.1,422.7,380.5
8300.0,410.2,628.7,412.3,341.4
8400.0,409.5,632.0,407.7,378.7
8500.0,479.0,681.5,446.7,416.5
8600.0,412.6,647.9,392.3,422.5
8700.0,404.5,638.2,402.1,303.1
8800.0,408.6,624.6,385.0,334.9
8900.0,431.7,660.2,432.2,335.1
9000.0,416.1,637.7,396.3,274.6
9100.0,420.4,641.8,403.5,288.8
9200.0,439.8,652.5,424.0,459.2
9300.0,415.1,642.0,401.6,267.5
9400.0,467.0,671.9,439.1,322.5
9500.0,415.8,623.0,397.7,294.1
9600.0,426.4,623.0,393.4,282.2
9700.0,408.4,632.8,385.0,241.0
9800.0,419.7,653.8,422.4,440.8
9900.0,451.9,663.1,424.5,403.2
10000.0,435.0,664.1,426.8,359.7
10100.0,464.2,702.4,432.4,333.7
10200.0,423.1,623.0,391.6,294.0
10300.0,414.9,647.5,410.2,308.5
10400.0,447.9,670.9,427.3,384.9
10500.0,479.0,706.4,452.0,628.0
10600.0,436.0,669.6,426.6,382.4
10700.0,451.4,699.1,421.6,316.0
10800.0,417.4,641.0,404.3,376.9
10900.0,425.4,663.5,415.0,464.2
11000.0,414.2,637.1,406.1,408.9
11100.0,427.5,627.8,397.6,282.3
11200.0,409.3,629.0,398.3,344.6
11300.0,412.0,623.0,385.0,264.6
11400.0,439.7,667.1,431.9,416.1
11500.0,421.9,625.8,386.7,306.7
11600.0,463.9,702.1,446.4,447.0
11700.0,404.0,623.0,385.0,234.0
11800.0,416.5,633.8,392.2,279.2
11900.0,466.4,679.8,433.1,343.2
12000.0,411.3,634.3,413.9,260.5
12100.0,411.7,643.5,395.6,281.8
12200.0,411.0,649.4,409.8,340.1
12300.0,413.4,641.2,412.2,267.3
12400.0,473.6,692.8,452.0,385.6
12500.0,431.7,669.1,423.9,317.8
12600.0,440.4,675.6,422.0,450.3
12700.0,460.7,704.9,444.7,463.4
12800.0,468.2,689.2,433.4,606.8
12900.0,425.3,670.9,423.0,320.1
13000.0,407.2,636.7,385.0,328.3
13100.0,428.8,656.5,420.7,465.9
13200.0,439.9,656.1,424.8,317.3
13300.0,415.2,650.5,403.8,278.7
13400.0,437.9,652.2,418.8,281.3
13500.0,411.2,633.1,416.0,324.3
13600.0,412.8,631.2,420.2,305.3
13700.0,479.0,703.1,447.8,578.5
13800.0,417.3,642.5,394.6,290.1
13900.0,441.7,671.4,445.6,485.3
14000.0,429.5,653.3,416.8,345.8
14100.0,432.1,636.5,410.7,435.3
14200.0,406.2,629.7,391.8,239.1
14300.0,449.6,672.8,452.0,428.1
14400.0,452.4,701.1,436.8,515.9
14500.0,433.2,667.3,426.4,329.3
14600.0,444.6,646.9,438.3,454.1
14700.0,449.3,680.7,435.4,311.0
14800.0,440.8,648.6,431.2,470.7
14900.0,416.0,642.0,405.1,287.4
15000.0,408.7,623.0,385.0,237.2
15100.0,474.2,704.8,446.6,448.5
15200.0,444.0,675.1,415.7,341.8
15300.0,412.4,623.0,399.4,324.1
15400.0,422.1,637.4,395.7,302.7
15500.0,404.0,631.5,408.9,286.1
15600.0,412.5,626.5,397.7,391.6
15700.0,415.9,642.6,410.8,298.1
15800.0,414.5,648.6,407.8,402.2
15900.0,418.4,626.2,406.2,351.0
16000.0,425.4,654.7,422.7,259.0
16100.0,435.4,656.8,418.3,497.6
16200.0,408.5,625.5,397.8,376.9
16300.0,423.2,661.4,415.7,269.0
16400.0,436.7,666.7,431.2,533.3
16500.0,432.3,654.5,422.3,305.9
16600.0,430.5,679.4,433.5,337.1
16700.0,421.5,658.9,423.9,383.1
16800.0,423.2,632.7,398.9,345.8
16900.0,448.7,677.0,411.7,314.6
17000.0,461.2,707.0,443.4,325.8
17100.0,421.0,640.2,416.2,294.8
17200.0,424.7,655.9,407.4,336.0
17300.0,462.0,693.2,444.3,468.7
17400.0,426.3,645.2,424.6,377.7
17500.0,423.0,639.6,393.0,298.3
17600.0,453.1,669.4,427.2,466.3
17700.0,422.9,650.3,411.3,449.6
17800.0,413.1,631.0,397.7,378.4
17900.0,426.2,656.4,421.9,354.7
18000.0,423.8,655.9,415.1,307.3
18100.0,432.4,655.0,400.9,351.9
18200.0,414.8,626.7,388.6,292.7
18300.0,423.9,643.7,416.8,354.9
18400.0,432.1,651.2,422.2,321.8
18500.0,426.8,642.3,425.8,382.2
18600.0,437.5,653.5,432.3,433.1
18700.0,452.5,662.6,435.5,311.6
18800.0,415.9,643.6,410.9,339.6
18900.0,404.0,630.2,400.1,279.9
19000.0,476.3,707.0,430.0,339.0
19100.0,429.8,666.1,408.5,308.9
19200.0,479.0,687.5,443.4,550.5
19300.0,478.1,704.3,450.7,362.5
19400.0,475.7,707.0,450.3,373.3
19500.0,445.7,678.9,434.6,503.8
19600.0,450.5,670.9,426.2,309.4
19700.0,459.1,703.6,427.6,334.0
19800.0,450.8,686.6,437.3,417.9
19900.0,404.0,626.4,385.6,234.0
20000.0,434.0,677.4,419.7,483.5
20100.0,439.9,663.1,422.8,302.5
20200.0,435.6,655.8,430.1,417.9
20300.0,404.0,629.5,388.0,315.8
20400.0,409.5,624.6,385.0,236.0
20500.0,435.9,664.3,412.5,251.6
20600.0,469.7,698.5,436.6,515.3
20700.0,423.2,659.3,404.7,330.1
20800.0,421.3,638.8,415.6,429.4
20900.0,408.2,623.0,400.5,273.3
21000.0,421.6,649.4,411.1,278.7
21100.0,404.5,623.0,385.0,237.5
21200.0,459.7,707.0,443.8,328.5
21300.0,417.1,636.1,410.1,402.1
21400.0,422.7,643.1,410.5,306.3
21500.0,460.6,675.4,446.9,454.3
21600.0,432.7,670.0,428.7,345.9
21700.0,472.0,700.5,440.0,337.1
21800.0,417.5,649.3,411.1,328.1
21900.0,450.2,687.3,449.9,446.7
22000.0,419.1,664.3,412.9,429.2
22100.0,460.5,680.2,437.4,600.3
22200.0,427.5,650.3,399.9,371.9
22300.0,446.9,675.2,436.2,307.5
22400.0,428.7,660.3,416.7,349.0
22500.0,408.3,628.2,391.0,381.8
22600.0,428.8,659.5,434.8,436.6
22700.0,463.9,686.3,452.0,623.3
22800.0,454.8,702.2,450.7,438.0
22900.0,425.3,634.2,389.3,296.4
23000.0,450.5,662.1,423.0,402.7
23100.0,451.8,646.7,437.0,452.5
23200.0,453.4,687.9,427.8,316.7
23300.0,441.2,668.2,429.4,434.6
23400.0,462.1,689.1,439.9,320.0
23500.0,408.8,646.4,398.8,354.5
23600.0,412.8,623.0,408.7,283.6
23700.0,425.4,659.5,406.7,336.6
23800.0,422.9,628.5,404.7,307.9
23900.0,471.3,672.6,431.4,336.2
24000.0,407.9,627.6,386.4,315.2
24100.0,425.1,634.2,401.0,350.6
24200.0,434.9,672.3,430.4,342.4
24300.0,415.6,641.2,405.6,397.4
