timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,447.9,686.2,427.9,275.8
100.0,450.1,682.9,438.2,347.2
200.0,435.7,682.4,399.9,285.4
300.0,432.7,672.2,418.3,256.4
400.0,433.7,687.1,412.4,301.8
500.0,421.5,656.2,373.6,279.1
600.0,413.7,644.6,376.2,319.8
700.0,506.0,745.8,476.7,519.8
800.0,448.3,712.7,440.1,332.5
900.0,506.0,732.3,468.7,555.5
1000.0,427.0,653.4,384.4,297.9
1100.0,493.5,723.1,457.6,503.0
1200.0,440.0,686.9,420.3,306.0
1300.0,498.7,746.0,483.0,520.8
1400.0,411.1,645.3,371.3,258.8
1500.0,417.3,647.4,382.4,265.2
1600.0,496.8,746.0,483.0,404.6
1700.0,490.5,746.0,454.1,586.9
1800.0,434.7,680.3,415.8,301.3
1900.0,474.9,708.3,439.4,541.7
2000.0,428.5,648.4,383.2,289.1
2100.0,449.6,669.6,408.1,304.3
2200.0,506.0,744.0,478.8,572.3
2300.0,444.9,691.5,429.2,306.0
2400.0,424.1,664.0,395.6,245.5
2500.0,478.6,708.5,461.1,288.0
2600.0,452.9,710.0,451.0,327.2
2700.0,433.3,668.9,405.2,318.1
2800.0,437.2,672.9,412.7,301.2
2900.0,477.9,715.2,464.7,297.8
3000.0,430.8,657.6,388.6,312.6
3100.0,499.4,742.7,474.3,554.4
3200.0,474.8,710.0,437.7,521.4
3300.0,506.0,746.0,476.0,555.5
3400.0,415.6,657.8,381.1,338.3
3500.0,496.0,739.0,474.8,629.0
3600.0,450.8,698.2,436.9,323.0
3700.0,447.1,684.2,430.0,348.0
3800.0,436.2,661.4,410.2,248.2
3900.0,426.6,654.4,384.7,240.0
4000.0,487.2,727.9,449.0,424.3
4100.0,487.0,730.3,465.6,329.9
4200.0,427.8,653.6,383.3,283.1
4300.0,480.1,734.2,453.9,316.8
4400.0,485.2,725.2,464.9,308.4
4500.0,475.3,722.0,459.2,285.2
4600.0,422.8,637.5,390.7,286.2
4700.0,425.2,636.4,383.4,245.6
4800.0,430.1,668.4,420.1,296.4
4900.0,423.8,645.8,384.6,271.1
5000.0,423.4,651.6,383.2,238.3
5100.0,433.2,667.0,414.4,278.9
5200.0,442.1,685.1,420.1,275.0
5300.0,427.9,664.9,386.9,307.8
5400.0,463.4,690.7,440.0,330.4
5500.0,446.6,672.0,425.0,281.4
5600.0,436.6,684.8,436.6,343.3
5700.0,424.7,659.5,405.9,316.3
5800.0,429.7,675.4,410.9,290.9
5900.0,435.4,640.5,387.3,275.4
6000.0,429.5,682.9,405.8,309.3
6100.0,506.0,746.0,472.2,546.4
6200.0,488.7,739.2,481.8,467.7
6300.0,493.6,737.8,478.6,452.9
6400.0,434.4,685.6,413.3,269.2
6500.0,413.1,635.2,382.6,327.9
6600.0,441.0,663.3,413.9,247.6
6700.0,424.2,642.8,385.7,288.7
6800.0,459.1,696.0,453.9,279.7
6900.0,436.6,685.0,428.2,344.1
7000.0,506.0,746.0,483.0,514.1
7100.0,427.9,676.2,409.4,247.2
7200.0,430.9,685.6,422.3,258.5
7300.0,506.0,738.1,478.2,558.8
7400.0,430.8,639.4,382.9,246.4
7500.0,437.3,660.6,406.6,288.2
7600.0,443.4,697.8,449.3,307.1
7700.0,483.7,719.7,453.9,291.8
7800.0,482.0,729.7,448.4,524.8
7900.0,436.8,686.3,427.8,268.1
8000.0,425.8,662.5,382.0,297.4
8100.0,422.6,666.4,401.4,244.0
8200.0,445.1,692.5,437.9,355.2
8300.0,468.8,717.3,436.2,530.4
8400.0,441.3,670.4,398.1,295.4
8500.0,506.0,731.5,483.0,571.9
8600.0,442.6,668.7,417.5,265.5
8700.0,448.9,683.9,434.7,307.7
8800.0,427.4,667.9,388.2,258.8
8900.0,441.0,681.2,406.8,245.5
9000.0,442.0,677.8,430.1,263.2
9100.0,439.5,673.2,409.9,288.9
9200.0,445.8,681.4,420.7,318.5
9300.0,424.2,633.6,374.0,283.5
9400.0,437.8,684.7,431.1,301.9
9500.0,422.9,647.9,383.4,297.8
9600.0,488.7,733.4,456.1,493.4
9700.0,492.0,730.3,444.5,528.8
9800.0,436.6,672.2,417.6,250.7
9900.0,437.5,673.0,411.1,307.5
10000.0,443.5,675.2,403.0,251.7
10100.0,442.7,690.4,419.7,299.3
10200.0,440.3,676.1,403.0,310.4
10300.0,423.5,664.0,387.3,269.2
10400.0,480.3,737.9,446.6,524.4
10500.0,417.3,640.8,375.4,297.8
10600.0,444.1,684.2,437.3,296.1
10700.0,429.5,656.3,395.1,268.8
10800.0,442.4,679.0,420.4,307.8
10900.0,499.1,735.7,461.4,626.4
11000.0,417.0,655.4,385.6,301.7
11100.0,501.3,741.8,483.0,430.7
11200.0,431.4,642.9,378.9,286.6
11300.0,458.0,703.9,431.2,292.3
11400.0,417.1,633.0,378.7,282.3
11500.0,426.1,676.5,404.0,261.3
11600.0,418.5,655.0,389.1,310.6
11700.0,442.9,690.9,420.5,303.0
11800.0,485.0,719.4,464.4,373.5
11900.0,430.1,674.2,406.9,277.8
12000.0,443.2,668.3,413.2,315.0
12100.0,419.0,652.0,376.5,291.1
12200.0,430.8,653.6,390.8,291.2
12300.0,411.0,640.9,380.3,263.4
12400.0,444.1,678.7,414.5,305.0
12500.0,420.5,645.6,396.2,244.1
12600.0,491.6,742.8,469.7,617.4
12700.0,477.0,708.6,447.2,466.6
12800.0,490.3,711.2,450.3,481.6
12900.0,411.8,634.5,375.0,263.5
13000.0,506.0,746.0,479.2,549.2
13100.0,472.4,718.5,447.2,511.4
13200.0,506.0,746.0,469.6,558.6
13300.0,414.8,635.4,373.1,282.1
13400.0,412.2,663.3,383.8,295.8
13500.0,477.0,709.2,445.4,518.2
13600.0,486.7,719.0,459.0,304.4
13700.0,446.3,680.2,403.6,292.1
13800.0,499.8,746.0,482.5,567.7
13900.0,418.4,652.2,392.3,270.3
14000.0,438.8,674.5,408.8,306.5
14100.0,491.4,720.4,445.7,464.6
14200.0,422.0,651.8,383.0,294.9
14300.0,419.0,652.9,388.8,334.6
14400.0,422.2,650.1,379.4,233.3
14500.0,493.0,746.0,477.5,537.9
14600.0,444.5,686.0,422.5,309.5
14700.0,445.8,675.7,415.7,309.7
14800.0,483.0,708.5,455.2,286.0
14900.0,416.4,646.3,381.9,334.3
15000.0,489.5,743.1,453.0,555.4
15100.0,506.0,729.2,464.1,627.6
15200.0,451.7,691.5,439.6,336.8
15300.0,412.0,650.0,380.0,279.4
15400.0,506.0,746.0,477.2,547.2
15500.0,496.4,734.6,479.2,364.9
15600.0,440.3,673.4,413.4,309.8
15700.0,425.7,665.0,393.7,267.0
15800.0,444.3,690.5,425.4,273.2
15900.0,414.9,633.0,376.1,262.6
16000.0,487.9,723.5,448.7,449.9
16100.0,492.3,735.4,449.4,564.5
16200.0,482.8,723.9,444.8,428.1
16300.0,423.8,645.7,377.7,285.7
16400.0,426.1,638.6,378.9,239.2
16500.0,413.1,653.0,384.7,278.0
16600.0,424.8,673.8,408.5,307.5
16700.0,443.2,668.6,422.6,291.1
