timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,361.2,514.9,301.8,387.1
100.0,373.5,567.3,319.8,264.2
200.0,351.5,506.4,279.7,300.2
300.0,375.1,567.7,311.5,312.1
400.0,345.0,512.6,270.1,250.5
500.0,394.1,565.9,323.1,300.9
600.0,353.7,510.6,287.3,302.2
700.0,389.2,559.2,319.8,302.7
800.0,364.6,506.0,268.7,289.5
900.0,378.2,571.2,313.1,297.4
1000.0,345.1,517.8,275.3,268.1
1100.0,354.6,510.6,272.9,274.5
1200.0,347.6,547.0,307.0,225.8
1300.0,364.4,502.6,268.6,283.3
1400.0,379.0,556.1,303.0,245.7
1500.0,417.9,548.3,324.9,425.6
1600.0,349.6,514.0,286.5,303.6
1700.0,352.0,507.0,266.7,284.2
1800.0,360.6,507.3,278.1,298.3
1900.0,378.6,509.6,278.8,345.4
2000.0,367.2,563.4,312.0,235.8
2100.0,354.7,555.8,302.4,232.2
2200.0,420.0,553.9,330.8,367.3
2300.0,383.3,561.4,312.0,244.6
2400.0,352.1,523.8,284.6,303.9
2500.0,350.7,514.4,289.5,297.4
2600.0,374.4,534.1,309.8,332.9
2700.0,361.4,498.5,262.5,307.5
2800.0,345.0,519.4,279.1,275.6
2900.0,359.3,525.3,287.7,302.4
3000.0,377.1,520.5,318.1,345.1
3100.0,363.1,517.9,273.0,291.4
3200.0,374.4,509.7,275.8,320.1
3300.0,372.3,533.9,319.9,342.8
3400.0,385.4,547.2,312.8,248.6
3500.0,358.7,511.9,288.3,287.0
3600.0,351.6,518.8,285.2,296.3
3700.0,374.4,552.9,307.5,251.3
3800.0,372.5,558.6,307.2,288.0
3900.0,355.0,516.7,291.1,287.0
4000.0,388.6,557.0,323.9,302.5
4100.0,388.4,573.0,318.4,289.2
4200.0,363.0,522.5,316.2,352.3
4300.0,373.4,500.8,272.8,355.1
4400.0,356.3,505.5,285.4,294.4
4500.0,354.4,539.6,309.8,237.5
4600.0,361.1,550.4,311.3,249.6
4700.0,384.5,564.8,306.9,289.9
4800.0,354.4,547.0,306.8,226.3
4900.0,356.5,501.4,269.1,268.9
5000.0,359.8,508.5,275.5,298.5
