timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,383.2,562.2,347.0,290.7
100.0,346.5,551.7,346.2,233.6
200.0,412.0,588.0,362.6,327.2
300.0,368.1,556.2,332.2,248.8
400.0,333.0,546.0,332.2,251.1
500.0,405.1,588.0,358.9,355.0
600.0,366.6,583.1,353.2,269.0
700.0,349.0,560.7,348.0,352.9
800.0,382.7,567.0,353.4,356.4
900.0,354.7,574.2,344.8,294.0
1000.0,376.6,579.0,348.8,414.3
1100.0,379.5,575.0,357.3,415.3
1200.0,370.3,556.0,341.1,293.1
1300.0,335.6,549.0,335.6,218.9
1400.0,372.2,577.2,346.5,272.1
1500.0,335.9,554.1,330.0,217.0
1600.0,367.6,582.2,355.7,279.5
1700.0,412.0,576.5,363.0,330.1
1800.0,367.6,562.6,354.4,289.3
1900.0,389.3,571.7,341.1,291.0
2000.0,391.4,584.3,361.8,390.1
2100.0,412.0,581.0,359.3,326.7
2200.0,360.4,577.0,346.1,265.0
2300.0,395.6,588.0,359.6,352.2
2400.0,357.4,573.2,349.0,344.9
2500.0,380.1,573.2,358.8,345.4
2600.0,367.0,572.1,339.3,268.8
2700.0,389.0,574.7,337.9,293.1
2800.0,357.4,557.1,354.1,286.5
2900.0,363.4,566.6,348.1,337.7
3000.0,353.6,568.7,333.7,248.8
3100.0,371.1,578.2,343.7,344.5
3200.0,393.6,588.0,350.4,300.8
3300.0,383.7,561.1,352.5,274.3
3400.0,371.0,578.1,341.1,405.4
3500.0,412.0,581.5,352.7,333.9
3600.0,361.5,574.9,363.0,342.6
3700.0,380.7,588.0,354.2,295.5
3800.0,380.6,569.1,348.4,275.7
3900.0,385.1,587.8,351.6,311.6
4000.0,402.9,588.0,342.0,353.7
4100.0,399.5,582.4,347.6,322.9
4200.0,336.6,558.5,334.4,222.0
4300.0,355.5,563.0,352.8,276.3
4400.0,399.9,570.7,341.6,332.4
4500.0,362.0,566.9,342.7,330.1
4600.0,359.9,565.8,339.3,267.0
4700.0,369.5,577.5,349.1,360.2
4800.0,341.5,552.4,341.3,316.3
4900.0,362.5,562.7,339.6,253.7
5000.0,364.8,567.2,339.0,262.6
5100.0,366.0,578.1,346.4,259.2
5200.0,380.9,588.0,351.6,339.8
5300.0,378.5,571.5,355.8,318.1
5400.0,333.0,549.9,331.5,223.4
5500.0,403.0,588.0,356.5,357.4
5600.0,354.5,558.8,352.2,355.7
5700.0,336.7,546.0,330.0,239.0
5800.0,362.9,561.8,347.4,261.6
5900.0,342.0,557.8,330.0,220.3
6000.0,370.5,574.6,352.0,263.1
6100.0,356.8,553.7,335.4,264.0
6200.0,389.7,577.9,362.5,349.4
6300.0,385.7,565.7,347.3,297.2
6400.0,346.5,546.0,339.4,217.4
6500.0,387.9,579.9,337.8,283.1
6600.0,412.0,581.1,363.0,333.1
6700.0,339.7,546.0,332.6,232.4
6800.0,386.6,584.4,348.1,289.0
6900.0,372.3,569.8,347.0,289.3
7000.0,368.9,578.1,350.5,301.4
7100.0,395.9,561.0,344.1,284.4
7200.0,359.3,555.9,343.1,276.8
7300.0,377.7,577.2,358.4,422.2
7400.0,356.0,551.5,339.9,268.6
7500.0,353.6,558.7,337.5,261.1
7600.0,337.3,554.6,343.4,307.5
7700.0,380.9,584.6,355.7,331.2
7800.0,412.0,577.6,358.6,331.9
7900.0,360.4,576.9,353.2,293.4
8000.0,387.3,573.4,334.9,295.0
8100.0,373.2,572.1,341.3,327.5
8200.0,376.4,571.1,350.9,280.7
8300.0,387.4,587.3,361.1,350.5
8400.0,374.1,588.0,345.6,278.4
8500.0,334.5,546.0,335.7,237.5
8600.0,396.3,581.3,334.9,279.1
8700.0,376.8,588.0,343.8,416.5
8800.0,387.6,585.4,354.2,341.2
8900.0,340.6,555.4,330.4,219.0
9000.0,352.1,556.9,341.5,262.3
9100.0,363.2,573.5,353.2,293.1
9200.0,401.1,587.5,349.5,351.0
9300.0,363.9,560.1,350.5,296.8
9400.0,391.9,586.1,359.9,377.5
9500.0,370.1,561.3,341.7,258.9
9600.0,385.9,570.1,346.4,302.9
9700.0,351.0,566.1,352.1,358.7
9800.0,393.7,578.7,354.6,349.0
9900.0,356.9,580.0,350.4,374.2
10000.0,333.0,546.0,334.5,223.6
10100.0,351.3,549.7,338.9,245.7
10200.0,358.5,574.8,349.0,360.8
10300.0,359.1,566.2,338.5,262.7
10400.0,368.9,559.5,354.6,287.9
10500.0,362.6,565.3,353.0,259.8
10600.0,395.1,577.8,352.9,334.8
10700.0,386.1,588.0,349.8,323.7
10800.0,382.5,577.7,341.5,277.2
10900.0,365.3,580.2,347.8,281.6
11000.0,386.4,588.0,349.0,293.4
11100.0,374.4,564.3,347.9,266.7
11200.0,388.3,574.3,363.0,338.6
11300.0,374.2,565.8,345.0,278.6
11400.0,397.5,588.0,354.0,344.6
11500.0,392.0,588.0,359.7,348.5
11600.0,404.5,581.1,349.9,306.5
11700.0,393.9,576.8,351.2,345.9
11800.0,353.0,546.6,338.3,239.2
11900.0,393.9,583.0,336.6,293.6
12000.0,384.6,573.7,353.8,424.0
12100.0,339.3,551.7,352.5,332.0
12200.0,364.5,566.5,354.7,277.4
12300.0,369.0,563.7,346.0,278.7
12400.0,367.3,564.9,338.8,266.1
12500.0,397.6,572.6,358.0,333.7
12600.0,355.8,560.9,335.6,260.2
12700.0,358.0,562.2,347.2,294.8
12800.0,385.3,577.1,350.1,289.3
12900.0,333.1,546.0,333.1,246.7
13000.0,347.6,546.7,340.6,233.4
13100.0,412.0,583.7,359.8,357.7
13200.0,373.6,588.0,347.8,394.6
13300.0,358.8,571.9,342.6,261.8
13400.0,380.6,588.0,361.1,348.0
13500.0,366.7,559.2,338.8,290.3
13600.0,397.4,572.3,348.0,319.1
13700.0,412.0,580.3,363.0,324.3
13800.0,386.2,588.0,353.6,329.4
13900.0,338.3,546.7,333.6,213.2
14000.0,362.8,570.9,355.0,345.8
14100.0,362.7,579.5,343.1,255.6
14200.0,383.1,588.0,360.4,348.7
14300.0,387.8,583.4,352.2,310.6
14400.0,350.6,554.8,332.9,216.4
14500.0,347.2,563.5,338.1,243.4
14600.0,380.4,566.7,352.8,351.9
14700.0,400.2,578.7,342.0,327.1
14800.0,353.0,571.0,349.0,268.1
14900.0,376.7,584.5,350.9,285.6
15000.0,392.6,584.4,343.9,316.5
15100.0,374.6,587.2,350.2,286.8
15200.0,381.1,568.7,334.4,249.8
15300.0,407.2,585.1,351.5,351.0
15400.0,351.1,560.5,350.6,350.8
15500.0,360.9,554.9,346.3,347.9
15600.0,363.6,565.5,358.8,346.5
15700.0,386.1,562.5,357.8,292.4
15800.0,392.2,588.0,352.5,355.6
15900.0,361.7,562.9,348.6,277.9
16000.0,366.3,572.5,354.2,288.8
16100.0,385.0,563.1,341.2,294.3
16200.0,412.0,588.0,357.3,332.2
16300.0,388.2,577.4,346.2,339.8
16400.0,402.3,588.0,363.0,311.6
16500.0,366.4,568.5,353.1,345.7
16600.0,386.5,570.3,344.0,286.0
16700.0,412.0,588.0,362.2,326.2
16800.0,389.1,575.3,337.2,281.0
16900.0,358.0,547.6,338.6,242.8
17000.0,396.9,577.1,347.9,298.2
17100.0,364.0,562.1,345.1,272.6
17200.0,368.0,570.1,349.8,338.9
17300.0,385.0,580.8,348.6,289.5
17400.0,389.7,588.0,355.2,336.6
17500.0,354.4,548.4,340.2,236.8
17600.0,352.9,564.1,341.9,271.3
17700.0,387.2,560.6,357.1,275.7
17800.0,367.2,567.0,343.7,273.0
17900.0,368.4,560.3,342.8,311.4
18000.0,385.8,569.9,355.3,343.0
18100.0,362.3,561.4,354.7,300.1
