timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,399.0,586.0,354.0,309.0
100.0,399.0,585.0,354.0,310.0
200.0,398.0,585.0,354.0,310.0
300.0,399.0,585.0,354.0,310.0
400.0,399.0,584.0,355.0,311.0
500.0,399.0,585.0,355.0,310.0
600.0,398.0,584.0,355.0,310.0
700.0,398.0,584.0,355.0,308.0
800.0,398.0,583.0,356.0,307.0
900.0,397.0,583.0,355.0,303.0
1000.0,397.0,583.0,355.0,301.0
1100.0,396.0,582.0,354.0,297.0
1200.0,395.0,582.0,354.0,293.0
1300.0,395.0,581.0,354.0,289.0
1400.0,394.0,582.0,353.0,285.0
1500.0,393.0,581.0,353.0,281.0
1600.0,393.0,580.0,353.0,278.0
1700.0,392.0,580.0,352.0,275.0
1800.0,391.0,580.0,352.0,272.0
1900.0,391.0,580.0,352.0,268.0
2000.0,389.0,580.0,351.0,265.0
2100.0,388.0,580.0,350.0,263.0
2200.0,388.0,581.0,350.0,264.0
2300.0,387.0,582.0,349.0,266.0
2400.0,386.0,582.0,349.0,272.0
2500.0,385.0,582.0,350.0,281.0
2600.0,385.0,584.0,350.0,292.0
2700.0,386.0,584.0,351.0,300.0
2800.0,387.0,584.0,352.0,308.0
2900.0,388.0,584.0,353.0,314.0
3000.0,388.0,585.0,353.0,316.0
3100.0,389.0,584.0,355.0,318.0
3200.0,389.0,585.0,356.0,319.0
3300.0,390.0,584.0,356.0,318.0
3400.0,390.0,584.0,356.0,317.0
3500.0,391.0,585.0,357.0,315.0
3600.0,391.0,585.0,357.0,314.0
3700.0,390.0,584.0,358.0,313.0
3800.0,391.0,584.0,358.0,312.0
3900.0,390.0,585.0,359.0,312.0
4000.0,391.0,586.0,358.0,311.0
4100.0,390.0,585.0,359.0,312.0
4200.0,390.0,585.0,359.0,315.0
4300.0,390.0,585.0,359.0,317.0
4400.0,390.0,585.0,360.0,319.0
4500.0,389.0,586.0,360.0,321.0
4600.0,390.0,585.0,361.0,323.0
4700.0,389.0,585.0,361.0,325.0
4800.0,389.0,586.0,361.0,326.0
4900.0,390.0,585.0,360.0,329.0
5000.0,388.0,585.0,361.0,330.0
5100.0,389.0,585.0,362.0,330.0
5200.0,389.0,585.0,362.0,330.0
5300.0,388.0,586.0,362.0,330.0
5400.0,388.0,585.0,362.0,330.0
5500.0,387.0,585.0,361.0,329.0
5600.0,387.0,585.0,362.0,327.0
5700.0,387.0,584.0,362.0,326.0
5800.0,386.0,585.0,362.0,325.0
5900.0,385.0,584.0,361.0,322.0
6000.0,385.0,583.0,362.0,320.0
6100.0,385.0,584.0,362.0,317.0
6200.0,384.0,584.0,362.0,315.0
6300.0,385.0,583.0,360.0,313.0
6400.0,383.0,582.0,360.0,309.0
6500.0,383.0,582.0,361.0,306.0
6600.0,382.0,582.0,361.0,304.0
6700.0,382.0,581.0,360.0,300.0
6800.0,381.0,580.0,360.0,297.0
6900.0,380.0,580.0,360.0,293.0
7000.0,379.0,579.0,358.0,290.0
7100.0,378.0,579.0,357.0,286.0
7200.0,378.0,578.0,357.0,283.0
7300.0,376.0,578.0,357.0,280.0
7400.0,376.0,578.0,357.0,276.0
7500.0,375.0,577.0,357.0,273.0
7600.0,375.0,576.0,355.0,269.0
7700.0,373.0,575.0,356.0,266.0
7800.0,372.0,576.0,355.0,262.0
7900.0,371.0,575.0,354.0,259.0
8000.0,371.0,574.0,354.0,257.0
8100.0,370.0,573.0,353.0,254.0
8200.0,369.0,573.0,353.0,251.0
8300.0,369.0,573.0,352.0,247.0
8400.0,367.0,573.0,352.0,244.0
8500.0,367.0,572.0,351.0,242.0
8600.0,366.0,571.0,351.0,239.0
8700.0,365.0,571.0,350.0,237.0
8800.0,363.0,571.0,349.0,235.0
8900.0,363.0,570.0,350.0,233.0
9000.0,362.0,570.0,349.0,232.0
9100.0,362.0,570.0,348.0,230.0
9200.0,361.0,569.0,348.0,230.0
9300.0,361.0,569.0,347.0,228.0
9400.0,360.0,569.0,347.0,227.0
9500.0,359.0,568.0,347.0,226.0
9600.0,359.0,569.0,345.0,226.0
9700.0,358.0,568.0,346.0,225.0
9800.0,358.0,567.0,345.0,224.0
9900.0,357.0,567.0,344.0,224.0
10000.0,357.0,567.0,345.0,224.0
10100.0,356.0,567.0,344.0,223.0
10200.0,355.0,567.0,344.0,224.0
10300.0,355.0,568.0,343.0,225.0
10400.0,354.0,567.0,343.0,227.0
10500.0,355.0,567.0,344.0,228.0
10600.0,354.0,567.0,343.0,229.0
10700.0,354.0,567.0,342.0,229.0
10800.0,354.0,567.0,343.0,229.0
10900.0,355.0,566.0,343.0,228.0
11000.0,354.0,566.0,343.0,228.0
11100.0,354.0,565.0,342.0,226.0
11200.0,354.0,565.0,341.0,224.0
11300.0,354.0,566.0,342.0,223.0
11400.0,353.0,565.0,341.0,220.0
