timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,516.9,812.0,484.9,597.3
100.0,515.1,830.5,495.3,613.0
200.0,508.0,817.0,497.4,609.6
300.0,508.0,812.0,500.9,595.3
400.0,518.0,813.7,491.3,588.4
500.0,510.4,816.7,501.0,581.4
600.0,513.7,812.0,496.4,602.4
700.0,508.5,812.0,503.7,597.3
800.0,518.0,816.3,492.9,611.8
900.0,518.0,834.0,494.4,579.5
1000.0,509.3,825.9,505.2,606.4
1100.0,517.1,834.0,494.2,596.8
1200.0,518.0,834.0,496.2,595.0
1300.0,513.3,816.2,502.2,596.8
1400.0,510.0,818.7,505.0,612.6
1500.0,512.8,821.7,480.9,579.0
1600.0,508.0,829.7,506.0,587.6
1700.0,509.0,828.2,496.6,609.8
1800.0,518.0,819.2,492.7,598.4
1900.0,518.0,813.6,496.6,593.0
2000.0,513.5,826.0,486.4,609.4
2100.0,518.0,825.2,490.6,593.6
2200.0,511.0,834.0,497.6,613.0
2300.0,513.2,829.6,481.1,597.1
2400.0,515.0,812.0,506.0,613.0
2500.0,508.0,826.0,493.1,607.0
2600.0,509.8,815.7,495.8,609.7
2700.0,515.2,824.7,486.2,597.8
2800.0,509.8,812.3,492.3,595.7
2900.0,518.0,817.5,506.0,585.9
3000.0,517.0,834.0,497.5,610.7
3100.0,516.7,826.2,486.8,611.7
3200.0,508.2,812.0,495.0,607.8
3300.0,516.1,822.1,501.3,613.0
3400.0,517.2,831.4,497.7,598.0
3500.0,508.0,813.8,500.5,592.9
3600.0,517.0,824.4,488.2,606.7
3700.0,518.0,829.5,502.6,595.4
3800.0,514.7,820.9,490.1,595.1
3900.0,508.0,812.0,493.2,593.9
4000.0,518.0,817.0,498.3,613.0
4100.0,511.9,812.0,480.7,598.9
4200.0,518.0,834.0,505.0,613.0
4300.0,518.0,834.0,503.9,598.3
4400.0,517.0,834.0,506.0,587.2
4500.0,518.0,820.5,503.7,591.3
4600.0,509.9,822.5,490.0,603.3
4700.0,518.0,824.1,486.8,593.3
4800.0,509.6,833.5,505.7,599.4
4900.0,518.0,830.0,501.3,590.2
5000.0,508.0,812.0,489.6,602.2
5100.0,518.0,834.0,494.5,585.6
5200.0,518.0,825.9,489.4,582.6
5300.0,513.7,817.7,494.1,606.8
5400.0,515.9,830.6,506.0,613.0
5500.0,515.2,834.0,495.1,610.9
5600.0,514.7,828.2,493.0,608.5
5700.0,518.0,833.3,490.1,613.0
5800.0,518.0,822.8,497.4,599.3
5900.0,511.5,834.0,502.2,591.5
6000.0,508.0,820.2,506.0,579.0
6100.0,508.7,832.8,498.5,605.1
6200.0,518.0,832.0,499.7,594.6
6300.0,518.0,832.0,504.0,601.9
6400.0,518.0,819.3,491.2,609.6
6500.0,510.2,813.2,494.7,602.2
6600.0,518.0,834.0,488.7,599.1
6700.0,518.0,813.0,491.9,610.9
6800.0,514.3,834.0,506.0,589.9
6900.0,509.2,812.0,478.0,579.4
7000.0,514.4,834.0,496.6,579.0
7100.0,517.6,827.7,502.1,594.7
7200.0,508.0,817.9,491.9,605.8
7300.0,518.0,834.0,495.1,592.9
7400.0,508.0,834.0,503.0,600.3
7500.0,517.9,834.0,500.8,592.6
7600.0,517.9,830.2,493.0,600.6
7700.0,508.0,812.0,489.8,610.7
7800.0,508.0,831.0,484.4,603.3
7900.0,516.2,828.9,500.4,597.6
8000.0,510.3,826.0,493.2,611.4
8100.0,508.0,812.0,488.0,581.2
8200.0,518.0,829.2,502.7,610.7
8300.0,518.0,834.0,498.1,591.2
8400.0,518.0,827.9,506.0,598.2
8500.0,508.4,825.3,506.0,583.1
8600.0,508.0,828.2,503.8,613.0
8700.0,518.0,815.1,500.8,595.7
8800.0,518.0,834.0,489.2,613.0
8900.0,518.0,818.3,491.7,605.0
9000.0,518.0,831.6,486.8,608.3
9100.0,516.1,813.9,491.6,613.0
9200.0,518.0,830.3,505.8,613.0
9300.0,518.0,834.0,499.7,613.0
9400.0,518.0,834.0,497.7,607.9
9500.0,508.0,812.0,483.5,595.1
9600.0,508.0,812.0,488.5,587.2
9700.0,508.0,832.3,501.2,607.0
9800.0,514.8,834.0,502.2,589.9
9900.0,508.0,813.5,493.9,593.8
10000.0,513.2,825.1,498.5,603.3
10100.0,518.0,834.0,495.2,609.8
10200.0,509.0,812.0,484.8,613.0
10300.0,518.0,826.5,489.6,606.8
10400.0,508.0,834.0,502.0,587.3
10500.0,513.3,834.0,498.9,584.7
10600.0,518.0,820.1,492.7,600.3
10700.0,517.6,819.7,497.1,600.3
10800.0,518.0,824.6,503.5,599.8
10900.0,515.4,833.0,499.4,613.0
11000.0,518.0,812.0,498.0,605.0
11100.0,518.0,818.4,503.3,613.0
11200.0,510.7,828.7,506.0,593.6
11300.0,512.5,834.0,499.3,613.0
11400.0,508.0,834.0,494.1,606.5
11500.0,518.0,828.6,494.6,609.7
11600.0,508.0,822.7,487.3,589.0
11700.0,508.0,834.0,503.0,598.7
11800.0,510.4,822.6,496.8,607.9
11900.0,518.0,823.5,487.7,613.0
12000.0,508.0,834.0,503.1,580.4
12100.0,517.3,823.3,506.0,580.4
12200.0,517.5,821.7,500.0,588.0
12300.0,518.0,818.9,502.6,613.0
12400.0,510.4,834.0,506.0,580.1
12500.0,508.2,816.8,506.0,601.1
12600.0,508.8,834.0,506.0,603.2
12700.0,508.0,812.0,488.0,589.2
12800.0,515.4,832.6,505.3,596.4
12900.0,510.2,834.0,506.0,601.6
13000.0,515.7,812.0,497.3,613.0
13100.0,511.5,812.0,491.0,598.8
13200.0,508.0,818.5,478.0,592.1
13300.0,518.0,815.2,506.0,582.6
13400.0,513.4,825.4,506.0,590.0
