timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,506.0,821.0,515.8,566.1
100.0,513.4,821.0,511.7,560.1
200.0,506.0,821.0,519.0,571.7
300.0,506.0,821.0,509.0,604.0
400.0,510.5,827.6,509.0,570.7
500.0,513.8,832.0,514.0,566.3
600.0,514.0,821.0,512.6,582.2
700.0,507.8,821.0,511.7,566.4
800.0,506.0,821.0,516.7,552.0
900.0,507.4,832.0,509.0,573.2
1000.0,509.6,821.0,509.0,578.9
1100.0,514.0,821.0,509.0,576.5
1200.0,512.4,821.0,517.8,577.9
1300.0,514.0,832.0,509.0,576.5
1400.0,514.0,832.0,509.0,594.6
1500.0,508.1,832.0,519.0,586.6
1600.0,512.2,821.0,519.0,576.2
1700.0,511.9,831.9,509.4,581.5
1800.0,514.0,822.1,512.9,566.0
1900.0,514.0,821.0,512.3,580.6
2000.0,511.3,832.0,519.0,584.0
2100.0,514.0,832.0,509.0,564.2
2200.0,513.7,832.0,519.0,594.7
2300.0,512.3,821.0,509.0,552.0
2400.0,506.0,824.8,519.0,574.9
2500.0,506.9,828.9,510.4,604.0
2600.0,514.0,822.4,515.1,574.9
2700.0,514.0,821.0,519.0,561.6
2800.0,513.8,821.0,519.0,552.0
2900.0,506.0,821.0,519.0,576.9
3000.0,514.0,821.0,509.6,572.2
3100.0,512.2,821.0,510.4,574.8
3200.0,514.0,822.0,509.0,599.3
3300.0,510.5,821.0,514.2,592.5
3400.0,507.7,828.8,517.8,562.1
3500.0,514.0,828.0,509.0,576.7
3600.0,506.0,821.0,515.7,572.7
3700.0,514.0,830.7,509.8,604.0
3800.0,506.0,823.1,519.0,580.7
3900.0,514.0,824.9,519.0,600.9
4000.0,506.0,832.0,512.7,604.0
4100.0,513.8,831.9,518.5,578.1
4200.0,506.0,832.0,509.0,564.1
4300.0,514.0,832.0,511.5,595.6
4400.0,507.4,831.6,519.0,602.8
4500.0,509.1,821.0,513.7,552.0
4600.0,506.1,832.0,516.2,552.0
4700.0,514.0,832.0,519.0,591.6
4800.0,514.0,822.9,509.3,574.4
4900.0,507.5,821.2,518.0,599.8
5000.0,506.0,821.0,509.0,579.2
5100.0,514.0,821.0,509.0,579.0
5200.0,512.7,821.0,509.1,594.8
5300.0,514.0,821.0,519.0,562.3
5400.0,506.0,821.0,511.8,559.5
5500.0,511.0,821.0,519.0,561.9
5600.0,511.2,821.0,519.0,560.5
5700.0,506.0,821.0,509.0,558.8
5800.0,509.2,823.8,519.0,574.7
5900.0,506.0,821.0,517.2,577.5
6000.0,512.4,832.0,518.5,587.5
6100.0,512.3,832.0,519.0,560.3
6200.0,512.8,821.0,512.5,578.4
6300.0,506.0,832.0,509.0,589.1
6400.0,508.2,824.9,519.0,555.5
6500.0,508.4,832.0,517.5,563.1
6600.0,514.0,821.4,509.0,577.0
6700.0,506.0,828.8,509.0,557.3
6800.0,506.0,832.0,517.5,553.7
6900.0,506.0,821.0,509.0,560.0
7000.0,514.0,821.0,512.9,564.5
7100.0,514.0,821.0,519.0,574.2
7200.0,511.0,821.0,519.0,569.0
7300.0,514.0,821.0,514.0,562.8
7400.0,506.0,821.0,519.0,578.9
7500.0,506.0,826.0,519.0,552.0
7600.0,506.0,821.0,512.0,556.3
7700.0,506.0,821.5,509.0,565.6
7800.0,506.0,824.9,515.2,573.8
7900.0,514.0,832.0,518.9,554.7
8000.0,506.2,821.0,509.0,579.0
8100.0,514.0,828.4,517.6,559.6
8200.0,513.5,832.0,519.0,595.4
8300.0,514.0,821.0,509.0,575.5
8400.0,506.0,822.1,514.3,566.7
8500.0,507.5,821.0,519.0,576.0
8600.0,506.0,832.0,515.2,565.2
8700.0,506.0,821.0,509.0,553.3
8800.0,506.0,821.0,510.1,578.0
8900.0,514.0,829.9,511.6,560.8
9000.0,506.0,832.0,518.7,582.4
9100.0,510.7,821.0,519.0,558.8
9200.0,511.9,831.8,519.0,578.9
9300.0,506.0,821.0,510.4,565.8
9400.0,514.0,825.2,509.0,562.0
9500.0,511.0,821.0,509.9,591.7
9600.0,506.5,832.0,514.5,588.1
9700.0,506.0,832.0,519.0,565.2
9800.0,514.0,827.0,509.0,557.3
9900.0,506.0,821.0,519.0,602.6
10000.0,506.0,826.7,509.0,566.2
10100.0,506.0,832.0,510.1,604.0
10200.0,514.0,827.7,509.0,561.6
10300.0,508.4,832.0,515.7,573.9
10400.0,511.9,832.0,519.0,581.7
10500.0,511.2,825.4,519.0,573.9
10600.0,514.0,828.8,510.1,585.6
10700.0,514.0,821.0,509.0,564.4
10800.0,514.0,821.0,518.3,572.1
10900.0,506.0,821.0,509.0,572.1
11000.0,507.4,821.0,519.0,552.0
11100.0,514.0,821.0,509.0,571.1
11200.0,514.0,830.1,510.5,556.8
11300.0,514.0,821.6,517.6,575.4
11400.0,514.0,827.2,511.0,563.5
11500.0,506.8,821.6,509.0,571.9
11600.0,506.0,825.0,518.6,561.0
11700.0,514.0,821.0,519.0,563.3
11800.0,510.7,821.0,519.0,556.8
11900.0,509.3,832.0,519.0,559.9
12000.0,514.0,832.0,509.0,585.6
12100.0,514.0,821.0,519.0,596.3
12200.0,513.0,821.0,509.0,552.0
12300.0,506.0,827.7,514.2,585.1
12400.0,514.0,828.6,519.0,570.6
12500.0,506.0,831.3,517.3,574.7
12600.0,514.0,832.0,519.0,563.4
12700.0,511.8,821.0,509.0,572.5
12800.0,506.0,821.0,518.3,555.4
12900.0,514.0,827.9,517.8,563.9
13000.0,507.5,832.0,519.0,570.7
13100.0,507.3,821.0,510.9,554.9
13200.0,511.8,824.3,509.0,571.0
13300.0,514.0,826.8,509.0,564.6
13400.0,512.9,821.0,509.6,558.8
13500.0,514.0,821.0,519.0,556.1
13600.0,506.0,821.0,509.0,581.5
13700.0,512.5,831.6,513.0,563.0
13800.0,509.6,822.6,511.5,563.4
13900.0,508.1,832.0,518.4,556.3
14000.0,514.0,832.0,519.0,583.8
14100.0,509.1,821.0,512.6,560.8
14200.0,506.0,828.0,519.0,560.9
14300.0,506.0,821.0,519.0,564.7
14400.0,513.5,832.0,519.0,567.2
14500.0,506.0,828.2,511.3,569.2
14600.0,510.3,832.0,518.2,583.0
14700.0,514.0,827.6,515.9,562.2
14800.0,506.0,821.9,519.0,604.0
14900.0,509.1,827.1,519.0,581.6
15000.0,506.0,832.0,519.0,573.1
15100.0,511.1,832.0,518.1,552.0
15200.0,514.0,832.0,510.0,574.7
15300.0,511.8,823.2,509.0,583.2
15400.0,506.3,832.0,510.5,571.2
15500.0,507.0,832.0,519.0,577.6
15600.0,514.0,831.6,509.0,582.3
15700.0,514.0,832.0,519.0,590.7
15800.0,514.0,831.9,509.0,563.7
15900.0,514.0,825.9,512.7,559.9
16000.0,509.1,821.0,513.2,567.2
16100.0,506.0,828.3,514.5,587.2
16200.0,506.0,821.3,509.0,565.1
16300.0,514.0,821.0,519.0,573.2
16400.0,512.5,824.0,519.0,576.4
16500.0,508.1,832.0,518.5,575.0
16600.0,507.4,824.8,519.0,576.7
16700.0,506.0,830.7,519.0,552.0
16800.0,512.8,824.5,512.8,562.0
16900.0,510.3,825.7,512.1,593.9
17000.0,514.0,821.0,509.0,582.0
17100.0,514.0,832.0,509.0,579.9
17200.0,509.7,821.0,514.6,572.0
17300.0,510.3,822.5,509.0,565.7
17400.0,506.0,829.9,515.8,563.8
17500.0,506.0,821.0,509.0,554.8
17600.0,506.0,828.1,512.5,560.4
17700.0,514.0,827.7,519.0,562.7
17800.0,506.0,821.0,519.0,559.7
17900.0,514.0,832.0,518.0,587.7
18000.0,506.5,824.9,519.0,569.6
18100.0,506.1,832.0,514.6,585.7
18200.0,506.0,825.6,514.8,565.1
18300.0,512.7,821.0,509.0,567.0
18400.0,506.0,821.0,512.8,567.2
18500.0,514.0,826.6,519.0,604.0
18600.0,514.0,830.4,513.5,598.2
18700.0,514.0,821.0,513.0,557.8
18800.0,514.0,831.3,509.0,569.1
18900.0,514.0,821.0,509.9,568.6
19000.0,506.0,832.0,519.0,574.3
19100.0,514.0,821.0,509.0,567.5
19200.0,514.0,825.5,510.7,552.0
19300.0,511.9,821.0,510.8,572.5
19400.0,514.0,821.0,509.0,588.7
19500.0,514.0,832.0,519.0,560.0
19600.0,514.0,821.0,519.0,563.1
19700.0,514.0,832.0,518.4,575.9
19800.0,511.0,823.9,519.0,563.9
19900.0,514.0,821.0,509.0,575.8
20000.0,509.0,821.0,516.3,585.9
20100.0,506.0,826.5,509.9,578.8
20200.0,510.4,821.0,509.0,568.7
20300.0,510.3,821.0,514.3,564.6
20400.0,514.0,821.0,509.0,555.0
20500.0,506.0,828.7,509.0,575.0
20600.0,506.0,832.0,512.5,552.0
20700.0,514.0,821.0,518.3,579.2
20800.0,514.0,832.0,519.0,563.3
