timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,666.4,846.0,755.1,536.4
100.0,669.0,846.0,748.0,542.4
200.0,669.0,846.0,758.0,538.4
300.0,656.1,848.9,748.0,533.0
400.0,657.0,846.0,756.0,540.5
500.0,669.0,846.0,748.0,543.0
600.0,669.0,854.0,748.0,533.0
700.0,656.0,846.0,758.0,543.0
800.0,669.0,846.0,758.0,533.2
900.0,656.0,853.6,757.2,536.9
1000.0,657.0,854.0,757.7,543.0
1100.0,663.6,854.0,750.3,533.1
1200.0,659.2,847.9,748.4,543.0
1300.0,660.6,846.0,748.0,538.9
1400.0,659.0,846.0,748.0,537.9
1500.0,669.0,847.5,758.0,536.4
1600.0,656.0,846.0,755.7,543.0
1700.0,656.0,854.0,751.3,542.2
1800.0,663.5,846.0,748.0,533.0
1900.0,666.1,854.0,748.0,541.1
2000.0,656.0,846.0,758.0,533.0
2100.0,661.6,846.0,758.0,543.0
2200.0,669.0,847.9,748.0,540.1
2300.0,669.0,846.0,755.0,533.0
2400.0,669.0,849.7,757.8,536.7
2500.0,662.6,847.4,749.6,538.5
2600.0,669.0,852.9,758.0,543.0
2700.0,669.0,846.0,751.7,533.0
2800.0,669.0,854.0,758.0,535.7
2900.0,667.7,846.0,748.0,533.7
3000.0,656.0,846.0,758.0,543.0
3100.0,667.0,854.0,758.0,534.4
3200.0,656.0,846.0,748.0,543.0
3300.0,663.8,846.0,748.0,533.0
3400.0,662.7,854.0,758.0,538.1
3500.0,664.8,846.0,758.0,543.0
3600.0,668.4,854.0,758.0,533.0
3700.0,669.0,846.0,750.9,543.0
3800.0,669.0,846.0,758.0,533.0
3900.0,669.0,854.0,748.0,540.5
4000.0,656.0,846.0,748.0,533.0
4100.0,669.0,854.0,748.7,533.0
4200.0,667.6,854.0,748.5,533.0
4300.0,665.1,852.0,749.4,533.0
4400.0,656.0,846.0,751.7,533.0
4500.0,669.0,854.0,756.4,540.9
4600.0,656.6,852.1,754.8,533.1
4700.0,658.5,846.0,758.0,535.9
4800.0,669.0,846.0,748.8,533.3
4900.0,657.9,846.0,758.0,542.2
5000.0,656.0,854.0,748.0,543.0
5100.0,659.9,851.9,757.2,533.0
5200.0,660.5,846.0,750.2,543.0
5300.0,669.0,854.0,750.5,533.0
5400.0,656.0,850.6,748.0,540.7
5500.0,669.0,850.8,748.0,543.0
5600.0,662.0,854.0,748.0,541.1
5700.0,666.2,851.4,758.0,533.0
5800.0,656.0,846.0,758.0,533.0
5900.0,669.0,846.0,751.6,543.0
6000.0,656.0,854.0,748.0,539.1
6100.0,669.0,851.3,748.0,543.0
6200.0,669.0,846.0,758.0,537.6
6300.0,656.0,846.0,758.0,543.0
6400.0,664.2,846.0,756.0,540.8
6500.0,656.0,854.0,758.0,536.9
6600.0,656.0,846.0,758.0,533.0
6700.0,658.7,846.0,748.0,543.0
6800.0,659.5,854.0,758.0,537.2
6900.0,664.2,846.0,757.3,533.0
7000.0,669.0,854.0,749.8,543.0
7100.0,656.0,854.0,758.0,533.0
7200.0,669.0,846.0,751.7,539.7
7300.0,656.0,854.0,748.0,533.0
7400.0,656.0,852.9,752.8,539.9
7500.0,662.5,854.0,758.0,533.0
7600.0,669.0,846.0,754.5,540.3
7700.0,661.2,852.0,748.0,533.0
7800.0,659.5,852.0,750.0,533.3
7900.0,656.0,846.0,748.0,533.0
8000.0,661.3,854.0,758.0,533.0
8100.0,667.7,854.0,752.1,535.1
8200.0,661.2,854.0,758.0,533.0
8300.0,656.0,846.0,748.0,533.0
8400.0,656.0,854.0,756.8,533.0
8500.0,656.0,846.0,748.0,543.0
8600.0,656.0,846.0,748.0,543.0
8700.0,669.0,854.0,748.4,543.0
8800.0,669.0,854.0,748.0,537.3
8900.0,668.5,849.5,748.0,538.8
9000.0,656.0,846.0,758.0,538.3
9100.0,669.0,854.0,748.0,534.6
9200.0,669.0,854.0,748.0,541.8
9300.0,663.8,846.0,748.0,533.0
9400.0,656.0,852.5,748.0,542.7
9500.0,668.2,854.0,756.0,542.7
9600.0,665.5,846.0,758.0,540.0
9700.0,656.0,854.0,752.0,533.2
9800.0,657.2,854.0,748.6,543.0
