timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,673.0,961.6,763.6,853.0
100.0,635.2,925.0,682.6,611.0
200.0,632.2,939.7,714.0,676.1
300.0,660.1,966.0,740.5,793.5
400.0,660.0,965.9,729.4,787.8
500.0,682.0,949.1,749.9,833.0
600.0,647.4,964.5,718.6,769.4
700.0,603.8,938.5,611.4,716.1
800.0,640.8,932.3,724.9,739.7
900.0,671.9,952.6,754.3,851.7
1000.0,627.5,959.2,679.1,659.0
1100.0,682.0,946.0,766.0,853.0
1200.0,631.0,925.4,684.7,621.5
1300.0,630.6,925.0,684.7,601.0
1400.0,620.0,948.6,686.5,642.1
1500.0,622.2,939.7,703.1,711.5
1600.0,639.6,956.6,704.1,674.5
1700.0,631.4,952.8,698.0,652.7
1800.0,620.4,952.3,704.0,692.1
1900.0,633.9,946.9,618.8,616.5
2000.0,657.3,966.0,712.8,758.9
2100.0,623.2,948.8,712.1,729.7
2200.0,634.9,925.0,694.4,649.9
2300.0,645.3,954.1,736.7,771.1
2400.0,620.5,929.0,713.7,695.4
2500.0,664.4,966.0,727.7,810.0
2600.0,633.5,948.5,699.1,655.4
2700.0,622.7,960.8,712.6,703.5
2800.0,634.3,946.4,706.9,687.0
2900.0,630.7,925.8,688.8,659.0
3000.0,650.6,966.0,752.9,798.4
3100.0,633.5,950.5,725.6,755.0
3200.0,640.3,951.9,731.8,763.6
3300.0,628.4,925.0,679.0,603.2
3400.0,669.2,966.0,755.5,842.3
3500.0,648.3,966.0,735.6,806.3
3600.0,629.6,925.0,640.4,641.7
3700.0,639.3,928.8,703.2,635.7
3800.0,682.0,948.9,758.2,834.9
3900.0,659.2,957.9,734.8,819.0
4000.0,680.8,966.0,764.4,842.1
4100.0,679.9,966.0,749.0,838.2
4200.0,672.7,960.5,749.5,830.0
4300.0,638.0,948.4,705.5,695.5
4400.0,660.1,963.2,754.7,824.6
4500.0,676.1,966.0,754.7,839.0
4600.0,609.6,940.0,639.2,631.8
4700.0,667.0,966.0,730.3,802.3
4800.0,638.3,941.3,687.5,605.0
4900.0,658.5,954.8,738.9,759.7
5000.0,675.7,957.0,766.0,851.5
5100.0,640.3,926.0,688.6,655.1
5200.0,640.9,955.9,694.9,649.7
5300.0,643.0,943.4,698.5,692.3
5400.0,617.3,925.0,618.2,675.8
5500.0,621.6,930.7,678.7,643.5
5600.0,633.7,958.5,723.5,716.2
5700.0,677.0,966.0,761.3,813.0
5800.0,612.5,925.0,647.0,644.8
5900.0,670.9,966.0,737.4,810.8
6000.0,625.9,942.8,660.1,662.2
6100.0,652.4,951.0,727.8,760.4
6200.0,622.6,925.0,677.1,653.2
6300.0,660.8,961.5,753.0,795.7
6400.0,626.8,947.8,709.5,686.9
6500.0,634.1,931.3,710.9,657.7
6600.0,656.3,938.4,722.1,770.4
6700.0,664.0,948.0,766.0,853.0
6800.0,641.4,933.8,711.9,680.1
6900.0,628.2,940.9,705.9,648.1
7000.0,641.6,957.8,698.7,678.3
7100.0,639.4,958.7,719.7,703.2
7200.0,682.0,958.2,752.0,837.0
7300.0,621.0,925.0,627.5,641.8
7400.0,670.7,947.8,766.0,843.2
7500.0,661.4,937.5,733.8,773.9
7600.0,663.4,965.0,744.2,828.6
7700.0,669.8,966.0,763.0,843.5
7800.0,645.1,955.7,720.8,770.4
7900.0,678.1,952.6,763.8,814.3
8000.0,618.3,925.0,673.2,609.7
8100.0,619.6,947.9,669.6,601.0
8200.0,627.9,932.9,694.7,676.5
8300.0,642.7,943.4,711.2,723.3
8400.0,616.0,938.7,679.2,611.5
8500.0,640.7,953.7,694.0,653.6
8600.0,649.2,938.4,734.8,795.5
8700.0,622.6,947.7,705.8,659.3
8800.0,651.5,936.7,730.4,765.8
8900.0,618.0,928.3,623.1,708.4
9000.0,622.4,937.5,668.8,601.0
9100.0,625.4,926.7,680.3,625.0
9200.0,669.2,961.9,748.2,792.9
9300.0,623.6,948.5,674.9,601.0
9400.0,682.0,955.8,761.0,846.9
9500.0,680.9,954.0,760.6,824.0
9600.0,623.9,951.2,687.4,655.1
9700.0,629.3,925.0,710.8,649.8
9800.0,682.0,965.3,765.4,853.0
9900.0,622.4,950.1,700.6,721.9
10000.0,630.2,943.6,678.5,614.8
10100.0,647.5,944.3,732.4,774.6
10200.0,651.4,933.3,730.5,756.3
10300.0,635.1,926.6,669.5,610.4
10400.0,621.8,938.1,681.7,662.9
10500.0,620.0,953.1,700.0,634.6
10600.0,661.6,939.1,737.5,775.3
10700.0,665.9,959.3,726.3,810.7
10800.0,641.2,954.2,713.8,742.6
10900.0,621.8,929.3,697.7,703.5
11000.0,616.1,953.5,684.0,631.3
11100.0,644.8,965.5,731.3,794.3
11200.0,616.8,925.0,679.0,637.7
11300.0,637.5,945.3,702.2,642.1
11400.0,662.3,949.8,749.3,799.1
11500.0,633.3,941.0,712.9,762.7
11600.0,636.1,935.2,712.4,669.7
11700.0,659.0,959.2,734.8,816.3
11800.0,626.6,951.3,681.0,644.8
11900.0,664.1,955.1,745.7,824.3
12000.0,659.2,957.3,744.2,813.6
12100.0,651.0,966.0,747.2,815.8
12200.0,620.3,925.0,647.5,653.5
12300.0,681.2,945.9,760.4,853.0
12400.0,639.9,938.9,707.6,671.9
12500.0,621.8,925.0,704.6,641.0
12600.0,667.3,961.0,766.0,842.1
12700.0,629.6,956.3,692.8,671.2
12800.0,634.0,930.5,717.6,687.1
12900.0,621.6,940.8,683.6,653.6
13000.0,666.0,942.3,733.6,806.8
13100.0,675.9,966.0,757.5,829.8
13200.0,638.8,935.0,699.9,651.0
13300.0,637.4,931.2,683.7,616.5
13400.0,682.0,963.9,751.8,847.3
13500.0,631.8,925.5,685.5,606.8
13600.0,639.0,942.0,689.8,644.2
13700.0,673.4,966.0,766.0,852.2
13800.0,628.1,953.4,711.8,754.6
13900.0,664.5,966.0,764.2,851.4
14000.0,633.9,931.5,699.5,720.3
14100.0,631.4,935.9,701.8,709.4
14200.0,622.8,938.6,703.3,647.9
14300.0,643.2,958.0,733.1,789.7
14400.0,614.3,939.0,635.7,628.1
14500.0,620.3,954.0,681.2,659.8
14600.0,636.7,940.0,696.2,668.3
14700.0,616.7,945.7,683.4,601.0
14800.0,678.8,966.0,744.5,817.9
14900.0,627.7,945.5,698.7,712.1
15000.0,665.7,951.9,749.5,799.0
15100.0,638.7,938.7,687.4,630.8
15200.0,653.9,946.0,714.0,773.4
15300.0,682.0,963.6,742.0,839.4
15400.0,682.0,962.6,758.3,814.4
15500.0,641.2,946.7,710.4,750.0
15600.0,634.1,948.9,698.2,679.1
15700.0,673.8,966.0,749.1,848.1
15800.0,632.2,925.0,679.9,638.9
15900.0,629.2,947.8,684.8,651.9
16000.0,665.8,966.0,766.0,852.5
16100.0,640.7,925.0,683.3,649.0
16200.0,665.5,962.1,741.3,803.8
16300.0,619.2,926.1,673.0,654.3
16400.0,666.4,966.0,726.5,786.2
16500.0,625.1,926.8,674.0,630.5
16600.0,682.0,966.0,749.3,853.0
16700.0,631.2,958.0,704.1,722.8
16800.0,667.0,966.0,766.0,840.3
16900.0,621.4,937.1,690.9,661.7
17000.0,634.2,948.4,684.2,642.0
17100.0,620.9,940.8,697.4,675.2
17200.0,637.9,925.5,695.8,647.1
17300.0,659.9,966.0,742.2,797.0
17400.0,668.6,961.9,745.1,820.5
17500.0,672.9,966.0,764.5,853.0
17600.0,643.4,947.1,717.0,761.9
17700.0,678.8,966.0,766.0,853.0
17800.0,639.9,931.5,705.6,734.0
17900.0,632.8,945.8,694.9,679.7
18000.0,622.7,925.5,713.2,685.6
18100.0,625.2,928.2,695.8,612.0
18200.0,675.5,966.0,764.0,839.0
18300.0,679.8,966.0,762.2,816.6
18400.0,623.7,925.8,623.9,616.8
18500.0,629.3,954.6,708.6,670.2
18600.0,669.9,966.0,737.4,836.2
18700.0,634.5,934.0,717.2,721.6
18800.0,624.9,952.3,693.3,673.9
18900.0,652.2,955.7,733.4,812.1
19000.0,678.8,966.0,761.8,843.3
19100.0,638.4,953.0,715.3,678.2
19200.0,617.0,925.0,689.0,629.3
19300.0,626.0,950.8,693.5,640.9
19400.0,654.8,945.6,719.2,773.1
19500.0,642.3,954.2,697.3,679.8
19600.0,624.5,940.4,693.8,626.6
19700.0,674.2,948.1,757.4,842.8
19800.0,622.8,935.2,710.5,686.9
19900.0,633.2,960.7,718.5,686.9
20000.0,650.3,955.4,714.4,746.7
20100.0,662.5,958.7,742.1,809.6
20200.0,680.7,966.0,749.2,853.0
20300.0,616.0,950.2,689.2,602.3
20400.0,670.9,946.5,766.0,832.3
20500.0,649.4,958.5,732.4,788.4
20600.0,663.8,944.9,740.9,774.3
20700.0,682.0,952.5,746.1,832.5
20800.0,644.8,940.8,693.5,687.4
20900.0,634.0,937.7,697.2,682.0
21000.0,676.1,942.6,748.6,824.4
21100.0,620.4,928.9,667.9,632.5
21200.0,644.9,955.1,708.2,688.8
21300.0,628.6,926.1,696.8,644.8
21400.0,628.6,932.0,696.2,639.5
21500.0,643.5,928.4,687.5,655.6
21600.0,682.0,945.0,760.1,836.0
21700.0,614.7,944.0,684.5,601.0
21800.0,626.8,929.9,679.1,602.4
21900.0,637.8,925.0,685.3,601.0
22000.0,614.1,925.0,653.3,620.6
22100.0,630.8,951.3,675.7,601.0
22200.0,664.3,966.0,745.6,833.5
22300.0,624.6,956.2,698.7,670.0
22400.0,670.7,956.4,753.4,827.8
22500.0,679.0,958.9,766.0,845.1
22600.0,665.4,954.6,752.8,823.7
22700.0,637.4,930.8,687.0,611.0
22800.0,620.7,943.6,698.8,655.3
22900.0,619.7,938.7,716.9,674.6
23000.0,675.7,966.0,751.2,853.0
23100.0,631.3,956.2,705.1,664.0
23200.0,635.7,950.1,707.8,634.9
23300.0,667.4,966.0,760.2,836.7
23400.0,628.4,939.6,702.3,666.0
23500.0,672.9,961.3,759.2,853.0
23600.0,631.3,947.1,725.9,768.5
23700.0,600.2,932.6,616.1,730.0
23800.0,628.4,950.2,676.3,639.5
23900.0,615.5,925.0,668.9,613.0
24000.0,613.7,925.0,615.1,724.6
24100.0,656.3,947.4,723.2,774.5
24200.0,639.4,928.9,719.4,694.3
24300.0,664.7,958.0,755.3,849.1
24400.0,632.5,925.0,691.4,653.3
24500.0,627.8,944.6,724.3,747.3
24600.0,626.3,950.0,683.6,631.9
24700.0,682.0,966.0,752.3,839.3
24800.0,617.4,929.8,685.3,602.3
24900.0,668.7,964.8,752.4,831.4
25000.0,627.8,960.5,700.3,721.2
25100.0,636.3,940.8,716.2,745.8
25200.0,682.0,966.0,766.0,853.0
25300.0,638.2,958.0,743.0,780.2
25400.0,682.0,955.2,763.1,844.1
25500.0,675.6,966.0,766.0,820.4
25600.0,629.1,938.9,694.2,650.7
25700.0,631.7,951.8,718.1,675.3
25800.0,620.2,925.3,688.5,624.4
25900.0,625.6,928.9,707.9,730.5
26000.0,635.3,962.7,716.5,731.6
26100.0,664.9,966.0,742.6,792.6
26200.0,622.5,935.7,692.2,685.8
26300.0,637.0,958.9,696.7,668.1
26400.0,643.0,951.1,686.4,659.2
26500.0,624.1,943.3,687.9,612.0
26600.0,682.0,966.0,756.8,853.0
26700.0,670.4,966.0,766.0,852.0
26800.0,632.3,934.6,718.7,677.2
26900.0,633.3,957.8,728.1,737.6
27000.0,678.8,966.0,744.5,823.4
27100.0,635.5,964.9,716.9,739.9
27200.0,653.0,944.6,754.9,821.1
27300.0,682.0,966.0,766.0,830.9
27400.0,642.6,943.0,703.7,682.2
27500.0,625.9,953.4,698.1,627.0
27600.0,631.1,925.0,671.5,623.3
27700.0,675.4,966.0,754.3,843.6
27800.0,621.0,939.9,688.6,665.1
27900.0,606.7,932.6,634.2,711.8
28000.0,628.5,947.7,680.3,659.8
28100.0,637.1,932.6,692.1,653.4
28200.0,651.7,937.2,720.9,761.0
28300.0,630.5,943.4,689.3,601.0
28400.0,623.3,925.0,664.5,658.6
28500.0,674.1,962.2,766.0,837.4
28600.0,625.0,925.0,661.0,649.0
28700.0,641.2,957.3,697.0,633.6
28800.0,682.0,950.6,751.8,853.0
28900.0,620.1,937.2,653.2,667.6
29000.0,637.5,925.2,708.4,685.2
29100.0,627.4,937.1,651.0,645.0
29200.0,629.6,940.2,689.8,610.3
29300.0,640.4,956.4,685.0,634.6
29400.0,639.0,948.8,710.6,639.1
29500.0,676.6,945.8,749.7,844.1
29600.0,643.7,956.4,706.7,681.7
29700.0,637.9,947.1,712.0,682.6
29800.0,621.8,953.8,719.1,676.3
29900.0,632.4,950.4,680.9,618.4
30000.0,622.8,938.0,709.7,635.8
30100.0,627.6,930.3,714.3,693.7
30200.0,636.0,957.7,697.2,661.7
30300.0,643.0,941.7,692.7,672.8
