timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,573.5,888.0,592.0,407.5
100.0,598.1,895.7,624.6,572.2
200.0,569.3,882.0,595.6,415.1
300.0,569.7,898.2,630.5,502.6
400.0,596.5,904.5,633.2,542.3
500.0,598.6,894.5,640.0,613.9
600.0,590.3,911.3,624.4,615.5
700.0,584.8,920.2,595.1,449.2
800.0,591.4,897.6,616.3,499.1
900.0,551.8,893.9,612.8,425.9
1000.0,582.3,915.9,623.2,489.0
1100.0,598.8,918.2,609.9,517.0
1200.0,576.5,892.0,624.2,573.7
1300.0,602.2,902.8,622.8,522.3
1400.0,614.0,907.5,622.5,648.1
1500.0,579.5,910.1,630.8,516.8
1600.0,585.0,889.3,603.3,520.7
1700.0,573.4,908.4,588.6,448.6
1800.0,599.6,918.4,624.3,580.0
1900.0,585.5,895.9,626.7,639.9
2000.0,601.7,923.1,629.0,558.3
2100.0,621.0,908.1,627.8,668.3
2200.0,571.4,882.0,603.6,424.6
2300.0,593.9,891.4,612.5,504.6
2400.0,613.6,922.6,614.6,531.6
2500.0,605.6,910.9,623.8,501.8
2600.0,579.8,885.9,614.5,480.4
2700.0,603.3,917.9,626.0,520.2
2800.0,557.4,882.0,588.9,431.3
2900.0,608.5,916.3,612.7,570.1
3000.0,597.4,913.1,612.9,507.5
3100.0,575.7,885.8,588.0,429.5
3200.0,577.8,907.6,616.2,574.7
3300.0,590.9,896.8,615.0,522.3
3400.0,601.4,906.9,610.8,513.2
3500.0,566.3,900.0,588.0,414.4
3600.0,573.9,906.3,591.8,433.4
3700.0,571.4,919.2,600.8,505.9
3800.0,552.1,888.6,598.3,430.3
3900.0,580.5,904.6,607.6,462.7
4000.0,596.4,913.5,623.7,505.8
4100.0,575.5,917.0,622.1,477.1
4200.0,570.5,882.0,599.5,444.3
4300.0,576.5,921.4,611.0,501.6
4400.0,596.3,911.9,632.0,544.4
4500.0,583.6,888.5,603.4,467.2
4600.0,592.8,912.1,604.8,528.0
4700.0,599.2,902.5,611.6,531.6
4800.0,584.2,906.3,617.0,479.5
4900.0,582.4,889.2,629.6,609.9
5000.0,589.7,893.6,634.6,552.9
5100.0,590.4,913.0,638.5,631.3
5200.0,608.6,900.2,627.7,536.1
5300.0,573.6,911.0,591.3,446.4
5400.0,612.2,922.7,617.8,558.2
5500.0,590.4,905.4,609.7,504.4
5600.0,562.8,882.0,588.0,372.2
5700.0,581.6,911.7,602.6,475.5
5800.0,551.0,886.8,598.6,365.2
5900.0,590.3,894.3,640.0,602.1
6000.0,577.5,889.2,600.9,489.8
6100.0,607.5,902.6,630.0,600.4
6200.0,613.0,902.9,609.1,513.7
6300.0,590.6,907.2,608.0,497.0
6400.0,569.9,886.3,588.0,406.5
6500.0,591.9,917.1,623.9,526.5
6600.0,594.2,925.0,615.2,555.7
6700.0,557.8,898.0,598.4,401.0
6800.0,601.0,909.5,611.4,531.4
6900.0,590.3,905.0,623.6,556.5
7000.0,599.7,917.6,626.6,511.6
7100.0,610.6,924.6,602.9,510.0
7200.0,572.3,907.8,607.0,515.9
7300.0,590.7,897.6,622.2,521.1
7400.0,563.6,884.9,588.0,365.0
7500.0,567.0,882.0,598.7,401.6
7600.0,610.8,900.1,623.7,579.3
7700.0,595.0,905.4,614.7,498.1
7800.0,573.5,902.9,622.2,479.2
7900.0,595.3,898.8,609.1,533.5
8000.0,612.6,904.5,623.0,540.7
8100.0,596.6,901.2,621.4,578.0
8200.0,574.2,882.0,597.9,400.3
8300.0,604.4,911.6,615.3,638.2
8400.0,567.8,906.6,596.6,448.5
8500.0,578.7,923.0,620.7,512.9
8600.0,582.5,883.0,603.0,482.3
8700.0,568.9,882.0,588.0,413.0
8800.0,607.2,914.9,619.9,565.3
8900.0,589.5,907.0,634.4,567.2
9000.0,603.5,912.9,629.5,624.2
9100.0,588.1,886.1,588.0,482.4
9200.0,604.5,901.2,615.2,582.7
9300.0,577.2,895.8,608.3,481.3
9400.0,586.4,918.0,632.8,593.7
9500.0,561.3,882.0,597.5,412.3
9600.0,602.4,925.0,624.4,574.7
9700.0,598.3,895.7,623.6,495.4
9800.0,587.8,900.6,601.9,616.1
9900.0,585.5,891.3,619.4,528.3
10000.0,573.7,882.0,592.9,494.5
