timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,706.0,961.0,795.0,908.0
100.0,709.0,961.0,796.0,913.0
200.0,710.0,962.0,796.0,920.0
300.0,711.0,962.0,798.0,925.0
400.0,712.0,964.0,798.0,929.0
500.0,715.0,964.0,799.0,933.0
600.0,717.0,965.0,800.0,937.0
700.0,719.0,966.0,801.0,939.0
800.0,721.0,967.0,802.0,942.0
900.0,723.0,967.0,803.0,945.0
1000.0,725.0,968.0,804.0,946.0
1100.0,727.0,968.0,804.0,946.0
1200.0,728.0,968.0,805.0,947.0
1300.0,730.0,968.0,806.0,947.0
1400.0,731.0,968.0,808.0,946.0
1500.0,733.0,968.0,808.0,945.0
1600.0,733.0,967.0,808.0,942.0
1700.0,734.0,967.0,809.0,940.0
1800.0,734.0,967.0,810.0,936.0
1900.0,733.0,967.0,809.0,932.0
2000.0,734.0,967.0,810.0,929.0
2100.0,732.0,967.0,809.0,926.0
2200.0,732.0,967.0,810.0,921.0
2300.0,732.0,966.0,810.0,917.0
2400.0,731.0,964.0,810.0,915.0
2500.0,730.0,965.0,810.0,912.0
2600.0,729.0,965.0,810.0,909.0
2700.0,728.0,965.0,810.0,909.0
2800.0,727.0,963.0,809.0,906.0
2900.0,727.0,964.0,810.0,907.0
3000.0,725.0,964.0,809.0,907.0
3100.0,724.0,964.0,809.0,908.0
3200.0,724.0,962.0,809.0,908.0
3300.0,723.0,963.0,808.0,910.0
3400.0,722.0,962.0,808.0,912.0
3500.0,720.0,962.0,809.0,916.0
3600.0,721.0,962.0,808.0,918.0
3700.0,718.0,963.0,808.0,920.0
3800.0,719.0,963.0,809.0,922.0
3900.0,717.0,962.0,808.0,923.0
4000.0,717.0,961.0,808.0,923.0
4100.0,716.0,962.0,808.0,922.0
4200.0,715.0,961.0,808.0,920.0
4300.0,713.0,960.0,808.0,918.0
4400.0,713.0,961.0,807.0,914.0
4500.0,711.0,960.0,805.0,911.0
4600.0,709.0,960.0,806.0,908.0
4700.0,709.0,959.0,804.0,904.0
4800.0,708.0,959.0,804.0,901.0
4900.0,706.0,958.0,803.0,895.0
5000.0,705.0,957.0,802.0,892.0
5100.0,703.0,956.0,800.0,886.0
5200.0,702.0,956.0,800.0,882.0
5300.0,700.0,956.0,799.0,879.0
5400.0,699.0,955.0,798.0,873.0
5500.0,697.0,954.0,797.0,870.0
5600.0,695.0,954.0,796.0,868.0
5700.0,695.0,953.0,795.0,865.0
5800.0,693.0,953.0,793.0,862.0
5900.0,692.0,952.0,792.0,860.0
6000.0,690.0,951.0,792.0,861.0
