timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,762.5,971.5,792.5,916.2
100.0,652.7,931.0,727.6,635.2
200.0,639.7,960.4,749.0,872.4
300.0,756.0,971.7,798.5,945.0
400.0,766.8,981.0,806.2,954.9
500.0,654.1,947.3,709.0,873.6
600.0,655.6,936.9,721.4,651.9
700.0,736.8,975.0,805.0,924.8
800.0,636.0,928.0,744.6,580.0
900.0,723.8,954.5,787.5,860.4
1000.0,663.0,955.2,748.3,899.8
1100.0,764.7,970.6,800.3,941.9
1200.0,660.0,928.0,762.5,762.3
1300.0,745.2,978.4,814.2,953.8
1400.0,708.9,944.8,801.0,926.9
1500.0,738.7,963.9,794.7,909.5
1600.0,638.4,939.0,754.3,601.7
1700.0,685.9,961.7,792.0,830.1
1800.0,754.1,962.5,804.8,912.8
1900.0,666.2,934.5,729.3,667.8
2000.0,691.5,964.2,721.3,620.8
2100.0,743.0,981.0,786.1,909.0
2200.0,670.1,975.6,732.9,631.4
2300.0,763.2,981.0,815.0,953.9
2400.0,775.0,968.4,790.4,953.0
2500.0,663.9,944.9,753.3,794.2
2600.0,758.3,957.5,810.1,930.2
2700.0,636.0,928.0,719.2,570.1
2800.0,652.6,936.9,761.3,763.9
2900.0,647.3,947.6,713.9,582.0
3000.0,684.3,964.0,772.2,876.8
3100.0,751.1,981.0,793.6,954.8
3200.0,648.0,946.6,715.5,639.3
3300.0,718.6,966.5,815.0,894.8
3400.0,682.8,945.1,795.5,949.1
3500.0,636.0,928.0,739.6,582.4
3600.0,743.2,976.5,787.0,948.5
3700.0,675.2,956.9,785.7,860.2
3800.0,685.5,959.6,785.6,895.9
3900.0,649.4,933.2,717.7,622.9
4000.0,715.5,941.3,812.3,871.5
4100.0,650.2,949.6,740.0,642.3
4200.0,676.2,948.1,775.9,782.8
4300.0,636.0,936.4,737.7,628.5
4400.0,681.1,964.1,780.8,941.4
4500.0,676.2,940.2,784.0,865.1
4600.0,775.0,967.8,809.5,929.3
4700.0,775.0,969.9,807.6,956.4
4800.0,740.7,975.1,806.7,915.7
4900.0,659.6,947.8,746.9,732.4
5000.0,672.8,954.2,767.6,792.0
5100.0,682.2,937.1,775.3,761.6
5200.0,775.0,974.5,803.2,943.8
5300.0,664.8,946.4,730.5,646.8
5400.0,718.9,957.5,811.8,933.0
5500.0,636.0,928.0,730.5,571.0
5600.0,742.1,975.4,807.1,962.0
5700.0,708.3,964.9,784.2,934.2
5800.0,717.0,955.8,775.8,813.3
5900.0,650.8,933.3,713.1,613.1
6000.0,673.8,950.0,708.0,880.2
6100.0,726.8,979.2,734.9,955.2
6200.0,651.4,928.0,746.1,589.7
6300.0,671.4,946.6,738.8,804.3
6400.0,718.8,980.1,815.0,872.8
6500.0,699.3,942.2,755.5,780.3
6600.0,666.1,928.0,727.0,692.4
6700.0,706.1,963.6,789.2,938.6
6800.0,694.2,964.2,785.2,879.4
6900.0,688.7,950.7,791.2,894.9
7000.0,702.4,970.7,792.6,947.2
7100.0,653.8,947.9,740.0,884.5
7200.0,707.6,977.5,799.6,899.5
7300.0,749.5,977.8,794.1,947.6
7400.0,653.1,940.6,757.9,902.9
7500.0,762.9,974.8,805.2,946.0
7600.0,662.4,949.8,747.0,669.3
7700.0,655.9,946.2,745.9,669.0
7800.0,647.0,928.0,707.0,775.2
7900.0,659.0,936.9,726.5,727.0
8000.0,683.0,974.2,781.0,930.3
8100.0,685.3,944.6,786.2,879.2
8200.0,646.1,932.5,716.7,633.0
8300.0,695.1,948.1,792.6,914.0
8400.0,760.5,974.2,805.3,947.5
8500.0,763.7,976.0,815.0,891.2
8600.0,654.3,934.9,746.9,615.0
8700.0,671.8,950.5,770.8,847.7
8800.0,765.3,981.0,793.3,962.0
8900.0,716.3,975.4,759.8,887.4
9000.0,704.0,969.2,756.8,930.0
9100.0,653.0,930.7,758.6,690.0
9200.0,636.0,956.1,754.6,719.4
9300.0,680.7,933.8,771.2,854.6
9400.0,713.7,946.6,794.4,911.3
9500.0,755.5,971.9,805.5,910.0
9600.0,678.2,936.1,779.6,873.1
9700.0,703.2,974.4,754.8,772.9
9800.0,693.2,951.5,730.0,918.1
9900.0,687.0,957.7,748.6,782.0
10000.0,733.4,981.0,771.3,958.9
10100.0,654.1,962.2,754.8,741.3
10200.0,694.1,960.8,762.6,839.3
10300.0,648.1,936.1,707.0,586.7
10400.0,698.4,962.5,787.5,910.0
10500.0,637.1,939.4,740.3,727.5
10600.0,759.7,981.0,806.6,924.7
10700.0,660.9,933.0,758.7,739.3
10800.0,728.5,981.0,799.0,923.3
10900.0,746.0,957.7,801.8,952.4
11000.0,636.0,939.3,707.0,699.2
11100.0,686.0,933.2,776.2,823.3
11200.0,727.8,973.4,760.7,878.6
11300.0,675.5,947.3,707.6,862.6
11400.0,756.7,967.6,802.1,955.5
11500.0,652.8,957.0,722.8,638.6
11600.0,645.3,949.6,717.6,634.1
