timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,610.1,896.0,698.8,535.1
100.0,609.5,913.2,694.6,518.5
200.0,608.0,919.5,675.7,618.0
300.0,609.1,899.9,685.5,501.3
400.0,612.1,911.5,669.0,568.0
500.0,661.2,936.9,741.8,634.1
600.0,734.3,975.5,803.4,959.1
700.0,666.2,944.3,696.0,567.7
800.0,627.9,901.3,700.8,545.7
900.0,648.9,924.2,693.9,577.0
1000.0,687.8,976.0,721.4,702.9
1100.0,642.1,918.6,731.5,699.1
1200.0,632.4,912.6,738.1,839.5
1300.0,646.7,942.7,700.9,595.5
1400.0,661.3,942.7,724.8,832.0
1500.0,662.7,926.2,680.6,475.0
1600.0,614.5,896.0,673.5,624.4
1700.0,627.5,915.2,686.3,717.1
1800.0,722.6,958.7,791.4,923.3
1900.0,646.9,958.7,727.7,814.5
2000.0,662.8,944.1,752.3,875.5
2100.0,660.4,926.8,737.3,648.0
2200.0,622.9,913.9,673.0,638.0
2300.0,661.1,930.2,741.3,679.6
2400.0,655.7,937.4,760.7,674.1
2500.0,738.2,963.2,793.4,889.8
2600.0,657.1,934.5,727.0,735.4
2700.0,611.6,910.6,716.0,545.7
2800.0,672.6,942.1,699.2,891.4
2900.0,645.4,928.8,753.9,877.0
3000.0,660.5,942.7,732.8,829.2
3100.0,650.4,939.0,679.9,682.1
3200.0,667.5,947.6,712.2,596.9
3300.0,646.1,942.9,732.0,796.5
3400.0,746.7,977.0,784.2,959.6
3500.0,716.4,952.7,797.7,947.1
3600.0,667.0,926.2,714.4,610.2
3700.0,746.2,951.9,758.3,960.0
3800.0,730.0,977.0,801.3,933.9
3900.0,723.3,965.6,809.0,960.0
4000.0,647.9,939.5,681.9,725.7
4100.0,693.2,977.0,735.4,778.4
4200.0,634.0,905.6,723.9,770.7
4300.0,750.0,977.0,792.4,959.3
4400.0,653.3,943.1,720.8,604.1
4500.0,750.0,971.8,797.9,950.1
4600.0,674.9,943.5,765.3,802.4
4700.0,612.1,896.0,674.3,536.5
4800.0,640.6,928.7,740.5,711.5
4900.0,685.8,973.6,783.2,851.1
5000.0,696.3,975.5,769.2,921.2
5100.0,695.0,960.6,775.7,946.1
5200.0,673.8,956.3,699.0,616.0
5300.0,646.8,933.2,702.3,824.7
5400.0,741.5,977.0,808.6,960.0
5500.0,634.8,945.2,699.8,765.2
5600.0,637.3,913.7,729.2,594.1
5700.0,743.8,971.2,767.3,960.0
5800.0,615.0,902.4,693.4,587.5
5900.0,708.0,956.4,800.8,883.6
6000.0,645.9,918.5,736.1,650.7
6100.0,620.7,924.8,717.2,634.6
6200.0,669.1,950.1,716.7,593.1
6300.0,714.4,968.1,762.9,891.0
6400.0,745.4,977.0,799.9,946.1
6500.0,678.8,951.5,688.1,655.7
6600.0,625.9,917.6,697.8,806.9
6700.0,638.2,940.7,699.5,795.7
6800.0,698.6,949.7,803.3,839.9
6900.0,640.8,949.9,677.3,688.0
7000.0,732.3,963.7,802.7,899.8
7100.0,614.6,911.4,679.7,609.0
7200.0,658.1,955.2,731.5,746.9
7300.0,662.7,955.9,736.7,655.2
7400.0,629.8,908.8,732.1,583.1
7500.0,724.8,959.7,794.1,957.4
7600.0,733.1,975.0,787.6,958.7
7700.0,676.2,958.3,704.4,663.0
7800.0,650.3,915.7,731.9,776.8
7900.0,659.4,949.2,738.6,695.0
8000.0,743.0,956.2,791.9,950.3
8100.0,726.5,977.0,775.7,867.2
8200.0,657.0,934.0,732.1,743.6
8300.0,608.1,896.0,676.6,514.5
8400.0,703.6,958.9,770.1,922.3
8500.0,718.1,977.0,809.0,952.4
8600.0,673.2,933.0,770.3,713.5
8700.0,608.0,911.6,669.0,630.6
8800.0,719.8,973.6,758.4,908.6
8900.0,750.0,977.0,805.3,944.3
9000.0,673.4,929.4,766.2,725.1
9100.0,656.2,956.2,710.2,603.9
9200.0,715.7,972.0,777.5,896.6
9300.0,618.1,901.6,708.2,582.5
9400.0,653.5,946.0,675.5,479.4
9500.0,608.0,908.4,686.2,618.3
9600.0,653.8,926.7,701.6,598.4
9700.0,613.2,896.2,715.6,558.7
9800.0,630.8,910.5,738.0,636.4
9900.0,668.9,963.8,708.5,813.5
10000.0,641.3,942.1,731.8,630.5
10100.0,622.5,896.0,699.4,610.5
10200.0,656.2,937.6,712.8,603.7
10300.0,669.6,948.4,724.3,828.7
10400.0,629.3,917.8,688.8,821.5
10500.0,655.9,954.9,735.4,795.8
10600.0,609.8,896.0,689.8,620.3
10700.0,720.0,960.5,779.2,960.0
10800.0,714.3,959.5,790.0,946.2
10900.0,668.5,947.7,718.9,581.1
11000.0,687.8,953.6,727.7,652.8
11100.0,652.4,915.9,718.5,613.9
11200.0,615.3,910.6,704.6,609.2
11300.0,662.4,934.5,718.2,690.5
11400.0,655.8,961.5,721.5,855.3
11500.0,608.0,896.0,683.1,511.4
11600.0,643.0,922.3,678.6,427.7
11700.0,652.8,920.1,770.4,701.1
11800.0,723.6,977.0,807.1,960.0
11900.0,661.8,963.6,759.1,738.1
12000.0,648.2,920.6,716.8,691.9
12100.0,673.8,938.3,691.4,687.2
12200.0,644.9,947.0,734.9,786.5
12300.0,626.8,901.7,708.4,577.0
12400.0,627.7,940.5,719.7,604.4
12500.0,677.5,954.8,691.4,687.3
12600.0,735.1,977.0,785.6,950.3
12700.0,741.9,966.1,765.6,960.0
12800.0,622.6,896.0,669.0,664.4
12900.0,616.7,901.5,702.5,574.2
13000.0,618.0,897.0,695.8,664.5
13100.0,638.3,924.2,723.6,741.1
13200.0,655.4,956.0,773.7,668.9
13300.0,695.9,971.5,716.5,724.3
13400.0,612.0,914.2,679.0,512.9
13500.0,608.0,916.5,694.4,560.0
13600.0,740.7,954.3,801.5,907.0
13700.0,649.9,920.4,768.7,708.3
13800.0,637.1,931.5,721.9,663.3
13900.0,645.9,931.1,738.7,618.9
14000.0,664.7,928.5,714.0,677.1
14100.0,725.5,976.2,790.6,927.1
14200.0,630.7,908.1,713.6,555.4
14300.0,676.0,975.8,701.6,661.4
14400.0,610.7,907.7,696.5,498.1
14500.0,637.8,937.9,687.1,434.0
14600.0,719.6,977.0,797.2,931.1
14700.0,616.2,896.0,669.0,526.2
14800.0,675.3,956.9,786.3,920.2
14900.0,611.2,901.2,688.2,628.0
15000.0,749.4,969.2,804.9,947.4
15100.0,658.5,929.7,684.1,446.6
15200.0,722.3,977.0,726.5,941.4
15300.0,678.8,968.6,758.9,858.8
15400.0,648.3,934.2,710.2,570.5
15500.0,653.1,948.2,729.1,627.8
15600.0,622.0,904.0,669.0,565.3
15700.0,659.7,945.7,704.0,587.6
15800.0,654.4,938.8,744.4,842.6
15900.0,704.1,969.3,744.0,937.9
16000.0,649.2,945.3,684.1,724.6
16100.0,672.5,946.1,774.0,768.2
16200.0,649.7,944.8,740.5,614.2
16300.0,647.9,926.8,726.3,690.3
16400.0,729.3,951.8,788.8,935.8
16500.0,611.9,900.4,719.0,550.7
16600.0,737.3,977.0,804.0,960.0
16700.0,659.8,922.5,690.6,480.5
16800.0,660.1,916.3,752.5,641.4
16900.0,620.8,915.1,669.0,574.1
17000.0,677.2,970.8,707.4,662.0
17100.0,654.1,961.2,762.8,733.1
17200.0,635.8,905.1,738.8,673.0
17300.0,683.3,958.4,776.2,839.7
17400.0,691.9,959.4,769.6,840.8
17500.0,700.3,943.9,782.9,839.0
17600.0,702.5,946.5,791.2,863.5
17700.0,655.9,945.8,716.6,666.7
17800.0,618.2,917.7,680.7,557.3
17900.0,702.5,971.0,772.9,849.5
18000.0,618.0,918.6,690.4,539.7
18100.0,670.2,954.9,698.9,615.7
18200.0,622.3,922.1,669.0,518.3
18300.0,621.1,901.1,705.2,607.4
18400.0,627.3,924.1,714.1,574.1
18500.0,656.4,938.5,669.0,451.6
18600.0,650.2,924.2,753.1,689.2
18700.0,641.7,941.6,692.5,571.7
18800.0,631.1,936.6,700.6,789.1
18900.0,698.1,948.7,762.7,930.9
19000.0,614.9,914.5,702.0,560.3
19100.0,637.8,920.6,684.2,675.1
19200.0,695.8,972.3,795.0,872.1
19300.0,657.0,946.0,700.8,601.2
19400.0,646.5,935.1,728.1,645.9
19500.0,672.0,974.1,701.6,899.3
19600.0,734.6,977.0,808.6,960.0
19700.0,667.7,966.3,696.1,521.3
19800.0,734.8,976.5,787.5,941.9
19900.0,651.5,956.2,701.6,832.6
20000.0,719.0,972.1,726.0,840.5
20100.0,634.1,917.2,745.3,888.5
20200.0,704.7,977.0,747.7,890.1
20300.0,631.3,913.1,696.6,589.5
20400.0,690.7,971.7,752.0,792.2
20500.0,628.8,934.3,746.0,744.5
20600.0,644.5,936.2,740.6,652.3
20700.0,690.1,950.7,772.9,952.1
20800.0,608.0,908.2,671.8,582.8
20900.0,613.1,914.8,694.7,622.3
21000.0,689.6,954.2,689.9,681.2
21100.0,653.8,927.7,701.2,613.7
21200.0,700.0,941.9,727.5,914.2
21300.0,646.5,928.8,729.1,655.7
21400.0,654.9,954.5,669.0,445.3
21500.0,641.9,921.3,737.9,631.6
21600.0,648.6,920.2,725.1,692.6
21700.0,702.7,953.1,796.1,891.1
21800.0,617.1,920.7,676.8,513.3
21900.0,737.7,977.0,805.5,942.2
22000.0,647.6,928.9,684.3,822.8
22100.0,667.3,949.8,688.1,492.7
22200.0,690.0,970.9,748.8,851.9
22300.0,608.0,909.5,675.4,549.1
22400.0,667.7,930.6,723.9,813.8
22500.0,620.6,920.0,673.5,630.5
22600.0,715.3,958.0,795.3,904.2
22700.0,696.5,962.1,742.3,824.1
22800.0,638.0,918.1,717.3,628.0
22900.0,750.0,957.6,792.8,960.0
23000.0,733.4,977.0,809.0,910.9
23100.0,608.6,918.1,675.6,608.6
23200.0,653.9,929.3,702.5,710.5
23300.0,671.2,931.7,703.4,620.9
23400.0,617.6,900.4,683.4,567.5
23500.0,628.1,906.5,683.1,622.6
23600.0,668.6,959.4,762.2,677.7
23700.0,661.4,939.1,695.0,519.5
23800.0,608.0,902.4,685.0,506.8
23900.0,702.3,948.1,729.0,942.0
24000.0,642.4,912.0,683.0,714.9
24100.0,732.4,953.7,744.7,930.0
24200.0,660.9,946.7,725.6,837.4
24300.0,664.4,958.5,749.9,818.1
24400.0,723.0,950.3,732.7,928.3
