timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,659.1,943.9,791.5,945.0
100.0,613.4,907.0,648.0,392.5
200.0,707.6,951.9,811.3,950.2
300.0,715.1,954.4,777.5,913.1
400.0,723.0,962.4,779.7,947.4
500.0,666.0,958.6,781.9,780.6
600.0,728.1,968.6,806.9,946.6
700.0,744.0,976.0,814.0,938.4
800.0,660.9,933.4,797.0,927.6
900.0,682.3,948.6,780.8,903.3
1000.0,691.5,963.6,792.2,932.3
1100.0,698.0,956.7,795.0,924.8
1200.0,674.7,953.9,746.3,872.6
1300.0,678.5,942.6,776.3,949.5
1400.0,736.3,961.9,793.2,940.4
1500.0,699.3,944.6,790.1,863.2
1600.0,698.7,957.9,791.3,881.8
1700.0,675.8,930.9,755.3,928.1
1800.0,660.9,948.6,785.1,930.8
1900.0,716.4,967.7,814.0,959.0
2000.0,703.1,976.0,768.7,911.7
2100.0,673.8,938.3,785.9,912.3
2200.0,657.3,934.9,741.2,734.0
2300.0,722.1,966.1,808.6,926.8
2400.0,681.2,941.4,760.6,912.8
2500.0,646.7,940.0,678.3,882.9
2600.0,665.6,949.7,801.4,895.3
2700.0,684.9,961.4,709.0,927.3
2800.0,727.4,950.6,787.1,932.4
2900.0,717.3,974.3,813.0,958.2
3000.0,732.8,970.6,795.4,938.3
3100.0,708.3,959.6,744.6,916.5
3200.0,723.3,965.5,805.0,949.5
3300.0,695.4,942.1,785.4,856.6
3400.0,659.6,924.5,738.7,676.6
3500.0,744.0,976.0,806.6,949.3
3600.0,737.7,957.7,796.1,913.7
3700.0,701.1,957.9,770.9,947.2
3800.0,663.3,950.3,754.2,855.4
3900.0,738.4,976.0,796.6,943.7
4000.0,676.4,959.8,778.6,783.9
4100.0,730.0,967.8,773.6,908.9
4200.0,687.5,976.0,721.7,915.3
4300.0,665.9,954.2,745.9,909.3
4400.0,694.8,973.1,777.6,916.8
4500.0,699.6,965.0,788.5,946.6
4600.0,722.9,954.6,808.2,959.0
4700.0,682.8,967.5,801.8,922.6
4800.0,726.5,976.0,783.3,954.1
4900.0,701.4,959.9,794.5,947.9
5000.0,732.8,955.2,787.6,898.3
5100.0,732.1,976.0,786.2,915.0
5200.0,707.2,975.1,795.8,954.5
5300.0,685.8,943.6,738.8,854.1
5400.0,686.6,970.8,761.1,939.7
5500.0,716.0,976.0,786.9,921.5
5600.0,735.8,976.0,806.8,948.6
5700.0,685.6,938.1,747.3,749.8
5800.0,671.5,944.0,775.0,874.3
5900.0,624.2,907.0,649.3,372.0
6000.0,689.8,945.0,777.4,827.4
6100.0,670.2,943.1,798.1,912.9
6200.0,725.7,972.8,808.9,934.1
6300.0,637.4,928.3,732.1,688.1
6400.0,661.7,940.5,764.3,809.0
6500.0,695.3,948.1,742.8,735.4
6600.0,725.0,969.5,783.9,936.2
6700.0,693.1,939.2,799.0,883.1
6800.0,744.0,958.9,792.1,950.2
6900.0,689.8,960.4,792.2,945.4
7000.0,673.5,940.9,785.9,928.8
7100.0,719.9,976.0,792.2,957.6
7200.0,719.2,956.3,746.8,864.9
7300.0,668.8,955.9,723.5,793.0
7400.0,658.4,942.9,796.0,929.2
7500.0,664.7,941.4,750.8,859.8
7600.0,674.4,964.8,709.1,904.4
7700.0,703.5,976.0,795.7,954.9
7800.0,660.2,950.4,751.4,850.2
7900.0,651.9,932.0,726.2,854.6
8000.0,663.6,966.6,742.5,808.1
8100.0,636.9,927.5,726.9,676.8
8200.0,680.3,944.1,797.9,927.9
8300.0,702.7,955.2,813.3,921.5
8400.0,722.6,964.1,784.0,887.4
8500.0,611.0,907.0,662.8,379.1
8600.0,640.0,942.7,750.2,731.8
8700.0,704.8,976.0,788.5,938.5
8800.0,656.6,950.9,714.5,680.4
8900.0,725.3,976.0,814.0,959.0
9000.0,724.7,955.0,795.1,959.0
9100.0,730.5,976.0,809.3,950.7
9200.0,657.5,933.8,790.5,927.7
9300.0,668.9,947.5,781.8,937.6
9400.0,707.5,962.8,778.7,940.2
9500.0,733.7,953.9,801.2,929.9
9600.0,616.8,923.2,648.0,677.6
9700.0,678.9,963.8,786.6,914.4
9800.0,665.6,937.7,747.7,878.6
9900.0,727.5,956.6,789.5,925.3
10000.0,665.7,943.0,771.2,929.2
10100.0,731.2,960.6,814.0,947.8
10200.0,712.4,942.8,793.3,917.4
10300.0,744.0,976.0,791.8,959.0
10400.0,718.8,976.0,792.2,934.7
10500.0,709.4,958.5,761.9,916.1
10600.0,725.8,957.3,796.6,900.7
10700.0,655.2,928.3,679.9,892.5
10800.0,666.1,957.9,778.8,846.2
10900.0,740.6,974.9,777.5,943.3
11000.0,718.5,975.5,789.6,931.8
11100.0,727.9,973.5,782.0,959.0
11200.0,693.5,951.9,711.6,907.9
11300.0,704.9,954.4,757.4,892.1
11400.0,726.4,973.6,774.5,891.6
11500.0,664.2,948.1,753.1,852.6
11600.0,667.3,953.7,794.7,941.5
11700.0,707.9,963.5,798.9,948.8
11800.0,723.4,976.0,810.8,936.1
11900.0,669.2,967.7,785.4,908.7
12000.0,721.7,976.0,759.4,933.8
12100.0,681.6,951.5,774.1,923.4
12200.0,722.3,953.0,787.6,956.4
12300.0,662.2,964.6,760.4,876.9
12400.0,668.3,944.3,767.9,866.3
12500.0,705.1,959.7,797.0,959.0
12600.0,720.5,962.5,787.0,919.7
12700.0,690.6,958.3,754.8,732.8
12800.0,732.7,976.0,811.3,940.9
12900.0,714.1,976.0,754.7,935.9
