timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,439.0,767.0,450.4,342.3
100.0,439.0,767.0,452.3,329.0
200.0,439.0,767.0,448.6,335.9
300.0,439.0,767.0,453.0,336.7
400.0,439.0,772.0,447.0,337.9
500.0,439.0,772.0,449.7,331.6
600.0,434.0,767.0,447.0,346.0
700.0,439.0,772.0,450.3,335.4
800.0,435.6,772.0,447.0,339.1
900.0,436.9,772.0,453.0,338.1
1000.0,434.4,772.0,453.0,346.0
1100.0,439.0,767.0,447.7,334.1
1200.0,434.0,768.8,451.1,338.5
1300.0,439.0,772.0,447.0,332.4
1400.0,438.0,772.0,449.2,334.7
1500.0,436.6,767.0,453.0,334.3
1600.0,439.0,767.0,453.0,335.8
1700.0,438.4,772.0,447.0,338.4
1800.0,439.0,769.0,453.0,341.5
1900.0,434.6,772.0,447.0,341.3
2000.0,434.0,767.0,450.8,335.2
2100.0,439.0,772.0,452.5,333.0
2200.0,438.9,772.0,449.8,330.4
2300.0,437.5,767.0,453.0,336.3
2400.0,439.0,771.3,447.0,346.0
2500.0,437.2,767.0,447.0,345.3
2600.0,439.0,772.0,447.0,343.7
2700.0,439.0,769.1,453.0,330.7
2800.0,439.0,770.5,447.0,329.0
2900.0,439.0,769.9,453.0,333.8
3000.0,439.0,767.0,452.0,346.0
3100.0,439.0,767.0,447.0,330.4
3200.0,435.0,767.0,453.0,338.0
3300.0,437.2,772.0,453.0,341.9
3400.0,434.0,772.0,447.0,337.3
3500.0,434.0,767.0,447.0,329.0
3600.0,434.0,767.0,453.0,342.0
3700.0,439.0,767.0,447.0,329.0
3800.0,434.0,767.0,453.0,333.5
3900.0,434.6,769.7,453.0,339.8
4000.0,434.0,767.0,447.0,329.9
4100.0,434.0,772.0,453.0,334.2
4200.0,434.0,767.0,447.0,332.4
4300.0,439.0,768.7,451.4,329.0
4400.0,438.3,772.0,453.0,333.5
4500.0,434.0,767.0,447.0,345.1
4600.0,434.6,767.0,447.0,340.5
4700.0,439.0,767.0,453.0,332.1
4800.0,434.0,771.1,447.0,334.6
4900.0,439.0,767.6,453.0,337.3
5000.0,439.0,767.0,453.0,337.2
5100.0,434.0,767.0,447.0,329.6
5200.0,439.0,772.0,447.0,329.0
5300.0,434.0,772.0,450.8,343.5
5400.0,435.2,767.0,453.0,329.0
5500.0,436.0,767.0,451.6,335.6
5600.0,434.0,770.6,453.0,333.6
5700.0,434.0,772.0,450.0,329.0
5800.0,439.0,772.0,453.0,346.0
5900.0,434.7,772.0,451.4,331.2
6000.0,437.7,767.0,448.4,331.4
6100.0,434.0,772.0,453.0,336.3
6200.0,439.0,772.0,447.0,338.3
6300.0,434.8,767.0,450.8,332.7
6400.0,439.0,767.6,447.0,329.4
6500.0,439.0,772.0,448.8,329.0
6600.0,439.0,767.0,447.0,341.6
6700.0,439.0,767.0,453.0,334.4
6800.0,437.6,767.0,447.0,331.8
6900.0,437.2,772.0,453.0,330.0
7000.0,438.1,770.6,447.0,329.0
