timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,610.3,778.0,484.0,470.5
100.0,613.2,778.0,480.4,479.3
200.0,598.0,778.0,479.3,481.7
300.0,610.4,773.2,487.3,489.0
400.0,599.0,763.6,466.4,483.3
500.0,614.0,757.0,479.3,477.6
600.0,598.9,769.9,490.0,468.0
700.0,598.0,778.0,493.0,477.5
800.0,598.0,771.0,466.0,486.6
900.0,600.8,757.7,477.6,489.0
1000.0,598.0,768.0,493.0,476.9
1100.0,598.0,758.8,480.3,481.2
1200.0,614.0,758.4,484.6,478.2
1300.0,602.2,768.1,470.9,489.0
1400.0,600.6,778.0,476.7,482.1
1500.0,611.9,778.0,481.1,489.0
1600.0,600.1,773.7,466.0,479.1
1700.0,605.1,776.5,466.3,480.1
1800.0,603.6,778.0,481.6,479.7
1900.0,600.5,765.8,477.7,489.0
2000.0,608.9,777.6,478.1,484.6
2100.0,614.0,770.3,491.1,484.7
2200.0,610.4,766.1,481.4,486.4
2300.0,599.4,778.0,493.0,468.0
2400.0,614.0,757.0,468.2,489.0
2500.0,608.2,769.1,481.9,489.0
2600.0,612.7,777.5,488.6,472.6
2700.0,613.0,778.0,470.2,475.0
2800.0,600.5,766.6,484.9,489.0
2900.0,608.2,766.4,483.9,470.7
3000.0,601.8,776.0,480.4,474.0
3100.0,598.0,775.7,491.9,472.1
3200.0,605.5,778.0,475.9,487.4
3300.0,614.0,765.9,469.7,486.1
3400.0,603.8,778.0,492.2,471.7
3500.0,605.3,759.3,477.7,489.0
3600.0,607.2,763.1,487.5,489.0
3700.0,614.0,778.0,478.7,484.9
3800.0,602.8,778.0,481.7,487.2
3900.0,602.2,768.4,468.4,489.0
4000.0,614.0,771.1,471.0,489.0
4100.0,602.8,778.0,487.3,487.8
4200.0,614.0,778.0,492.6,489.0
4300.0,614.0,778.0,481.3,477.8
4400.0,610.6,772.3,481.7,477.4
4500.0,598.0,757.0,472.8,480.1
4600.0,598.4,774.6,479.3,474.2
4700.0,610.4,778.0,481.0,487.8
4800.0,599.0,778.0,487.0,480.9
4900.0,598.0,778.0,483.0,468.0
5000.0,611.8,757.0,474.9,483.6
5100.0,598.0,766.1,476.5,481.2
5200.0,601.9,768.1,491.6,481.7
5300.0,598.0,778.0,493.0,468.0
5400.0,614.0,774.5,475.9,489.0
5500.0,605.4,758.8,477.1,489.0
5600.0,598.0,778.0,487.9,470.4
5700.0,604.4,763.1,475.6,471.3
5800.0,613.7,757.0,475.3,489.0
5900.0,600.5,778.0,493.0,484.6
6000.0,607.2,757.0,466.0,489.0
6100.0,603.8,769.7,475.2,470.5
6200.0,598.0,766.7,482.7,482.6
6300.0,611.5,772.7,481.6,476.3
6400.0,608.1,767.5,488.3,483.2
6500.0,614.0,769.3,472.3,470.0
6600.0,598.7,765.4,473.0,481.4
6700.0,599.9,762.7,474.6,481.2
6800.0,601.0,762.5,486.9,489.0
6900.0,598.0,757.0,469.3,485.3
7000.0,598.0,766.6,489.0,473.2
7100.0,606.3,773.7,490.7,489.0
7200.0,601.7,777.4,481.6,471.3
7300.0,598.0,778.0,487.3,481.4
