timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,501.6,713.3,417.5,250.5
100.0,479.0,688.1,403.4,231.0
200.0,506.4,710.5,424.6,259.8
300.0,486.4,666.1,391.5,231.7
400.0,499.5,711.9,429.3,244.3
500.0,501.9,676.1,393.1,237.2
600.0,515.0,725.9,433.7,262.2
700.0,515.7,704.1,424.4,257.0
800.0,516.9,732.0,452.0,274.8
900.0,482.7,690.5,400.8,230.6
1000.0,491.4,703.9,427.3,252.9
1100.0,503.3,720.3,437.1,253.2
1200.0,515.4,732.0,444.0,261.8
1300.0,489.6,688.3,391.9,231.1
1400.0,494.0,676.3,403.9,238.8
1500.0,479.0,654.8,385.1,219.0
1600.0,508.7,712.3,410.7,258.2
1700.0,493.3,683.8,405.4,232.9
1800.0,489.0,657.4,383.0,231.0
1900.0,500.1,704.9,420.0,238.3
2000.0,515.1,732.0,438.4,267.1
2100.0,484.8,671.9,408.9,228.5
2200.0,509.9,698.0,420.1,247.7
2300.0,515.8,703.4,425.0,262.4
2400.0,514.4,706.2,418.2,268.0
2500.0,517.3,707.3,429.3,261.5
2600.0,512.4,717.8,452.0,272.9
2700.0,486.2,678.4,409.8,239.7
2800.0,501.9,694.7,406.6,238.1
2900.0,491.8,676.1,409.0,227.5
3000.0,489.2,670.6,385.0,227.3
3100.0,501.3,712.3,416.2,247.5
3200.0,515.6,703.1,415.6,260.4
3300.0,492.2,669.0,395.0,232.7
3400.0,503.3,692.8,425.0,242.4
3500.0,483.6,673.8,406.7,231.2
3600.0,504.8,710.8,449.6,261.0
3700.0,483.2,670.5,384.6,229.4
3800.0,510.1,726.5,451.0,272.8
3900.0,519.0,732.0,441.1,275.4
4000.0,509.0,705.8,412.9,255.2
4100.0,505.3,731.3,437.3,257.4
4200.0,487.5,676.9,407.8,227.9
4300.0,479.0,668.3,385.7,233.3
4400.0,479.0,669.7,390.1,227.9
4500.0,492.2,679.3,407.6,238.6
4600.0,495.3,682.6,421.1,248.2
4700.0,510.3,728.4,449.2,262.4
