timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,572.3,634.3,349.9,403.9
100.0,569.5,598.5,314.2,406.1
200.0,528.2,654.1,360.9,332.1
300.0,531.5,649.1,359.7,335.0
400.0,545.8,657.8,362.2,344.2
500.0,524.9,649.1,360.8,328.3
600.0,571.5,580.5,296.2,432.4
700.0,553.6,623.2,333.9,388.3
800.0,532.2,647.9,364.2,341.5
900.0,583.0,643.5,364.7,432.0
1000.0,564.2,623.9,339.0,396.8
1100.0,526.5,665.0,361.5,347.2
1200.0,563.3,665.0,378.3,397.1
1300.0,529.9,631.9,361.0,338.2
1400.0,534.6,650.4,371.3,351.5
1500.0,561.9,614.8,332.5,387.3
1600.0,573.7,646.3,359.2,434.0
1700.0,580.2,661.1,372.8,408.7
1800.0,580.9,647.6,375.4,439.0
1900.0,523.4,645.4,368.9,334.5
2000.0,538.4,651.2,368.1,338.6
2100.0,556.0,624.4,341.2,387.2
2200.0,514.5,642.1,363.1,304.0
2300.0,537.5,643.3,368.6,350.4
2400.0,530.4,635.5,354.5,320.9
2500.0,538.4,657.3,372.6,342.1
2600.0,523.3,652.0,358.1,330.5
2700.0,536.2,652.2,357.0,339.8
2800.0,568.7,653.7,376.3,370.5
2900.0,547.5,644.2,374.3,355.0
3000.0,568.4,615.0,319.7,399.9
3100.0,553.2,659.0,362.8,350.9
3200.0,565.9,665.0,372.0,399.6
3300.0,568.9,665.0,375.0,418.7
3400.0,591.0,655.0,376.7,439.0
3500.0,565.1,628.0,345.4,380.0
3600.0,559.5,603.2,306.9,411.4
3700.0,568.9,657.2,377.4,374.1
3800.0,556.6,661.5,374.4,377.2
3900.0,573.2,654.2,369.5,407.2
4000.0,555.6,635.1,341.1,408.0
4100.0,559.5,658.1,377.3,379.6
4200.0,516.6,635.0,357.5,310.8
4300.0,538.0,654.1,372.6,358.1
4400.0,528.2,647.7,368.6,347.4
4500.0,566.8,622.4,344.9,384.7
4600.0,554.5,624.5,326.7,390.8
4700.0,581.7,600.1,300.9,420.1
4800.0,530.1,663.4,362.9,341.1
4900.0,573.5,605.7,317.5,408.0
5000.0,579.4,604.0,302.2,410.9
5100.0,563.4,628.9,329.2,402.2
5200.0,563.8,618.7,323.2,396.4
5300.0,570.5,655.7,381.0,405.0
5400.0,533.7,665.0,369.7,342.9
5500.0,528.4,643.1,361.3,327.6
5600.0,541.7,664.6,367.8,345.0
5700.0,554.4,650.7,378.4,368.2
5800.0,546.5,644.0,370.2,337.3
5900.0,545.8,649.7,380.1,365.5
6000.0,591.0,645.4,364.2,437.5
6100.0,528.1,637.6,365.9,328.4
6200.0,568.4,651.5,370.2,381.7
6300.0,564.1,630.7,355.9,399.2
6400.0,547.0,665.0,368.1,364.2
6500.0,562.9,632.0,337.9,386.6
6600.0,547.4,611.7,334.0,387.5
6700.0,585.2,655.2,369.8,423.0
6800.0,562.9,633.5,351.0,405.3
6900.0,566.2,632.1,353.0,411.1
7000.0,561.5,633.4,338.7,383.3
7100.0,559.9,661.6,372.5,383.8
7200.0,539.6,651.5,373.5,359.2
7300.0,553.7,619.7,342.2,409.4
7400.0,553.4,628.7,329.1,394.4
7500.0,570.5,643.7,348.9,392.5
7600.0,549.3,625.9,323.5,396.7
7700.0,572.0,649.1,368.9,404.1
7800.0,581.3,660.9,366.3,432.6
7900.0,514.0,640.1,354.9,304.0
8000.0,516.6,639.3,358.0,315.8
8100.0,577.3,655.4,374.4,416.3
8200.0,580.6,600.3,308.4,412.5
8300.0,527.4,641.9,366.3,330.4
8400.0,532.9,642.2,367.4,327.7
8500.0,579.2,601.6,317.8,410.0
8600.0,572.8,646.5,375.2,407.0
8700.0,542.9,665.0,369.6,368.0
8800.0,554.5,654.4,374.5,371.1
8900.0,536.8,641.0,373.5,363.4
9000.0,584.5,592.2,312.6,424.1
9100.0,591.0,665.0,373.5,432.2
9200.0,569.9,643.8,360.5,415.5
9300.0,526.7,649.8,360.7,329.0
9400.0,581.7,653.2,373.3,403.5
9500.0,514.0,631.3,362.2,313.5
9600.0,586.8,641.5,367.8,429.7
9700.0,544.7,654.3,366.5,361.6
9800.0,524.7,638.8,350.9,304.0
9900.0,530.4,639.8,360.9,328.0
10000.0,553.1,627.5,347.0,390.0
10100.0,557.8,652.6,374.5,357.0
10200.0,538.1,665.0,371.8,354.9
10300.0,570.5,604.6,318.2,398.0
10400.0,569.2,609.0,307.3,419.9
10500.0,556.0,621.3,320.2,392.9
10600.0,566.6,665.0,368.6,403.8
10700.0,530.2,649.0,363.3,339.2
