timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,536.0,656.0,374.0,331.0
100.0,536.0,656.0,374.0,332.0
200.0,536.0,656.0,374.0,332.0
300.0,537.0,656.0,374.0,333.0
400.0,537.0,656.0,374.0,334.0
500.0,538.0,656.0,373.0,335.0
600.0,536.0,656.0,374.0,335.0
700.0,537.0,656.0,375.0,336.0
800.0,538.0,657.0,375.0,337.0
900.0,539.0,656.0,375.0,338.0
1000.0,540.0,658.0,376.0,338.0
1100.0,540.0,657.0,375.0,340.0
1200.0,541.0,658.0,376.0,340.0
1300.0,541.0,657.0,376.0,341.0
1400.0,542.0,659.0,376.0,342.0
1500.0,542.0,658.0,376.0,343.0
1600.0,542.0,659.0,376.0,343.0
1700.0,543.0,659.0,376.0,344.0
1800.0,543.0,659.0,377.0,344.0
1900.0,543.0,660.0,376.0,345.0
2000.0,544.0,659.0,377.0,346.0
2100.0,544.0,660.0,377.0,345.0
2200.0,545.0,660.0,377.0,346.0
2300.0,544.0,662.0,377.0,347.0
2400.0,545.0,661.0,377.0,347.0
2500.0,545.0,661.0,376.0,347.0
2600.0,545.0,661.0,377.0,347.0
2700.0,545.0,661.0,377.0,346.0
2800.0,545.0,661.0,377.0,346.0
2900.0,545.0,661.0,377.0,345.0
3000.0,545.0,660.0,377.0,345.0
3100.0,544.0,660.0,377.0,344.0
3200.0,545.0,659.0,377.0,344.0
3300.0,545.0,659.0,376.0,343.0
3400.0,544.0,660.0,377.0,343.0
3500.0,544.0,660.0,376.0,342.0
3600.0,543.0,659.0,376.0,343.0
3700.0,543.0,659.0,376.0,341.0
3800.0,543.0,660.0,376.0,339.0
3900.0,543.0,659.0,376.0,340.0
4000.0,542.0,659.0,376.0,339.0
4100.0,541.0,660.0,375.0,337.0
4200.0,541.0,659.0,375.0,336.0
4300.0,541.0,659.0,376.0,336.0
4400.0,540.0,658.0,376.0,334.0
4500.0,539.0,658.0,375.0,335.0
4600.0,540.0,658.0,376.0,334.0
4700.0,539.0,659.0,375.0,333.0
4800.0,538.0,658.0,374.0,333.0
4900.0,539.0,657.0,375.0,332.0
5000.0,537.0,658.0,374.0,334.0
5100.0,538.0,658.0,375.0,333.0
5200.0,538.0,657.0,374.0,333.0
5300.0,538.0,657.0,375.0,335.0
5400.0,537.0,657.0,375.0,337.0
5500.0,537.0,658.0,374.0,337.0
5600.0,538.0,657.0,376.0,339.0
5700.0,537.0,657.0,375.0,340.0
5800.0,537.0,657.0,375.0,340.0
5900.0,537.0,658.0,376.0,340.0
6000.0,538.0,658.0,376.0,342.0
6100.0,537.0,658.0,375.0,342.0
6200.0,537.0,658.0,375.0,343.0
6300.0,537.0,658.0,376.0,343.0
6400.0,537.0,657.0,375.0,342.0
6500.0,538.0,658.0,376.0,343.0
6600.0,537.0,658.0,376.0,342.0
6700.0,537.0,658.0,375.0,342.0
6800.0,537.0,658.0,375.0,341.0
6900.0,537.0,657.0,375.0,341.0
7000.0,537.0,657.0,375.0,339.0
7100.0,536.0,657.0,375.0,340.0
7200.0,535.0,657.0,374.0,340.0
7300.0,536.0,656.0,375.0,338.0
7400.0,536.0,657.0,375.0,338.0
7500.0,535.0,657.0,374.0,337.0
7600.0,535.0,657.0,375.0,337.0
7700.0,534.0,657.0,375.0,336.0
7800.0,534.0,655.0,373.0,335.0
7900.0,534.0,656.0,374.0,334.0
8000.0,533.0,655.0,373.0,333.0
8100.0,533.0,656.0,374.0,333.0
8200.0,532.0,655.0,373.0,332.0
8300.0,532.0,655.0,372.0,331.0
8400.0,531.0,655.0,372.0,331.0
8500.0,531.0,654.0,372.0,330.0
8600.0,531.0,654.0,372.0,331.0
8700.0,530.0,655.0,372.0,330.0
8800.0,531.0,654.0,371.0,330.0
8900.0,530.0,655.0,372.0,330.0
9000.0,529.0,654.0,372.0,330.0
9100.0,530.0,655.0,373.0,329.0
9200.0,529.0,654.0,372.0,330.0
9300.0,530.0,655.0,372.0,330.0
9400.0,529.0,655.0,372.0,329.0
9500.0,529.0,655.0,372.0,331.0
9600.0,530.0,655.0,372.0,330.0
9700.0,530.0,656.0,372.0,331.0
9800.0,528.0,656.0,372.0,332.0
9900.0,529.0,656.0,372.0,332.0
10000.0,528.0,656.0,373.0,333.0
10100.0,528.0,656.0,371.0,333.0
10200.0,527.0,657.0,373.0,333.0
10300.0,527.0,657.0,373.0,333.0
10400.0,527.0,657.0,372.0,334.0
10500.0,528.0,656.0,372.0,335.0
10600.0,527.0,657.0,372.0,336.0
10700.0,527.0,657.0,372.0,337.0
10800.0,526.0,656.0,372.0,337.0
10900.0,527.0,658.0,373.0,336.0
11000.0,526.0,657.0,373.0,337.0
11100.0,526.0,657.0,373.0,337.0
11200.0,526.0,657.0,373.0,337.0
11300.0,526.0,657.0,372.0,338.0
11400.0,525.0,657.0,372.0,337.0
11500.0,525.0,657.0,372.0,338.0
11600.0,525.0,658.0,373.0,337.0
11700.0,525.0,657.0,373.0,336.0
11800.0,524.0,657.0,372.0,336.0
11900.0,524.0,657.0,372.0,336.0
12000.0,524.0,657.0,372.0,335.0
12100.0,523.0,656.0,371.0,335.0
12200.0,524.0,656.0,371.0,333.0
12300.0,524.0,656.0,371.0,333.0
12400.0,523.0,657.0,372.0,333.0
12500.0,523.0,657.0,371.0,334.0
12600.0,524.0,657.0,371.0,334.0
12700.0,524.0,658.0,371.0,336.0
12800.0,524.0,657.0,372.0,336.0
12900.0,524.0,658.0,371.0,339.0
13000.0,524.0,658.0,372.0,340.0
13100.0,524.0,659.0,372.0,341.0
13200.0,525.0,659.0,372.0,342.0
13300.0,525.0,659.0,372.0,344.0
13400.0,526.0,659.0,372.0,344.0
13500.0,527.0,660.0,372.0,345.0
13600.0,527.0,660.0,372.0,347.0
13700.0,527.0,659.0,373.0,347.0
13800.0,528.0,659.0,373.0,348.0
13900.0,528.0,659.0,372.0,347.0
14000.0,528.0,659.0,373.0,348.0
14100.0,528.0,660.0,372.0,348.0
14200.0,527.0,660.0,372.0,348.0
14300.0,528.0,659.0,373.0,348.0
14400.0,527.0,660.0,373.0,347.0
14500.0,528.0,660.0,373.0,347.0
14600.0,528.0,659.0,373.0,347.0
14700.0,527.0,659.0,373.0,347.0
14800.0,527.0,660.0,371.0,348.0
14900.0,528.0,659.0,372.0,347.0
15000.0,528.0,660.0,372.0,347.0
15100.0,528.0,660.0,372.0,347.0
15200.0,527.0,660.0,371.0,348.0
15300.0,528.0,660.0,372.0,348.0
15400.0,528.0,660.0,371.0,347.0
15500.0,528.0,661.0,372.0,348.0
15600.0,528.0,660.0,372.0,347.0
15700.0,529.0,661.0,372.0,347.0
15800.0,528.0,660.0,372.0,346.0
15900.0,529.0,661.0,371.0,346.0
16000.0,529.0,660.0,372.0,347.0
16100.0,529.0,660.0,371.0,347.0
16200.0,528.0,661.0,372.0,347.0
16300.0,528.0,660.0,372.0,345.0
16400.0,528.0,660.0,372.0,346.0
16500.0,528.0,660.0,371.0,345.0
16600.0,528.0,660.0,372.0,345.0
16700.0,528.0,659.0,372.0,344.0
16800.0,527.0,659.0,371.0,343.0
16900.0,526.0,659.0,371.0,342.0
17000.0,527.0,660.0,370.0,341.0
17100.0,526.0,659.0,370.0,340.0
17200.0,526.0,659.0,371.0,340.0
17300.0,526.0,659.0,370.0,339.0
17400.0,527.0,659.0,370.0,337.0
17500.0,525.0,659.0,371.0,337.0
17600.0,526.0,658.0,370.0,337.0
17700.0,527.0,659.0,370.0,334.0
17800.0,526.0,658.0,370.0,334.0
17900.0,525.0,659.0,370.0,334.0
18000.0,526.0,658.0,370.0,332.0
18100.0,525.0,658.0,369.0,331.0
18200.0,525.0,657.0,370.0,330.0
18300.0,525.0,658.0,370.0,329.0
18400.0,525.0,658.0,370.0,329.0
18500.0,524.0,658.0,369.0,328.0
18600.0,525.0,657.0,370.0,327.0
18700.0,524.0,658.0,369.0,326.0
18800.0,524.0,658.0,369.0,326.0
18900.0,524.0,657.0,368.0,326.0
19000.0,524.0,658.0,369.0,325.0
19100.0,523.0,657.0,369.0,326.0
19200.0,524.0,657.0,368.0,325.0
19300.0,523.0,657.0,368.0,324.0
19400.0,523.0,658.0,369.0,323.0
19500.0,522.0,657.0,368.0,322.0
19600.0,523.0,657.0,368.0,322.0
19700.0,523.0,656.0,368.0,322.0
19800.0,523.0,657.0,368.0,321.0
19900.0,522.0,656.0,368.0,321.0
20000.0,522.0,656.0,367.0,320.0
20100.0,521.0,656.0,368.0,320.0
20200.0,521.0,656.0,368.0,319.0
20300.0,521.0,655.0,368.0,320.0
20400.0,522.0,656.0,368.0,319.0
20500.0,522.0,655.0,368.0,319.0
20600.0,521.0,656.0,367.0,319.0
20700.0,521.0,656.0,367.0,320.0
20800.0,521.0,656.0,368.0,320.0
20900.0,521.0,656.0,368.0,320.0
21000.0,522.0,656.0,368.0,320.0
21100.0,521.0,656.0,368.0,320.0
21200.0,522.0,655.0,368.0,320.0
21300.0,522.0,656.0,368.0,321.0
21400.0,522.0,656.0,367.0,320.0
21500.0,522.0,656.0,368.0,321.0
21600.0,522.0,655.0,368.0,320.0
21700.0,522.0,656.0,368.0,320.0
21800.0,521.0,656.0,368.0,320.0
21900.0,522.0,656.0,368.0,321.0
22000.0,522.0,656.0,368.0,320.0
22100.0,522.0,656.0,368.0,321.0
22200.0,522.0,655.0,367.0,320.0
22300.0,521.0,656.0,367.0,320.0
22400.0,522.0,655.0,368.0,321.0
22500.0,522.0,656.0,368.0,321.0
22600.0,522.0,655.0,368.0,321.0
22700.0,523.0,656.0,368.0,320.0
22800.0,522.0,655.0,368.0,321.0
22900.0,522.0,655.0,368.0,321.0
23000.0,522.0,655.0,368.0,321.0
23100.0,522.0,655.0,368.0,320.0
23200.0,522.0,655.0,368.0,320.0
23300.0,522.0,654.0,368.0,320.0
23400.0,521.0,655.0,368.0,319.0
23500.0,522.0,654.0,368.0,319.0
23600.0,522.0,654.0,369.0,318.0
23700.0,521.0,654.0,368.0,318.0
23800.0,521.0,655.0,368.0,319.0
23900.0,521.0,654.0,368.0,318.0
24000.0,521.0,654.0,368.0,317.0
24100.0,521.0,654.0,367.0,317.0
24200.0,521.0,653.0,368.0,318.0
24300.0,520.0,654.0,368.0,318.0
24400.0,520.0,654.0,368.0,317.0
24500.0,520.0,654.0,367.0,318.0
24600.0,519.0,654.0,367.0,319.0
24700.0,519.0,654.0,368.0,319.0
24800.0,519.0,654.0,367.0,321.0
24900.0,519.0,653.0,368.0,322.0
25000.0,519.0,653.0,367.0,322.0
25100.0,519.0,653.0,368.0,323.0
25200.0,519.0,654.0,368.0,324.0
25300.0,519.0,653.0,369.0,325.0
25400.0,518.0,653.0,369.0,327.0
25500.0,518.0,653.0,369.0,328.0
25600.0,518.0,655.0,368.0,330.0
25700.0,518.0,655.0,369.0,331.0
25800.0,518.0,654.0,369.0,334.0
25900.0,519.0,656.0,369.0,335.0
26000.0,519.0,656.0,369.0,338.0
26100.0,519.0,657.0,371.0,340.0
26200.0,521.0,658.0,371.0,343.0
26300.0,521.0,658.0,371.0,343.0
26400.0,522.0,659.0,372.0,344.0
26500.0,523.0,659.0,372.0,345.0
26600.0,523.0,660.0,372.0,346.0
26700.0,525.0,661.0,372.0,346.0
26800.0,526.0,660.0,373.0,347.0
26900.0,526.0,661.0,373.0,348.0
27000.0,527.0,662.0,373.0,348.0
27100.0,527.0,662.0,373.0,349.0
27200.0,528.0,663.0,374.0,351.0
27300.0,530.0,662.0,374.0,352.0
27400.0,530.0,664.0,374.0,353.0
27500.0,530.0,665.0,374.0,356.0
27600.0,531.0,666.0,374.0,357.0
27700.0,533.0,667.0,375.0,360.0
27800.0,535.0,668.0,375.0,364.0
27900.0,537.0,669.0,376.0,365.0
28000.0,537.0,670.0,375.0,367.0
28100.0,539.0,671.0,374.0,368.0
28200.0,540.0,671.0,375.0,370.0
28300.0,542.0,673.0,375.0,372.0
28400.0,544.0,672.0,375.0,373.0
28500.0,545.0,675.0,376.0,374.0
28600.0,546.0,675.0,375.0,373.0
28700.0,547.0,675.0,375.0,374.0
28800.0,549.0,676.0,376.0,375.0
28900.0,549.0,676.0,376.0,374.0
29000.0,550.0,676.0,375.0,374.0
29100.0,552.0,676.0,375.0,374.0
29200.0,552.0,676.0,376.0,374.0
29300.0,552.0,676.0,376.0,373.0
29400.0,554.0,676.0,376.0,372.0
29500.0,554.0,676.0,375.0,371.0
29600.0,554.0,677.0,376.0,371.0
29700.0,553.0,676.0,376.0,370.0
29800.0,554.0,676.0,375.0,369.0
29900.0,554.0,676.0,375.0,368.0
30000.0,555.0,676.0,375.0,367.0
30100.0,554.0,677.0,375.0,366.0
30200.0,555.0,676.0,375.0,366.0
30300.0,555.0,676.0,374.0,364.0
30400.0,553.0,676.0,375.0,362.0
30500.0,553.0,676.0,374.0,362.0
30600.0,554.0,676.0,374.0,361.0
30700.0,553.0,674.0,374.0,360.0
30800.0,552.0,675.0,375.0,358.0
30900.0,552.0,675.0,374.0,357.0
31000.0,552.0,674.0,374.0,357.0
31100.0,551.0,674.0,375.0,356.0
31200.0,551.0,674.0,373.0,355.0
31300.0,551.0,674.0,374.0,355.0
31400.0,550.0,673.0,373.0,354.0
31500.0,549.0,673.0,374.0,353.0
31600.0,549.0,673.0,373.0,351.0
31700.0,547.0,672.0,374.0,351.0
31800.0,547.0,673.0,374.0,350.0
31900.0,547.0,672.0,374.0,350.0
32000.0,546.0,673.0,373.0,348.0
32100.0,546.0,673.0,373.0,347.0
32200.0,545.0,672.0,373.0,346.0
32300.0,545.0,672.0,373.0,345.0
32400.0,544.0,671.0,372.0,344.0
32500.0,543.0,671.0,373.0,344.0
32600.0,543.0,671.0,372.0,343.0
32700.0,542.0,671.0,373.0,342.0
32800.0,542.0,671.0,372.0,342.0
32900.0,541.0,670.0,372.0,340.0
33000.0,542.0,669.0,372.0,341.0
33100.0,541.0,670.0,372.0,340.0
33200.0,539.0,669.0,371.0,340.0
33300.0,540.0,669.0,372.0,338.0
33400.0,539.0,670.0,372.0,338.0
33500.0,539.0,668.0,372.0,336.0
33600.0,538.0,670.0,371.0,337.0
33700.0,537.0,668.0,371.0,336.0
33800.0,537.0,668.0,371.0,335.0
33900.0,537.0,668.0,371.0,334.0
34000.0,535.0,667.0,371.0,333.0
34100.0,535.0,668.0,370.0,334.0
34200.0,535.0,668.0,370.0,333.0
34300.0,535.0,666.0,370.0,332.0
34400.0,534.0,667.0,370.0,331.0
34500.0,533.0,667.0,370.0,331.0
34600.0,533.0,666.0,370.0,330.0
34700.0,532.0,666.0,370.0,328.0
34800.0,532.0,666.0,370.0,329.0
34900.0,531.0,666.0,370.0,328.0
35000.0,531.0,666.0,370.0,326.0
35100.0,531.0,666.0,369.0,326.0
35200.0,531.0,666.0,369.0,326.0
35300.0,529.0,665.0,369.0,326.0
35400.0,530.0,666.0,369.0,324.0
35500.0,530.0,665.0,369.0,323.0
35600.0,530.0,664.0,369.0,324.0
35700.0,528.0,664.0,369.0,323.0
35800.0,528.0,665.0,368.0,323.0
35900.0,528.0,664.0,369.0,322.0
36000.0,527.0,664.0,369.0,321.0
36100.0,527.0,664.0,369.0,320.0
36200.0,527.0,663.0,368.0,320.0
36300.0,527.0,663.0,368.0,320.0
36400.0,526.0,663.0,368.0,321.0
36500.0,526.0,663.0,368.0,320.0
36600.0,525.0,663.0,368.0,321.0
36700.0,525.0,662.0,367.0,321.0
36800.0,524.0,663.0,368.0,322.0
36900.0,524.0,663.0,367.0,322.0
37000.0,525.0,663.0,368.0,322.0
37100.0,524.0,662.0,368.0,324.0
37200.0,523.0,662.0,367.0,325.0
37300.0,524.0,662.0,368.0,326.0
37400.0,523.0,662.0,368.0,327.0
37500.0,523.0,662.0,368.0,328.0
37600.0,523.0,661.0,368.0,330.0
37700.0,523.0,661.0,368.0,331.0
37800.0,523.0,662.0,369.0,332.0
37900.0,523.0,661.0,368.0,334.0
38000.0,523.0,661.0,368.0,335.0
38100.0,524.0,662.0,369.0,336.0
38200.0,524.0,661.0,368.0,337.0
38300.0,523.0,661.0,369.0,339.0
38400.0,524.0,661.0,369.0,338.0
38500.0,523.0,661.0,369.0,339.0
38600.0,524.0,660.0,370.0,339.0
38700.0,523.0,661.0,370.0,339.0
38800.0,523.0,660.0,370.0,338.0
38900.0,523.0,660.0,371.0,338.0
39000.0,524.0,659.0,370.0,338.0
39100.0,522.0,659.0,371.0,338.0
39200.0,524.0,659.0,370.0,338.0
39300.0,524.0,660.0,370.0,338.0
39400.0,523.0,660.0,371.0,338.0
39500.0,524.0,659.0,371.0,337.0
39600.0,523.0,660.0,371.0,337.0
39700.0,523.0,660.0,371.0,338.0
