timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,641.0,510.0,353.0,400.0
100.0,640.0,510.0,353.0,401.0
200.0,641.0,510.0,353.0,400.0
300.0,640.0,511.0,354.0,402.0
400.0,640.0,511.0,353.0,401.0
500.0,641.0,511.0,353.0,402.0
600.0,641.0,512.0,355.0,402.0
700.0,640.0,513.0,355.0,403.0
800.0,641.0,514.0,355.0,404.0
900.0,641.0,514.0,355.0,405.0
1000.0,641.0,516.0,356.0,408.0
1100.0,642.0,516.0,356.0,411.0
1200.0,643.0,517.0,357.0,411.0
1300.0,643.0,519.0,356.0,415.0
1400.0,643.0,520.0,357.0,416.0
1500.0,645.0,522.0,358.0,419.0
1600.0,646.0,524.0,358.0,421.0
1700.0,647.0,527.0,358.0,424.0
1800.0,649.0,529.0,359.0,428.0
1900.0,651.0,531.0,360.0,430.0
2000.0,653.0,534.0,361.0,434.0
2100.0,655.0,537.0,362.0,438.0
2200.0,657.0,540.0,363.0,439.0
2300.0,659.0,543.0,364.0,443.0
2400.0,662.0,546.0,366.0,445.0
2500.0,663.0,548.0,367.0,447.0
2600.0,666.0,551.0,368.0,448.0
2700.0,668.0,553.0,369.0,449.0
2800.0,670.0,557.0,370.0,452.0
2900.0,672.0,559.0,370.0,451.0
3000.0,673.0,561.0,372.0,452.0
3100.0,674.0,562.0,372.0,453.0
3200.0,676.0,564.0,373.0,453.0
3300.0,676.0,566.0,374.0,453.0
3400.0,677.0,567.0,375.0,454.0
3500.0,678.0,569.0,375.0,454.0
3600.0,679.0,569.0,375.0,454.0
3700.0,680.0,570.0,376.0,453.0
3800.0,681.0,571.0,377.0,454.0
3900.0,680.0,572.0,377.0,453.0
4000.0,680.0,572.0,377.0,454.0
4100.0,681.0,573.0,378.0,455.0
4200.0,681.0,573.0,378.0,454.0
4300.0,680.0,573.0,378.0,453.0
4400.0,681.0,573.0,379.0,452.0
4500.0,680.0,573.0,379.0,452.0
4600.0,680.0,573.0,379.0,452.0
4700.0,680.0,574.0,379.0,451.0
4800.0,680.0,574.0,379.0,451.0
4900.0,679.0,574.0,378.0,451.0
5000.0,679.0,575.0,379.0,450.0
5100.0,677.0,574.0,380.0,449.0
5200.0,677.0,574.0,378.0,447.0
5300.0,678.0,575.0,378.0,446.0
5400.0,677.0,574.0,378.0,445.0
5500.0,675.0,574.0,379.0,444.0
5600.0,676.0,575.0,379.0,443.0
5700.0,675.0,574.0,379.0,441.0
5800.0,674.0,575.0,379.0,441.0
5900.0,674.0,574.0,379.0,440.0
6000.0,673.0,575.0,378.0,439.0
6100.0,672.0,574.0,379.0,438.0
6200.0,671.0,574.0,379.0,436.0
6300.0,671.0,574.0,379.0,435.0
6400.0,670.0,574.0,379.0,434.0
6500.0,670.0,574.0,379.0,434.0
6600.0,670.0,574.0,379.0,434.0
6700.0,668.0,574.0,379.0,434.0
6800.0,668.0,574.0,379.0,434.0
6900.0,668.0,575.0,379.0,434.0
7000.0,667.0,576.0,379.0,435.0
7100.0,667.0,578.0,379.0,434.0
7200.0,668.0,578.0,380.0,435.0
7300.0,668.0,581.0,379.0,437.0
7400.0,670.0,583.0,380.0,437.0
7500.0,670.0,584.0,380.0,438.0
7600.0,671.0,586.0,381.0,438.0
7700.0,673.0,587.0,381.0,439.0
7800.0,673.0,588.0,381.0,439.0
7900.0,675.0,589.0,382.0,438.0
8000.0,676.0,591.0,381.0,439.0
8100.0,676.0,592.0,381.0,438.0
8200.0,677.0,593.0,382.0,437.0
8300.0,677.0,594.0,382.0,438.0
8400.0,677.0,594.0,382.0,437.0
8500.0,678.0,595.0,383.0,437.0
8600.0,679.0,596.0,383.0,437.0
8700.0,679.0,596.0,383.0,437.0
8800.0,678.0,596.0,383.0,437.0
8900.0,679.0,597.0,384.0,438.0
9000.0,679.0,598.0,382.0,438.0
9100.0,678.0,598.0,384.0,440.0
9200.0,678.0,599.0,384.0,441.0
9300.0,678.0,599.0,384.0,442.0
9400.0,677.0,599.0,384.0,443.0
9500.0,677.0,599.0,384.0,443.0
9600.0,678.0,599.0,385.0,445.0
9700.0,677.0,600.0,385.0,445.0
9800.0,678.0,600.0,385.0,447.0
9900.0,676.0,600.0,385.0,447.0
10000.0,677.0,600.0,386.0,447.0
10100.0,677.0,600.0,386.0,448.0
10200.0,676.0,601.0,386.0,448.0
10300.0,675.0,600.0,386.0,448.0
10400.0,676.0,601.0,387.0,449.0
10500.0,675.0,601.0,387.0,449.0
10600.0,675.0,600.0,388.0,448.0
10700.0,675.0,600.0,388.0,447.0
10800.0,674.0,601.0,388.0,447.0
10900.0,673.0,600.0,387.0,447.0
11000.0,673.0,600.0,388.0,446.0
11100.0,672.0,600.0,389.0,446.0
11200.0,672.0,600.0,388.0,446.0
11300.0,671.0,600.0,388.0,446.0
11400.0,671.0,600.0,389.0,445.0
11500.0,670.0,600.0,388.0,445.0
11600.0,669.0,599.0,389.0,443.0
11700.0,668.0,599.0,388.0,442.0
11800.0,667.0,599.0,388.0,442.0
11900.0,667.0,598.0,388.0,441.0
12000.0,666.0,598.0,388.0,440.0
12100.0,666.0,598.0,388.0,438.0
12200.0,665.0,597.0,388.0,436.0
12300.0,664.0,597.0,389.0,435.0
12400.0,664.0,598.0,388.0,433.0
12500.0,663.0,597.0,388.0,431.0
12600.0,662.0,597.0,387.0,430.0
12700.0,661.0,596.0,387.0,429.0
12800.0,660.0,595.0,387.0,426.0
12900.0,659.0,595.0,386.0,424.0
13000.0,659.0,595.0,387.0,422.0
13100.0,657.0,595.0,386.0,421.0
13200.0,657.0,594.0,386.0,418.0
13300.0,656.0,594.0,385.0,417.0
13400.0,655.0,594.0,386.0,415.0
13500.0,654.0,593.0,384.0,414.0
13600.0,653.0,593.0,385.0,413.0
13700.0,652.0,592.0,384.0,412.0
13800.0,651.0,593.0,384.0,411.0
13900.0,650.0,592.0,384.0,411.0
14000.0,650.0,592.0,384.0,409.0
14100.0,649.0,592.0,383.0,409.0
14200.0,648.0,592.0,384.0,408.0
14300.0,648.0,592.0,384.0,407.0
14400.0,648.0,592.0,384.0,405.0
14500.0,648.0,591.0,384.0,406.0
14600.0,647.0,591.0,384.0,405.0
14700.0,646.0,591.0,384.0,404.0
14800.0,646.0,591.0,385.0,404.0
14900.0,646.0,591.0,384.0,404.0
15000.0,645.0,591.0,384.0,403.0
15100.0,645.0,591.0,385.0,402.0
15200.0,645.0,591.0,384.0,403.0
15300.0,646.0,592.0,386.0,402.0
15400.0,645.0,591.0,385.0,402.0
15500.0,646.0,593.0,386.0,404.0
15600.0,646.0,594.0,386.0,403.0
15700.0,647.0,594.0,385.0,403.0
15800.0,647.0,595.0,387.0,404.0
15900.0,648.0,596.0,385.0,405.0
16000.0,649.0,597.0,386.0,407.0
16100.0,650.0,598.0,386.0,408.0
16200.0,650.0,599.0,387.0,409.0
16300.0,652.0,600.0,387.0,412.0
16400.0,652.0,602.0,388.0,414.0
16500.0,654.0,604.0,388.0,417.0
16600.0,654.0,604.0,389.0,418.0
16700.0,655.0,606.0,390.0,421.0
16800.0,657.0,608.0,390.0,421.0
16900.0,657.0,609.0,391.0,423.0
17000.0,659.0,611.0,392.0,424.0
17100.0,660.0,612.0,392.0,424.0
17200.0,660.0,615.0,392.0,425.0
17300.0,662.0,616.0,393.0,425.0
17400.0,663.0,617.0,392.0,426.0
17500.0,663.0,618.0,392.0,427.0
17600.0,664.0,619.0,393.0,425.0
17700.0,664.0,619.0,394.0,426.0
17800.0,665.0,620.0,392.0,427.0
17900.0,666.0,621.0,394.0,428.0
18000.0,665.0,621.0,394.0,429.0
18100.0,666.0,622.0,394.0,429.0
18200.0,666.0,623.0,394.0,430.0
18300.0,666.0,623.0,395.0,430.0
18400.0,665.0,623.0,396.0,432.0
18500.0,666.0,623.0,396.0,431.0
18600.0,665.0,624.0,395.0,432.0
18700.0,666.0,624.0,396.0,433.0
18800.0,665.0,624.0,397.0,432.0
18900.0,666.0,624.0,397.0,431.0
19000.0,666.0,624.0,397.0,432.0
19100.0,666.0,624.0,397.0,432.0
19200.0,666.0,624.0,397.0,434.0
19300.0,665.0,625.0,397.0,434.0
19400.0,665.0,625.0,397.0,434.0
19500.0,665.0,625.0,398.0,435.0
19600.0,665.0,625.0,398.0,435.0
19700.0,666.0,627.0,398.0,435.0
19800.0,665.0,626.0,399.0,435.0
19900.0,665.0,626.0,399.0,435.0
20000.0,665.0,627.0,399.0,435.0
20100.0,666.0,627.0,399.0,435.0
20200.0,665.0,626.0,399.0,435.0
20300.0,665.0,626.0,399.0,435.0
20400.0,664.0,626.0,399.0,435.0
20500.0,664.0,626.0,399.0,436.0
20600.0,664.0,628.0,400.0,437.0
20700.0,665.0,629.0,399.0,438.0
20800.0,664.0,630.0,400.0,439.0
20900.0,665.0,631.0,400.0,441.0
21000.0,665.0,633.0,400.0,442.0
21100.0,667.0,635.0,401.0,445.0
21200.0,668.0,636.0,402.0,448.0
21300.0,669.0,639.0,401.0,450.0
21400.0,671.0,640.0,402.0,452.0
21500.0,672.0,642.0,402.0,455.0
21600.0,673.0,645.0,403.0,457.0
21700.0,676.0,647.0,403.0,458.0
21800.0,677.0,648.0,404.0,460.0
21900.0,678.0,649.0,404.0,461.0
22000.0,679.0,651.0,405.0,462.0
22100.0,680.0,651.0,405.0,464.0
22200.0,681.0,653.0,406.0,464.0
22300.0,682.0,654.0,407.0,466.0
22400.0,683.0,654.0,407.0,465.0
22500.0,683.0,655.0,407.0,467.0
22600.0,684.0,655.0,407.0,467.0
22700.0,684.0,656.0,408.0,467.0
22800.0,685.0,656.0,408.0,467.0
22900.0,684.0,657.0,408.0,467.0
23000.0,685.0,656.0,409.0,466.0
23100.0,686.0,657.0,410.0,467.0
23200.0,685.0,656.0,409.0,466.0
23300.0,685.0,656.0,410.0,465.0
23400.0,685.0,655.0,410.0,465.0
23500.0,685.0,656.0,411.0,463.0
23600.0,684.0,656.0,411.0,463.0
23700.0,684.0,657.0,411.0,463.0
23800.0,684.0,656.0,410.0,462.0
23900.0,683.0,657.0,410.0,461.0
24000.0,683.0,656.0,410.0,462.0
24100.0,683.0,656.0,410.0,459.0
24200.0,683.0,656.0,410.0,459.0
24300.0,683.0,656.0,410.0,459.0
24400.0,681.0,656.0,411.0,458.0
24500.0,682.0,658.0,410.0,458.0
24600.0,681.0,657.0,410.0,457.0
24700.0,681.0,657.0,410.0,455.0
24800.0,681.0,658.0,410.0,455.0
24900.0,681.0,657.0,410.0,453.0
25000.0,681.0,658.0,410.0,452.0
25100.0,680.0,658.0,409.0,452.0
25200.0,680.0,659.0,410.0,450.0
25300.0,679.0,659.0,410.0,449.0
25400.0,679.0,659.0,409.0,447.0
25500.0,678.0,658.0,409.0,447.0
25600.0,678.0,659.0,409.0,447.0
25700.0,678.0,660.0,410.0,447.0
25800.0,677.0,661.0,410.0,447.0
25900.0,676.0,661.0,408.0,448.0
26000.0,676.0,662.0,409.0,449.0
26100.0,676.0,663.0,410.0,450.0
26200.0,677.0,663.0,410.0,451.0
26300.0,677.0,665.0,411.0,452.0
26400.0,678.0,666.0,410.0,452.0
26500.0,678.0,667.0,411.0,452.0
26600.0,678.0,668.0,410.0,451.0
26700.0,678.0,669.0,410.0,452.0
26800.0,679.0,670.0,410.0,451.0
26900.0,679.0,670.0,411.0,451.0
27000.0,678.0,671.0,411.0,450.0
27100.0,679.0,671.0,411.0,449.0
27200.0,679.0,672.0,411.0,449.0
27300.0,679.0,672.0,411.0,448.0
27400.0,679.0,672.0,411.0,448.0
27500.0,680.0,672.0,411.0,447.0
27600.0,679.0,672.0,411.0,447.0
27700.0,679.0,673.0,411.0,446.0
27800.0,679.0,673.0,411.0,447.0
27900.0,679.0,674.0,411.0,447.0
28000.0,679.0,674.0,410.0,446.0
28100.0,679.0,675.0,411.0,446.0
28200.0,679.0,675.0,411.0,447.0
28300.0,679.0,675.0,411.0,447.0
28400.0,679.0,675.0,411.0,448.0
28500.0,680.0,677.0,411.0,448.0
28600.0,680.0,677.0,411.0,447.0
28700.0,681.0,677.0,411.0,449.0
28800.0,681.0,677.0,411.0,449.0
28900.0,682.0,678.0,410.0,449.0
29000.0,682.0,679.0,410.0,449.0
29100.0,683.0,680.0,410.0,450.0
29200.0,683.0,681.0,412.0,451.0
29300.0,683.0,680.0,411.0,450.0
29400.0,684.0,680.0,412.0,451.0
29500.0,683.0,681.0,411.0,452.0
29600.0,683.0,682.0,412.0,452.0
29700.0,684.0,682.0,412.0,452.0
