timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,619.0,700.7,436.6,409.3
100.0,645.6,687.3,431.7,440.0
200.0,627.3,683.4,421.8,416.1
300.0,672.0,575.2,378.3,458.9
400.0,644.2,589.5,382.1,403.1
500.0,643.6,675.2,434.1,442.3
600.0,653.2,684.4,442.5,433.1
700.0,667.6,607.6,392.3,455.9
800.0,676.3,690.0,420.6,457.1
900.0,643.0,680.8,449.0,444.4
1000.0,674.2,587.6,388.9,435.7
1100.0,677.9,710.5,430.6,486.2
1200.0,635.7,697.6,414.2,424.7
1300.0,667.1,647.2,394.6,451.6
1400.0,660.9,596.2,391.0,417.3
1500.0,659.8,671.7,436.7,440.9
1600.0,667.5,673.4,424.3,444.2
1700.0,649.5,691.8,415.0,416.7
1800.0,660.6,683.3,442.4,467.1
1900.0,665.4,699.6,437.2,451.1
2000.0,651.3,702.1,443.2,467.2
2100.0,618.0,684.8,447.2,401.1
2200.0,638.6,673.5,419.6,431.4
2300.0,666.5,632.4,393.1,433.5
2400.0,671.9,634.1,391.1,438.5
2500.0,660.2,643.6,399.8,433.7
2600.0,674.8,585.9,372.4,441.8
2700.0,694.3,654.2,406.5,458.2
2800.0,668.1,676.7,404.2,446.3
2900.0,647.7,510.0,356.9,400.0
3000.0,678.5,564.5,373.8,434.7
3100.0,672.6,625.5,389.7,431.6
3200.0,665.6,606.3,387.0,453.1
3300.0,634.3,676.6,438.3,439.7
3400.0,637.9,676.9,449.0,414.0
3500.0,653.3,680.0,434.2,439.6
3600.0,656.5,674.5,440.4,443.9
3700.0,663.7,708.1,416.7,455.6
3800.0,648.9,685.0,427.6,437.5
3900.0,641.3,692.4,448.7,440.4
4000.0,636.6,677.3,440.9,417.3
4100.0,640.6,696.9,445.1,434.0
4200.0,634.3,683.3,436.2,417.4
4300.0,618.0,673.9,442.4,413.4
4400.0,686.6,665.4,412.6,466.8
4500.0,646.8,675.2,443.4,425.2
4600.0,640.9,670.2,435.0,452.5
4700.0,645.8,698.3,449.0,435.6
4800.0,684.4,678.2,423.4,451.9
4900.0,700.0,707.4,439.3,503.3
5000.0,633.4,679.1,433.2,430.7
5100.0,658.7,682.2,436.7,447.0
5200.0,682.6,580.6,379.3,446.6
5300.0,700.0,713.0,430.4,507.2
5400.0,631.0,694.2,434.6,421.8
5500.0,645.6,687.9,444.9,468.5
5600.0,692.6,660.1,418.1,457.9
5700.0,686.9,666.9,405.8,450.0
5800.0,638.1,670.3,420.8,426.3
5900.0,667.1,698.6,440.5,470.0
6000.0,646.6,677.4,420.4,427.9
6100.0,690.2,664.0,408.0,439.8
6200.0,684.7,669.4,403.6,448.3
6300.0,665.3,544.8,364.3,451.4
6400.0,677.9,605.7,380.8,455.4
6500.0,653.5,693.1,420.6,419.2
6600.0,673.9,604.2,376.7,449.1
6700.0,674.6,598.3,393.3,449.8
6800.0,629.2,686.0,443.1,413.1
6900.0,625.3,686.6,439.0,414.2
7000.0,641.2,587.8,382.0,401.2
7100.0,687.5,608.0,379.5,439.4
7200.0,679.4,596.4,379.0,444.7
7300.0,690.5,698.1,435.0,505.5
7400.0,658.2,574.1,385.8,435.8
7500.0,650.3,680.7,439.4,459.9
7600.0,692.3,576.0,383.0,452.1
7700.0,643.9,693.7,417.7,426.3
7800.0,676.6,624.6,400.8,431.4
7900.0,646.2,702.4,449.0,452.7
8000.0,663.0,687.8,437.5,454.8
8100.0,656.2,583.1,382.5,415.5
8200.0,683.8,687.7,417.3,478.1
8300.0,689.2,673.3,418.6,453.3
8400.0,637.4,674.9,419.6,418.0
8500.0,632.1,661.6,432.5,409.1
8600.0,653.1,641.6,396.9,436.5
8700.0,626.0,694.7,448.0,415.9
8800.0,640.7,689.2,445.8,435.6
8900.0,669.9,676.7,418.3,447.5
9000.0,648.3,685.9,420.4,417.2
9100.0,660.8,712.3,449.0,481.8
9200.0,651.3,696.2,449.0,473.1
9300.0,651.3,514.8,358.1,400.0
9400.0,656.5,687.5,422.4,418.7
9500.0,661.9,700.2,446.6,465.6
9600.0,667.0,702.8,446.5,471.3
9700.0,665.7,699.2,412.8,413.7
9800.0,633.9,698.8,435.1,439.2
9900.0,665.4,687.4,417.7,444.6
10000.0,645.3,692.4,437.3,437.2
10100.0,691.5,663.7,411.2,455.3
10200.0,657.1,687.2,449.0,469.8
