timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,538.2,688.6,394.8,331.2
100.0,539.1,671.0,398.7,295.9
200.0,562.3,693.7,417.6,333.9
300.0,537.7,683.8,395.8,341.0
400.0,546.0,703.4,413.6,323.5
500.0,531.2,671.0,394.6,320.6
600.0,557.4,694.6,425.7,337.9
700.0,533.5,671.6,411.2,293.9
800.0,525.8,684.8,396.6,300.4
900.0,565.7,685.3,433.8,331.2
1000.0,605.5,706.6,442.7,414.7
1100.0,593.6,707.6,443.0,449.2
1200.0,546.8,689.1,419.5,321.6
1300.0,564.0,675.5,415.3,321.1
1400.0,531.0,679.6,395.9,320.7
1500.0,593.5,708.7,454.5,435.0
1600.0,555.3,677.9,402.1,353.7
1700.0,606.0,722.0,455.0,455.9
1800.0,567.0,679.6,415.9,327.1
1900.0,543.9,690.8,404.4,310.9
2000.0,578.4,707.3,442.5,378.7
2100.0,597.5,722.0,443.5,421.7
2200.0,540.9,671.0,403.9,341.2
2300.0,536.9,685.6,392.1,328.5
2400.0,522.0,671.0,395.6,290.2
2500.0,556.1,691.9,414.1,381.0
2600.0,549.5,686.2,413.0,321.4
2700.0,576.0,697.6,446.4,390.1
2800.0,577.1,708.3,437.9,373.8
2900.0,572.4,702.1,424.4,333.1
3000.0,537.6,678.8,394.3,332.3
3100.0,537.0,680.0,404.3,335.5
3200.0,551.9,671.0,405.2,317.7
3300.0,569.8,690.9,424.0,325.4
3400.0,600.3,708.1,446.2,446.4
3500.0,554.0,681.5,428.4,335.4
3600.0,563.8,688.4,420.9,332.3
3700.0,540.2,671.0,399.1,304.3
3800.0,556.8,692.7,437.7,351.9
3900.0,549.6,691.4,409.3,372.5
4000.0,550.2,682.0,396.6,371.2
4100.0,575.9,701.3,441.9,354.6
4200.0,606.0,722.0,444.1,424.4
4300.0,560.2,692.8,402.4,363.6
4400.0,538.3,671.0,403.1,299.5
4500.0,535.8,673.4,394.5,335.1
4600.0,582.8,721.4,453.6,386.8
4700.0,565.2,699.4,412.9,392.1
4800.0,530.8,676.9,390.0,290.0
4900.0,578.2,696.8,441.5,385.6
5000.0,542.9,672.5,404.0,325.4
5100.0,543.5,686.8,411.1,336.3
5200.0,546.3,684.7,404.2,360.6
5300.0,533.8,687.4,390.0,333.2
5400.0,549.6,680.4,401.9,325.5
5500.0,563.1,703.7,414.4,405.4
5600.0,561.1,711.4,431.0,351.0
5700.0,599.4,711.1,440.7,465.0
5800.0,557.5,690.3,419.0,330.2
5900.0,593.8,721.5,455.0,454.5
6000.0,604.4,722.0,443.6,445.5
6100.0,556.8,685.2,416.9,319.0
6200.0,553.6,702.1,419.8,334.3
6300.0,541.0,689.3,412.3,338.1
6400.0,602.4,722.0,448.7,448.5
6500.0,557.0,702.2,416.4,408.0
6600.0,548.4,678.2,419.4,326.5
6700.0,606.0,722.0,450.1,461.6
6800.0,594.3,722.0,446.3,413.3
6900.0,562.6,710.9,433.6,342.1
7000.0,606.0,722.0,455.0,445.4
7100.0,557.7,687.4,408.7,363.5
7200.0,606.0,707.9,449.6,451.5
7300.0,556.0,704.3,423.2,412.9
7400.0,552.0,703.9,420.2,317.1
7500.0,545.3,671.0,395.8,333.3
7600.0,548.3,682.5,391.4,336.1
7700.0,570.7,711.1,427.1,344.9
7800.0,539.1,672.2,391.0,297.6
7900.0,524.1,671.0,390.0,294.8
8000.0,589.3,712.4,447.3,408.2
8100.0,549.0,688.3,391.9,347.5
8200.0,563.3,694.4,406.9,380.9
8300.0,543.3,671.0,390.8,304.3
8400.0,556.5,681.6,407.3,324.8
8500.0,579.1,698.3,436.7,347.4
8600.0,543.4,671.0,398.1,335.3
8700.0,550.9,684.1,391.8,353.7
8800.0,559.2,702.7,404.6,388.0
8900.0,554.3,681.1,420.3,317.6
9000.0,532.5,678.8,396.5,309.8
9100.0,539.3,671.0,397.1,314.0
9200.0,602.6,722.0,450.4,405.4
9300.0,550.2,673.9,413.7,320.2
