timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,377.0,637.0,325.0,231.0
100.0,378.0,638.0,325.0,230.0
200.0,378.0,637.0,325.0,230.0
300.0,378.0,639.0,327.0,232.0
400.0,378.0,639.0,327.0,231.0
500.0,378.0,639.0,327.0,232.0
600.0,379.0,640.0,328.0,232.0
700.0,379.0,641.0,327.0,233.0
800.0,380.0,642.0,328.0,232.0
900.0,234.0,642.0,328.0,233.0
1000.0,380.0,642.0,329.0,233.0
1100.0,380.0,643.0,329.0,233.0
1200.0,381.0,643.0,329.0,233.0
1300.0,381.0,644.0,330.0,233.0
1400.0,381.0,645.0,331.0,234.0
1500.0,382.0,645.0,330.0,234.0
1600.0,382.0,646.0,331.0,235.0
1700.0,383.0,646.0,331.0,235.0
1800.0,383.0,647.0,332.0,235.0
1900.0,383.0,648.0,332.0,235.0
2000.0,384.0,648.0,333.0,236.0
2100.0,384.0,648.0,333.0,235.0
2200.0,384.0,650.0,334.0,237.0
2300.0,385.0,649.0,333.0,236.0
2400.0,385.0,650.0,334.0,236.0
2500.0,385.0,649.0,335.0,237.0
2600.0,386.0,651.0,336.0,237.0
2700.0,386.0,652.0,337.0,236.0
2800.0,386.0,652.0,336.0,236.0
2900.0,386.0,651.0,337.0,236.0
3000.0,387.0,652.0,338.0,236.0
3100.0,387.0,653.0,337.0,237.0
3200.0,387.0,654.0,338.0,238.0
3300.0,388.0,653.0,337.0,238.0
3400.0,389.0,655.0,339.0,237.0
3500.0,388.0,655.0,339.0,237.0
3600.0,389.0,655.0,340.0,238.0
3700.0,389.0,656.0,340.0,238.0
3800.0,389.0,657.0,340.0,237.0
3900.0,389.0,657.0,341.0,237.0
4000.0,389.0,658.0,341.0,237.0
4100.0,390.0,658.0,341.0,237.0
4200.0,390.0,657.0,341.0,237.0
4300.0,391.0,659.0,342.0,237.0
4400.0,390.0,659.0,343.0,237.0
4500.0,391.0,659.0,342.0,238.0
4600.0,391.0,659.0,343.0,236.0
4700.0,392.0,659.0,343.0,236.0
4800.0,393.0,661.0,344.0,237.0
4900.0,392.0,660.0,344.0,238.0
5000.0,392.0,662.0,344.0,237.0
5100.0,393.0,662.0,345.0,236.0
5200.0,393.0,663.0,346.0,236.0
5300.0,394.0,662.0,346.0,237.0
5400.0,393.0,663.0,346.0,236.0
5500.0,394.0,664.0,346.0,237.0
5600.0,394.0,664.0,347.0,236.0
5700.0,395.0,664.0,347.0,236.0
5800.0,395.0,664.0,348.0,235.0
5900.0,395.0,666.0,349.0,235.0
6000.0,395.0,665.0,348.0,236.0
6100.0,396.0,666.0,348.0,236.0
6200.0,397.0,666.0,349.0,236.0
6300.0,397.0,667.0,349.0,236.0
6400.0,397.0,667.0,350.0,236.0
6500.0,397.0,668.0,351.0,236.0
6600.0,397.0,668.0,350.0,236.0
6700.0,397.0,668.0,351.0,235.0
6800.0,398.0,668.0,352.0,236.0
6900.0,398.0,668.0,352.0,235.0
7000.0,398.0,670.0,352.0,236.0
7100.0,398.0,670.0,352.0,236.0
7200.0,399.0,671.0,352.0,236.0
7300.0,399.0,670.0,353.0,235.0
7400.0,399.0,671.0,354.0,235.0
7500.0,399.0,671.0,354.0,235.0
7600.0,400.0,672.0,355.0,236.0
7700.0,399.0,672.0,355.0,235.0
