timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,446.9,741.8,429.1,259.2
100.0,400.0,678.5,361.4,233.9
200.0,449.9,769.9,443.2,271.1
300.0,408.0,668.2,364.8,240.1
400.0,403.0,692.1,380.3,237.0
500.0,454.8,785.5,483.6,281.9
600.0,447.5,759.7,433.0,264.9
700.0,396.1,682.4,347.4,239.1
800.0,404.3,662.9,353.7,233.3
900.0,448.6,777.8,458.5,276.1
1000.0,431.5,726.2,401.9,239.6
1100.0,455.6,776.9,477.3,269.7
1200.0,413.1,719.9,389.9,240.1
1300.0,456.9,769.4,471.2,276.8
1400.0,401.9,658.8,350.7,238.9
1500.0,459.9,785.1,474.6,282.7
1600.0,458.8,785.8,479.0,283.0
1700.0,449.8,744.2,434.6,264.3
1800.0,450.1,762.0,447.1,270.1
1900.0,411.1,698.9,382.9,232.3
2000.0,462.0,772.0,466.7,281.6
2100.0,440.0,750.5,421.0,252.8
2200.0,450.8,778.6,456.3,266.1
2300.0,391.4,664.2,354.1,230.8
2400.0,449.8,775.4,456.5,269.1
2500.0,411.5,683.1,378.6,236.5
2600.0,447.7,758.6,425.2,258.0
2700.0,454.5,797.0,479.2,276.7
2800.0,428.0,743.4,414.1,250.6
2900.0,443.5,768.5,438.2,269.1
3000.0,454.9,776.0,475.6,283.0
3100.0,446.7,759.8,429.7,265.6
3200.0,395.0,670.6,337.9,237.7
3300.0,431.8,708.9,403.1,245.1
3400.0,403.2,678.3,348.1,234.3
3500.0,406.7,665.7,347.2,236.2
3600.0,462.0,796.8,470.7,278.7
3700.0,385.5,649.0,343.6,235.0
3800.0,428.4,728.2,413.7,245.0
3900.0,410.5,696.2,371.5,235.3
4000.0,387.3,637.0,328.5,231.6
4100.0,455.6,786.8,488.0,280.3
4200.0,393.8,676.2,360.4,238.5
4300.0,440.1,768.3,451.5,273.9
4400.0,455.3,771.8,464.7,278.9
4500.0,451.9,787.5,486.1,283.0
4600.0,456.5,767.7,467.0,276.2
4700.0,441.6,754.7,422.8,254.0
4800.0,412.9,694.2,376.8,235.2
4900.0,461.4,781.6,481.2,278.0
5000.0,454.6,780.3,474.3,279.1
5100.0,441.8,775.7,447.5,271.7
5200.0,462.0,772.6,484.9,275.0
5300.0,417.9,714.7,401.0,245.1
5400.0,453.4,772.3,459.2,270.1
5500.0,422.7,709.7,410.9,244.6
5600.0,387.5,667.9,341.8,234.0
5700.0,455.5,771.4,477.9,283.0
5800.0,413.0,677.6,368.8,231.4
5900.0,450.4,782.6,477.7,282.8
6000.0,446.9,776.7,450.5,265.6
6100.0,452.5,779.1,485.3,275.3
6200.0,453.6,797.0,484.5,279.8
6300.0,455.5,754.5,444.6,266.9
6400.0,433.1,736.0,409.8,247.3
6500.0,414.6,710.8,391.3,239.6
6600.0,426.0,712.2,399.6,237.6
6700.0,456.4,781.4,488.0,277.7
6800.0,418.2,691.3,393.6,236.2
6900.0,390.7,652.7,344.7,234.7
7000.0,455.9,797.0,475.1,280.0
7100.0,456.2,778.1,458.5,268.7
7200.0,452.9,794.3,483.6,277.5
7300.0,398.5,670.2,353.4,238.7
7400.0,406.8,691.3,382.3,236.7
7500.0,451.3,775.3,454.2,274.3
7600.0,451.1,764.6,462.7,277.5
7700.0,450.3,797.0,480.7,283.0
7800.0,438.5,750.9,443.8,260.6
7900.0,408.6,703.4,380.0,239.3
8000.0,386.2,655.6,332.1,235.1
8100.0,452.4,797.0,484.9,280.3
8200.0,449.9,797.0,470.3,278.9
8300.0,461.6,791.6,474.7,275.7
8400.0,414.1,700.9,384.6,238.8
8500.0,439.1,742.2,444.2,262.9
8600.0,451.2,764.9,445.9,272.7
8700.0,408.5,679.0,379.8,237.9
8800.0,447.5,767.8,476.9,279.7
8900.0,445.9,791.0,468.4,275.8
9000.0,397.3,663.7,348.5,235.8
9100.0,449.7,786.1,476.8,272.6
9200.0,407.2,684.5,376.1,232.6
9300.0,445.5,783.8,465.9,266.3
9400.0,443.8,736.1,420.4,253.6
9500.0,459.5,779.4,472.9,276.8
9600.0,423.6,711.8,401.2,236.1
9700.0,461.3,780.6,488.0,279.0
9800.0,444.1,783.7,469.5,269.9
9900.0,454.0,793.9,469.0,281.3
10000.0,441.5,759.3,455.3,270.3
10100.0,428.0,718.1,422.2,244.4
10200.0,449.4,794.1,477.4,272.9
10300.0,417.8,691.9,381.6,239.8
10400.0,462.0,791.6,475.5,279.9
10500.0,462.0,783.4,485.8,278.7
10600.0,454.8,759.6,449.9,272.2
10700.0,456.7,788.4,458.1,272.2
10800.0,409.3,706.4,387.5,237.1
10900.0,454.8,794.2,464.4,273.1
11000.0,450.4,762.3,434.4,259.8
11100.0,440.6,747.6,441.7,267.4
11200.0,421.3,714.1,410.8,244.9
11300.0,450.0,784.2,470.9,275.7
11400.0,411.3,702.5,387.5,238.2
11500.0,455.9,794.4,486.9,280.2
11600.0,455.1,785.5,475.0,269.4
11700.0,446.6,754.3,430.1,251.9
11800.0,446.0,762.9,447.1,266.1
11900.0,416.0,696.3,382.6,238.6
12000.0,462.0,797.0,484.7,280.6
12100.0,391.9,654.9,347.3,234.7
12200.0,444.2,749.1,446.4,267.5
12300.0,458.6,778.3,458.5,275.6
12400.0,441.9,741.9,430.0,253.2
12500.0,444.7,783.4,450.1,266.4
12600.0,453.9,793.0,484.0,282.3
12700.0,452.6,769.4,456.1,269.8
12800.0,426.3,716.2,407.2,245.3
12900.0,448.7,792.4,467.1,276.6
13000.0,447.7,768.9,460.1,273.3
13100.0,446.1,766.1,462.0,270.5
13200.0,457.5,797.0,474.6,280.8
13300.0,401.0,671.9,359.5,235.6
13400.0,457.5,775.4,473.0,273.8
13500.0,461.8,793.4,474.7,281.4
13600.0,439.2,757.3,444.7,270.1
13700.0,460.1,789.5,487.9,283.0
13800.0,430.6,755.3,421.3,254.3
13900.0,462.0,795.5,478.4,281.4
14000.0,414.7,723.7,398.8,243.7
14100.0,428.0,710.9,397.9,238.4
14200.0,429.9,728.7,399.7,244.3
14300.0,457.5,770.1,465.2,275.4
14400.0,462.0,788.7,481.4,282.4
14500.0,403.7,675.0,353.5,230.4
14600.0,433.4,727.4,420.3,253.1
14700.0,402.9,681.3,352.6,230.8
14800.0,371.8,637.0,328.5,230.0
14900.0,454.3,797.0,487.7,281.3
15000.0,419.0,721.8,398.5,243.5
15100.0,439.9,719.0,417.0,252.9
15200.0,447.0,759.9,446.9,270.6
15300.0,462.0,797.0,488.0,280.5
15400.0,387.1,642.1,334.1,233.2
15500.0,451.6,768.6,471.8,269.7
15600.0,453.5,781.6,481.8,283.0
15700.0,436.1,737.4,410.8,243.9
15800.0,397.0,658.2,354.2,234.3
15900.0,455.8,797.0,487.3,276.7
16000.0,450.5,743.3,439.0,261.5
16100.0,403.9,677.6,374.7,236.8
16200.0,452.8,790.1,477.0,282.9
16300.0,407.8,664.9,358.3,232.8
16400.0,412.5,708.6,389.8,241.5
16500.0,457.0,786.7,478.7,272.2
16600.0,437.8,718.7,405.0,244.8
16700.0,406.7,664.7,353.7,231.6
16800.0,454.3,781.3,488.0,279.7
16900.0,412.9,679.9,373.9,237.1
17000.0,436.3,715.1,409.1,245.4
17100.0,429.1,739.2,406.6,247.2
17200.0,457.9,797.0,473.2,283.0
17300.0,457.4,763.0,463.1,269.5
17400.0,412.8,688.3,377.3,235.6
17500.0,448.1,763.1,443.7,265.4
17600.0,436.0,738.5,419.5,255.1
17700.0,457.2,795.7,477.2,282.0
17800.0,422.0,724.7,398.0,241.2
17900.0,457.6,779.2,455.4,272.8
18000.0,456.4,770.7,470.3,272.0
18100.0,457.5,764.7,470.0,273.4
18200.0,407.3,686.4,381.9,238.3
18300.0,424.2,706.8,410.6,248.9
18400.0,455.5,773.4,467.9,270.3
18500.0,444.9,758.3,435.9,266.9
18600.0,449.9,781.9,472.5,266.5
18700.0,446.4,759.4,453.8,271.2
18800.0,447.0,761.9,460.8,273.6
18900.0,442.7,747.2,441.8,268.5
19000.0,462.0,797.0,488.0,281.8
19100.0,452.5,784.0,469.4,270.7
19200.0,413.7,706.7,387.6,238.9
19300.0,431.8,720.1,409.9,242.9
19400.0,433.1,730.8,407.1,252.3
19500.0,455.3,794.1,465.2,275.4
19600.0,450.1,782.1,472.2,281.3
19700.0,462.0,795.2,487.3,276.7
19800.0,462.0,796.6,482.4,277.7
19900.0,462.0,797.0,488.0,283.0
20000.0,454.6,773.3,485.9,283.0
20100.0,462.0,797.0,483.5,277.6
20200.0,406.0,688.0,372.1,233.4
20300.0,452.4,795.2,468.8,272.9
20400.0,451.6,758.7,446.0,271.0
20500.0,452.0,783.4,488.0,276.4
20600.0,459.2,791.8,488.0,283.0
20700.0,415.8,696.9,397.2,242.5
20800.0,435.3,742.8,421.7,258.1
20900.0,429.3,721.6,412.8,242.2
21000.0,459.3,768.0,472.5,280.0
21100.0,447.7,759.4,462.5,270.3
21200.0,389.8,673.5,351.2,237.1
21300.0,411.1,680.3,368.5,234.3
21400.0,459.7,796.7,488.0,283.0
21500.0,452.6,775.9,459.4,274.1
21600.0,422.4,712.3,404.4,244.9
21700.0,385.3,644.8,343.7,238.7
21800.0,437.9,746.6,438.3,269.3
21900.0,397.4,665.7,341.0,240.1
22000.0,462.0,791.3,479.4,276.4
22100.0,434.9,740.2,415.8,244.3
22200.0,456.0,797.0,487.8,282.4
22300.0,415.7,682.4,387.8,230.8
22400.0,462.0,773.1,477.2,279.9
22500.0,406.8,667.1,367.1,240.7
22600.0,453.6,784.6,488.0,283.0
22700.0,448.2,770.1,431.3,269.0
22800.0,444.4,740.7,415.2,257.6
22900.0,452.4,797.0,483.9,283.0
23000.0,402.7,667.9,352.9,239.3
23100.0,390.5,644.3,332.3,238.4
23200.0,452.5,753.9,446.2,274.2
23300.0,439.7,735.5,413.7,246.1
23400.0,449.2,767.5,444.5,267.1
23500.0,442.3,736.4,417.2,255.5
23600.0,447.2,749.5,453.9,271.2
23700.0,403.4,684.0,367.3,235.8
23800.0,451.2,756.8,447.5,268.5
23900.0,451.3,797.0,476.3,283.0
24000.0,453.9,797.0,478.7,283.0
24100.0,418.9,706.7,379.7,232.8
24200.0,390.9,677.7,352.2,239.5
24300.0,393.5,661.9,343.5,239.7
24400.0,459.2,789.2,452.9,269.0
24500.0,447.9,754.2,439.3,260.1
24600.0,462.0,797.0,488.0,281.6
24700.0,432.2,759.2,428.7,255.9
24800.0,443.9,791.6,468.8,269.2
24900.0,421.4,726.4,404.4,249.5
25000.0,455.8,778.4,464.8,269.2
25100.0,403.3,663.0,349.2,238.4
25200.0,459.8,797.0,488.0,283.0
25300.0,458.7,777.5,477.0,273.8
25400.0,420.1,718.1,392.9,245.5
25500.0,442.5,731.7,420.3,250.0
25600.0,451.4,780.7,469.9,268.9
25700.0,446.9,774.1,454.5,271.6
25800.0,441.6,776.0,463.0,271.1
25900.0,442.3,756.1,448.3,274.0
26000.0,450.1,760.9,465.2,267.5
26100.0,462.0,775.1,471.4,278.7
26200.0,454.0,758.6,453.7,267.1
26300.0,451.6,780.4,466.1,269.4
26400.0,410.9,674.0,375.6,230.6
26500.0,449.3,757.3,432.1,258.2
26600.0,441.7,765.8,430.8,261.0
26700.0,445.8,761.8,438.7,263.6
26800.0,449.2,775.4,465.4,271.4
26900.0,462.0,797.0,487.1,283.0
27000.0,447.4,753.7,431.3,253.6
27100.0,444.1,740.9,428.0,254.4
27200.0,452.8,770.9,464.3,268.7
27300.0,418.8,717.0,398.3,236.7
27400.0,414.2,694.8,373.9,237.6
27500.0,447.6,763.4,445.5,268.7
27600.0,447.5,768.2,436.7,262.7
27700.0,445.4,763.1,472.2,267.9
27800.0,417.4,714.6,393.3,244.0
27900.0,419.6,710.0,386.8,240.1
28000.0,437.5,772.1,447.0,269.8
28100.0,453.8,778.4,466.2,271.9
28200.0,426.5,743.2,417.4,250.0
28300.0,425.9,712.6,386.5,235.3
28400.0,443.5,768.5,454.5,271.3
28500.0,452.6,797.0,471.0,281.0
28600.0,439.1,755.5,437.9,268.5
28700.0,383.7,642.2,327.3,234.7
28800.0,453.4,797.0,487.6,283.0
28900.0,403.9,677.4,367.9,235.5
29000.0,459.1,782.8,479.5,282.6
29100.0,457.1,777.6,450.2,268.1
29200.0,462.0,786.5,480.2,280.6
29300.0,450.9,767.3,438.4,266.3
29400.0,452.0,797.0,480.7,283.0
29500.0,462.0,797.0,483.3,277.7
29600.0,446.3,779.7,445.9,272.0
29700.0,453.1,757.8,458.0,274.9
29800.0,457.1,795.2,464.7,272.1
29900.0,394.2,648.7,339.6,238.5
30000.0,436.2,732.2,420.4,249.4
30100.0,419.7,707.7,407.6,240.2
30200.0,449.1,765.2,465.9,272.9
30300.0,453.3,762.1,460.3,265.6
30400.0,393.7,656.0,343.3,236.6
30500.0,452.3,764.6,460.9,267.0
30600.0,436.9,750.2,433.4,260.5
30700.0,451.8,764.7,456.8,271.7
30800.0,444.4,780.2,454.3,267.5
30900.0,446.6,769.4,453.1,267.9
31000.0,454.4,795.2,488.0,275.5
31100.0,444.7,788.6,468.0,267.4
31200.0,458.7,774.4,476.3,272.4
31300.0,448.0,760.5,447.2,263.5
31400.0,442.5,762.1,450.5,269.4
31500.0,448.8,779.0,462.1,273.7
31600.0,456.0,780.4,463.9,272.9
31700.0,451.5,777.2,461.7,268.3
31800.0,430.9,743.8,409.1,249.0
31900.0,462.0,797.0,484.1,277.1
32000.0,433.7,728.7,403.4,245.6
32100.0,459.5,772.8,469.2,277.3
32200.0,454.3,759.3,438.9,272.0
32300.0,460.1,770.6,470.1,274.7
32400.0,448.1,754.3,449.3,267.4
32500.0,449.9,755.6,452.7,267.9
32600.0,457.8,787.2,481.8,279.2
32700.0,437.2,743.5,424.1,250.7
32800.0,399.2,669.9,355.3,239.1
32900.0,459.2,768.2,466.3,279.5
33000.0,456.3,766.5,477.9,268.2
33100.0,405.7,659.2,346.6,231.6
33200.0,447.6,747.9,452.1,269.4
33300.0,454.2,753.1,445.7,272.4
33400.0,439.2,772.9,451.3,267.7
33500.0,447.2,734.8,426.5,258.0
33600.0,457.3,783.7,464.0,277.6
33700.0,444.1,760.7,459.1,271.9
33800.0,422.1,728.5,416.0,251.9
33900.0,455.5,768.4,438.6,274.2
34000.0,381.9,665.3,334.8,242.0
34100.0,454.9,769.1,455.2,272.9
34200.0,455.2,764.7,466.8,278.9
34300.0,383.7,647.8,325.0,233.2
34400.0,453.7,771.8,471.4,275.3
34500.0,442.4,759.0,427.4,259.0
34600.0,450.6,769.8,467.5,275.6
34700.0,449.1,786.3,474.7,273.5
34800.0,462.0,797.0,488.0,278.0
34900.0,391.6,659.7,346.9,238.5
35000.0,460.5,787.2,474.8,274.9
35100.0,426.4,725.7,402.1,248.6
35200.0,453.9,787.1,462.3,270.5
35300.0,452.6,787.6,478.7,278.9
35400.0,430.2,713.2,404.1,249.6
35500.0,446.4,766.3,464.0,265.6
35600.0,452.2,793.6,476.2,272.7
35700.0,381.7,661.5,332.9,237.3
35800.0,460.1,779.8,469.6,268.7
35900.0,455.7,775.5,459.0,269.9
36000.0,459.5,776.0,454.4,270.8
36100.0,439.6,756.1,434.4,254.6
36200.0,417.4,718.6,403.5,237.5
36300.0,422.2,726.1,402.2,246.6
