timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,622.9,780.0,655.0,343.0
100.0,629.0,787.0,663.0,340.0
200.0,622.0,787.0,663.0,346.0
300.0,622.0,787.0,655.0,343.0
400.0,623.9,782.5,663.0,336.6
500.0,622.0,785.6,663.0,331.0
600.0,629.0,782.4,663.0,341.0
700.0,622.0,786.2,656.7,339.6
800.0,622.0,780.0,655.0,341.5
900.0,624.8,787.0,655.0,331.8
1000.0,622.5,786.2,663.0,346.0
1100.0,629.0,780.0,655.0,335.7
1200.0,622.0,780.0,663.0,346.0
1300.0,622.0,783.1,663.0,339.6
1400.0,629.0,787.0,663.0,338.1
1500.0,629.0,787.0,663.0,338.1
1600.0,629.0,787.0,655.0,334.4
1700.0,629.0,780.0,655.0,341.5
1800.0,629.0,780.0,655.0,346.0
1900.0,622.0,787.0,663.0,334.6
2000.0,624.6,784.1,661.7,340.7
2100.0,629.0,780.0,655.0,343.5
2200.0,622.0,787.0,655.0,338.5
2300.0,629.0,787.0,663.0,346.0
2400.0,622.0,785.3,663.0,341.3
2500.0,622.7,780.7,663.0,333.3
2600.0,626.4,787.0,660.0,346.0
2700.0,629.0,785.3,663.0,341.2
2800.0,629.0,780.0,655.0,327.7
2900.0,622.0,781.8,663.0,346.0
3000.0,627.1,780.0,663.0,342.0
3100.0,622.0,780.5,662.3,329.6
3200.0,629.0,787.0,663.0,338.3
3300.0,629.0,780.0,663.0,337.9
3400.0,622.0,787.0,655.0,345.6
3500.0,629.0,782.3,663.0,341.8
3600.0,622.0,787.0,663.0,336.9
3700.0,629.0,780.0,663.0,331.7
3800.0,629.0,786.6,655.0,332.4
3900.0,629.0,780.0,663.0,327.2
4000.0,626.8,787.0,663.0,325.0
4100.0,624.3,787.0,663.0,336.1
4200.0,622.0,780.0,655.0,325.0
4300.0,622.0,780.0,663.0,333.3
4400.0,629.0,787.0,663.0,340.6
4500.0,629.0,780.0,655.0,345.6
4600.0,623.5,780.0,655.0,329.1
4700.0,629.0,781.3,659.8,325.0
4800.0,622.0,780.0,655.0,346.0
4900.0,627.7,780.0,663.0,335.6
5000.0,628.6,780.0,655.0,325.0
5100.0,622.0,780.0,658.8,338.2
5200.0,627.3,780.0,663.0,346.0
5300.0,624.3,781.2,663.0,338.5
5400.0,629.0,787.0,663.0,333.7
5500.0,629.0,780.0,663.0,331.0
5600.0,629.0,787.0,655.0,342.5
5700.0,622.0,784.4,656.2,336.5
5800.0,624.8,787.0,663.0,329.4
5900.0,625.7,787.0,663.0,330.5
6000.0,622.0,780.0,663.0,340.1
6100.0,629.0,784.1,663.0,344.2
6200.0,622.0,780.0,655.0,325.0
6300.0,629.0,787.0,656.1,339.8
6400.0,622.0,780.0,663.0,339.7
6500.0,622.0,787.0,663.0,342.4
6600.0,629.0,780.0,663.0,346.0
6700.0,629.0,787.0,655.9,335.2
6800.0,622.0,780.0,663.0,342.5
6900.0,622.0,787.0,656.1,339.6
7000.0,629.0,787.0,660.1,340.7
7100.0,626.9,787.0,663.0,345.5
7200.0,622.0,780.0,655.0,337.4
7300.0,625.8,781.5,663.0,340.2
7400.0,629.0,780.9,663.0,339.1
7500.0,622.0,780.0,657.1,325.8
7600.0,622.0,785.0,655.0,325.0
7700.0,629.0,780.0,655.0,345.1
7800.0,622.0,787.0,655.0,346.0
7900.0,629.0,787.0,655.0,339.4
8000.0,622.0,780.0,663.0,346.0
8100.0,622.0,787.0,663.0,332.9
8200.0,629.0,780.0,658.2,331.2
8300.0,622.0,780.0,663.0,335.9
8400.0,629.0,787.0,655.0,346.0
8500.0,622.0,787.0,655.1,327.5
8600.0,622.0,787.0,658.4,346.0
8700.0,625.1,787.0,663.0,345.2
8800.0,629.0,780.0,657.9,335.1
8900.0,622.0,787.0,663.0,337.6
9000.0,629.0,780.0,662.0,339.4
9100.0,629.0,787.0,655.0,344.0
9200.0,628.9,787.0,659.2,338.3
9300.0,622.0,787.0,655.0,339.6
9400.0,628.1,781.1,655.0,341.4
9500.0,629.0,781.1,655.0,333.1
9600.0,623.0,780.0,663.0,343.7
9700.0,622.0,784.3,655.0,340.4
9800.0,626.2,780.0,655.0,342.9
9900.0,622.0,787.0,655.0,330.1
10000.0,622.0,780.0,663.0,335.9
10100.0,623.7,780.0,655.0,340.1
10200.0,629.0,780.0,663.0,331.7
10300.0,622.0,787.0,655.0,346.0
10400.0,622.0,787.0,655.0,346.0
10500.0,622.9,780.0,663.0,345.3
10600.0,622.3,784.1,660.5,345.3
10700.0,622.0,780.0,655.0,345.3
10800.0,629.0,781.0,661.9,346.0
10900.0,629.0,780.0,657.0,339.8
11000.0,622.0,780.0,663.0,344.4
11100.0,629.0,780.0,663.0,346.0
11200.0,622.0,787.0,656.2,341.2
11300.0,622.0,780.1,657.9,340.7
11400.0,623.1,782.5,655.0,340.0
11500.0,629.0,783.2,663.0,337.2
11600.0,629.0,787.0,655.0,328.3
11700.0,626.6,785.5,655.0,337.5
11800.0,622.0,780.0,655.0,336.5
11900.0,622.0,780.0,663.0,334.7
12000.0,629.0,787.0,663.0,346.0
12100.0,629.0,787.0,663.0,340.4
12200.0,622.0,787.0,662.7,340.9
12300.0,622.0,782.0,657.2,345.7
12400.0,623.7,787.0,655.0,340.3
12500.0,622.0,787.0,663.0,343.4
12600.0,629.0,785.2,656.3,346.0
12700.0,627.0,780.0,663.0,339.9
12800.0,629.0,780.0,663.0,328.4
12900.0,629.0,787.0,662.1,342.2
13000.0,629.0,785.8,663.0,329.4
13100.0,629.0,786.6,657.6,331.2
13200.0,627.0,787.0,657.5,336.4
13300.0,626.5,782.9,663.0,327.6
13400.0,624.5,780.0,663.0,330.5
13500.0,629.0,780.0,663.0,338.1
13600.0,622.9,787.0,663.0,346.0
13700.0,622.0,780.0,663.0,330.7
13800.0,623.1,787.0,655.9,343.1
13900.0,622.0,780.0,663.0,325.0
14000.0,625.3,787.0,659.2,346.0
14100.0,629.0,783.2,663.0,335.6
14200.0,629.0,783.7,663.0,340.2
14300.0,629.0,787.0,655.0,342.2
14400.0,622.0,786.2,663.0,339.6
14500.0,626.5,787.0,655.0,337.9
14600.0,622.0,780.0,663.0,346.0
14700.0,629.0,780.0,655.0,339.0
14800.0,622.4,782.5,655.0,342.0
14900.0,622.0,787.0,655.0,341.1
15000.0,622.0,780.0,661.7,333.7
15100.0,622.0,780.0,655.0,338.9
15200.0,622.0,786.3,659.1,325.0
15300.0,629.0,780.5,663.0,329.5
15400.0,629.0,787.0,661.9,342.9
15500.0,622.0,780.2,656.5,325.1
15600.0,629.0,780.0,655.0,346.0
15700.0,622.0,780.0,658.7,340.9
15800.0,629.0,787.0,663.0,338.3
15900.0,627.1,787.0,655.8,340.0
16000.0,629.0,784.7,663.0,346.0
16100.0,628.2,785.8,660.3,340.7
16200.0,622.0,780.0,655.0,344.3
16300.0,629.0,787.0,655.0,333.3
16400.0,629.0,787.0,663.0,346.0
16500.0,622.0,787.0,655.0,338.7
16600.0,622.0,780.0,663.0,340.2
16700.0,622.0,780.0,662.5,338.7
16800.0,629.0,787.0,663.0,342.8
16900.0,622.0,782.5,662.5,346.0
17000.0,629.0,780.0,663.0,337.9
17100.0,622.0,780.0,661.4,341.5
17200.0,622.0,787.0,658.4,331.7
17300.0,625.8,784.9,663.0,335.5
17400.0,628.1,780.0,663.0,340.3
17500.0,629.0,787.0,663.0,330.9
17600.0,622.0,787.0,655.0,335.3
17700.0,622.0,787.0,655.0,342.7
17800.0,622.0,785.2,658.3,340.8
17900.0,629.0,787.0,662.6,333.0
18000.0,629.0,787.0,663.0,336.5
18100.0,624.8,787.0,661.1,336.5
18200.0,629.0,787.0,655.0,328.5
18300.0,629.0,780.0,657.8,342.0
18400.0,629.0,787.0,660.6,341.1
18500.0,622.0,786.8,655.0,339.3
18600.0,629.0,780.0,655.0,331.1
18700.0,622.0,785.3,655.0,338.5
18800.0,625.9,785.7,658.9,342.6
18900.0,629.0,787.0,663.0,342.3
19000.0,629.0,786.7,655.0,329.8
19100.0,629.0,785.0,663.0,337.1
19200.0,625.3,780.0,655.0,325.0
19300.0,629.0,780.8,662.6,345.4
19400.0,629.0,784.3,663.0,341.4
