timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,451.2,621.2,338.3,215.1
100.0,443.2,615.7,337.8,224.7
200.0,467.7,633.0,356.0,255.1
300.0,480.7,643.0,353.0,274.4
400.0,437.6,624.8,332.9,200.0
500.0,475.4,646.2,364.0,280.0
600.0,482.6,643.9,347.1,243.4
700.0,466.6,632.9,355.0,220.6
800.0,486.5,649.7,360.9,296.9
900.0,473.7,628.7,349.2,276.2
1000.0,457.1,641.2,354.1,217.1
1100.0,483.6,658.8,351.3,257.8
1200.0,496.2,651.9,365.4,304.1
1300.0,480.8,649.7,352.5,265.1
1400.0,441.6,606.0,331.2,185.7
1500.0,442.1,618.2,334.3,200.6
1600.0,475.5,660.9,362.0,282.1
1700.0,477.9,638.2,348.3,258.3
1800.0,514.1,654.3,359.4,320.0
1900.0,442.5,614.3,328.0,198.6
2000.0,468.9,639.8,344.0,223.5
2100.0,486.1,649.5,352.0,263.2
2200.0,480.4,653.4,343.5,267.1
2300.0,440.8,633.5,343.5,226.8
2400.0,446.4,619.6,329.2,200.0
2500.0,516.1,667.2,388.5,360.3
2600.0,514.7,678.0,389.0,352.3
2700.0,433.0,606.0,332.2,181.2
2800.0,465.9,629.2,347.7,236.9
2900.0,448.4,617.3,338.0,221.9
3000.0,484.5,644.9,343.1,265.8
3100.0,465.8,634.2,350.1,236.5
3200.0,440.7,626.5,338.9,220.2
3300.0,475.9,634.9,350.2,226.4
3400.0,464.2,634.0,342.6,223.2
3500.0,457.9,629.9,353.6,219.1
3600.0,474.7,647.6,352.3,283.0
3700.0,500.1,644.3,353.6,306.6
3800.0,520.0,678.0,381.5,356.9
3900.0,508.3,646.6,353.5,327.2
4000.0,488.6,653.7,342.2,308.9
4100.0,446.6,631.4,334.4,209.1
4200.0,504.5,669.9,364.7,328.8
4300.0,475.8,625.3,343.9,221.1
4400.0,511.1,658.2,353.5,323.6
4500.0,501.7,656.1,375.3,332.1
4600.0,516.0,654.2,359.9,311.5
4700.0,456.6,643.5,350.5,199.2
4800.0,450.8,620.0,342.1,204.5
4900.0,440.4,611.6,333.3,211.6
5000.0,438.6,606.0,331.8,186.3
5100.0,472.3,625.3,345.9,234.7
5200.0,439.2,627.8,346.5,224.7
5300.0,462.3,648.8,357.3,234.0
5400.0,442.6,628.4,329.5,202.6
