timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,715.7,839.0,726.0,457.0
100.0,711.9,839.0,726.0,442.7
200.0,704.0,839.0,724.9,454.2
300.0,704.0,833.9,723.6,453.4
400.0,712.1,833.0,726.0,446.5
500.0,720.6,833.0,726.0,444.9
600.0,704.0,839.0,719.5,446.6
700.0,720.8,839.0,720.2,448.2
800.0,704.0,839.0,723.3,442.4
900.0,716.8,833.0,707.0,458.0
1000.0,712.2,839.0,723.0,447.2
1100.0,713.6,833.0,707.0,445.0
1200.0,720.4,839.0,711.2,448.5
1300.0,721.4,833.0,707.0,444.6
1400.0,720.1,839.0,707.6,458.0
1500.0,724.0,839.0,712.6,458.0
1600.0,724.0,839.0,708.2,458.0
1700.0,706.4,833.0,720.8,458.0
1800.0,715.5,839.0,720.8,454.7
1900.0,724.0,839.0,712.8,455.1
2000.0,721.6,839.0,719.5,449.3
2100.0,714.1,839.0,709.4,448.3
2200.0,713.7,833.0,718.9,450.7
2300.0,713.7,839.0,707.9,458.0
2400.0,713.2,833.0,723.0,441.0
2500.0,711.6,833.0,707.0,443.0
2600.0,704.0,839.0,708.0,458.0
2700.0,716.6,839.0,717.8,451.6
2800.0,712.8,833.0,718.2,445.7
2900.0,704.0,839.0,724.7,441.0
3000.0,711.2,839.0,707.0,458.0
3100.0,704.0,833.0,726.0,449.6
3200.0,714.4,833.0,717.6,458.0
3300.0,711.3,833.0,707.0,453.4
3400.0,710.5,839.0,726.0,447.9
3500.0,704.0,833.0,726.0,458.0
3600.0,719.3,834.2,726.0,442.1
3700.0,719.3,839.0,707.0,453.1
3800.0,723.7,839.0,716.5,458.0
3900.0,711.1,839.0,722.9,444.8
4000.0,724.0,833.0,720.1,451.5
4100.0,713.2,839.0,726.0,451.6
4200.0,716.5,839.0,707.0,455.6
4300.0,707.3,839.0,725.4,451.3
4400.0,715.5,833.0,707.0,449.5
4500.0,705.7,839.0,726.0,446.0
4600.0,713.4,839.0,726.0,444.8
4700.0,704.0,839.0,726.0,458.0
4800.0,723.2,835.6,712.2,458.0
4900.0,710.9,833.0,715.6,447.4
5000.0,704.0,835.9,726.0,448.8
5100.0,724.0,839.0,711.7,457.9
5200.0,704.0,839.0,713.0,441.0
5300.0,713.3,838.5,718.2,447.6
5400.0,724.0,839.0,710.7,453.5
5500.0,707.2,833.0,707.0,456.5
5600.0,715.0,838.0,707.0,456.8
5700.0,704.0,833.0,726.0,451.2
5800.0,724.0,836.0,726.0,453.0
5900.0,720.5,833.0,707.0,454.5
6000.0,724.0,839.0,726.0,457.3
6100.0,720.2,833.0,716.1,452.7
6200.0,705.0,839.0,707.0,452.2
6300.0,708.5,833.0,726.0,441.0
6400.0,716.6,835.3,707.0,451.8
6500.0,724.0,833.0,724.0,445.1
6600.0,721.3,836.8,724.1,443.3
6700.0,721.0,839.0,712.1,448.1
6800.0,724.0,839.0,718.3,458.0
6900.0,724.0,839.0,726.0,455.0
7000.0,704.0,839.0,718.9,451.5
7100.0,722.9,839.0,724.1,442.8
7200.0,724.0,833.0,715.4,458.0
7300.0,711.7,833.0,721.0,456.1
7400.0,724.0,833.0,707.0,456.7
7500.0,724.0,839.0,712.4,452.2
7600.0,704.0,833.0,710.7,442.6
7700.0,712.0,839.0,719.5,452.8
7800.0,723.0,839.0,724.7,445.7
7900.0,716.3,833.0,707.8,458.0
8000.0,713.0,839.0,726.0,441.0
8100.0,724.0,835.9,707.0,449.5
8200.0,724.0,839.0,721.1,458.0
8300.0,723.7,839.0,726.0,444.7
8400.0,724.0,839.0,726.0,452.3
8500.0,719.8,838.6,707.0,458.0
8600.0,704.0,833.0,725.9,449.5
8700.0,706.6,836.1,721.7,458.0
8800.0,722.6,833.0,724.2,457.7
8900.0,714.7,839.0,720.0,447.4
9000.0,714.9,836.5,719.6,451.9
9100.0,721.9,833.0,715.0,458.0
9200.0,723.2,833.0,709.5,450.3
9300.0,716.1,839.0,726.0,453.4
9400.0,706.1,839.0,726.0,447.4
9500.0,712.9,833.0,726.0,444.2
9600.0,724.0,833.0,719.2,451.3
9700.0,711.8,833.0,726.0,448.6
9800.0,724.0,833.0,712.2,455.3
9900.0,719.0,833.6,718.0,456.8
10000.0,718.4,839.0,726.0,452.3
10100.0,724.0,837.9,707.0,458.0
10200.0,711.2,833.0,726.0,445.6
10300.0,710.5,833.0,720.6,446.6
10400.0,715.7,834.1,725.7,441.0
10500.0,704.6,839.0,713.1,444.6
10600.0,724.0,833.0,723.5,449.5
10700.0,719.2,839.0,710.9,452.0
10800.0,704.8,839.0,718.1,458.0
10900.0,709.3,835.8,726.0,445.1
11000.0,724.0,835.8,723.3,453.8
11100.0,714.1,833.0,718.2,458.0
11200.0,707.2,838.1,726.0,441.0
11300.0,724.0,839.0,726.0,450.6
11400.0,720.7,833.0,726.0,449.9
11500.0,716.1,833.0,716.7,449.4
11600.0,704.5,833.0,717.9,441.0
11700.0,704.0,839.0,726.0,441.0
11800.0,724.0,833.0,707.0,454.7
11900.0,704.0,833.0,714.6,441.0
12000.0,710.0,839.0,708.5,458.0
12100.0,720.6,839.0,713.9,450.6
12200.0,704.9,833.0,726.0,449.7
12300.0,705.9,835.5,717.0,441.0
12400.0,704.0,833.3,723.2,458.0
12500.0,720.3,839.0,713.0,454.4
12600.0,724.0,833.0,707.0,458.0
12700.0,719.7,839.0,726.0,450.8
12800.0,716.4,833.0,721.9,454.4
12900.0,724.0,839.0,707.6,457.4
13000.0,724.0,833.0,713.5,454.6
13100.0,710.3,839.0,719.5,450.0
13200.0,705.6,837.5,726.0,447.0
13300.0,704.0,839.0,710.1,446.2
13400.0,712.7,839.0,717.9,444.2
13500.0,710.8,839.0,711.9,448.7
13600.0,720.1,839.0,707.0,449.9
13700.0,704.0,839.0,723.9,448.8
13800.0,704.0,839.0,724.9,447.5
13900.0,724.0,839.0,726.0,456.3
14000.0,704.0,838.3,713.3,453.8
14100.0,717.8,833.5,707.0,454.9
14200.0,724.0,839.0,726.0,455.8
14300.0,721.9,833.0,716.9,450.6
14400.0,704.0,839.0,716.3,458.0
14500.0,719.2,836.7,718.9,456.7
14600.0,709.7,833.0,710.2,453.1
14700.0,723.0,839.0,707.0,447.3
14800.0,716.9,839.0,710.7,441.5
14900.0,722.8,833.0,707.0,449.2
15000.0,712.1,833.0,716.8,451.4
15100.0,717.3,839.0,707.0,456.4
15200.0,724.0,833.6,707.0,444.5
15300.0,723.0,838.0,713.5,448.3
15400.0,713.9,833.0,726.0,452.5
15500.0,705.3,833.0,707.0,456.6
15600.0,708.8,833.0,714.7,441.0
15700.0,724.0,839.0,712.5,449.3
15800.0,704.2,836.7,720.8,448.4
15900.0,709.7,839.0,726.0,455.5
16000.0,724.0,833.0,709.5,457.0
16100.0,714.8,833.0,721.6,453.9
16200.0,724.0,839.0,707.0,449.1
16300.0,723.0,839.0,726.0,453.7
16400.0,710.8,833.0,726.0,457.6
16500.0,724.0,839.0,717.6,457.6
16600.0,704.0,833.0,726.0,443.1
16700.0,724.0,839.0,726.0,447.7
16800.0,704.0,839.0,716.6,444.2
16900.0,714.8,839.0,707.0,448.1
17000.0,724.0,833.9,707.0,457.0
17100.0,724.0,839.0,707.0,458.0
17200.0,719.4,838.4,713.4,458.0
17300.0,704.0,839.0,726.0,441.0
17400.0,704.1,836.6,726.0,458.0
17500.0,718.5,839.0,720.3,451.1
17600.0,704.0,833.0,726.0,443.2
17700.0,712.8,839.0,720.1,454.2
17800.0,704.0,839.0,723.4,451.7
17900.0,724.0,833.0,707.0,444.3
18000.0,724.0,839.0,720.3,451.7
18100.0,709.3,839.0,725.5,458.0
18200.0,724.0,833.0,720.5,453.0
18300.0,717.0,839.0,717.9,449.1
18400.0,704.0,839.0,726.0,458.0
18500.0,704.0,833.0,723.3,446.9
18600.0,704.0,839.0,724.2,452.5
18700.0,723.0,839.0,726.0,441.7
18800.0,704.4,838.2,726.0,455.8
18900.0,721.2,833.0,711.7,456.1
19000.0,718.7,839.0,726.0,455.4
19100.0,704.0,839.0,719.7,454.9
19200.0,704.0,834.7,718.0,441.0
19300.0,704.0,835.9,726.0,455.8
19400.0,704.6,833.0,715.8,449.3
19500.0,704.0,833.0,720.0,452.8
19600.0,714.6,839.0,717.6,453.1
19700.0,707.8,839.0,707.5,458.0
19800.0,724.0,833.0,723.8,447.2
19900.0,723.2,839.0,721.0,453.6
20000.0,715.5,833.0,711.5,449.8
20100.0,724.0,834.4,714.4,449.4
20200.0,704.0,839.0,726.0,444.8
20300.0,719.0,839.0,719.3,442.8
20400.0,704.0,839.0,719.4,441.0
20500.0,714.0,839.0,724.5,441.0
20600.0,704.3,839.0,716.1,445.2
20700.0,724.0,839.0,707.0,448.0
20800.0,724.0,833.0,707.9,458.0
20900.0,719.4,839.0,722.1,444.5
21000.0,709.3,835.4,726.0,456.4
21100.0,714.1,833.0,707.0,458.0
21200.0,713.5,835.7,713.1,458.0
21300.0,704.0,839.0,726.0,445.3
21400.0,724.0,834.4,708.8,452.4
21500.0,704.0,833.0,726.0,444.8
21600.0,718.9,839.0,716.3,443.2
21700.0,704.9,833.0,713.3,454.2
21800.0,718.1,833.0,707.0,453.0
21900.0,706.0,839.0,717.2,457.8
22000.0,710.7,839.0,711.7,454.9
22100.0,712.0,833.0,726.0,445.7
22200.0,723.1,839.0,713.5,452.8
22300.0,724.0,833.0,708.9,453.5
22400.0,712.6,839.0,709.1,458.0
22500.0,713.2,839.0,711.9,441.0
22600.0,724.0,833.0,710.1,457.4
22700.0,724.0,833.4,707.0,452.8
22800.0,719.1,833.0,726.0,444.8
22900.0,724.0,839.0,725.5,452.9
23000.0,710.7,833.0,726.0,449.8
23100.0,704.2,833.0,726.0,450.2
23200.0,716.3,833.0,716.2,451.3
23300.0,704.6,839.0,725.7,449.0
23400.0,704.5,835.3,711.8,457.7
23500.0,711.1,839.0,722.2,458.0
23600.0,704.0,835.9,726.0,458.0
23700.0,724.0,833.0,717.6,458.0
23800.0,716.9,839.0,707.0,445.4
23900.0,713.6,839.0,707.0,458.0
24000.0,724.0,839.0,720.3,453.7
24100.0,714.5,839.0,712.9,455.6
24200.0,710.4,833.0,724.4,451.9
24300.0,722.1,833.0,715.7,442.2
24400.0,724.0,835.8,715.2,457.7
24500.0,724.0,833.4,713.8,449.4
24600.0,718.9,838.4,707.0,458.0
24700.0,724.0,833.0,707.0,448.3
24800.0,713.7,839.0,711.5,454.0
24900.0,711.4,839.0,726.0,448.3
25000.0,706.6,834.9,725.4,441.0
25100.0,719.8,839.0,716.2,458.0
