timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,690.0,830.7,724.0,441.0
100.0,690.0,830.0,728.0,441.0
200.0,698.0,830.0,725.5,441.0
300.0,690.0,830.0,728.0,439.6
400.0,693.0,835.0,728.0,438.9
500.0,690.0,831.5,724.0,437.6
600.0,698.0,835.0,724.0,435.0
700.0,690.0,830.0,724.0,435.2
800.0,698.0,830.0,724.0,441.0
900.0,695.7,830.0,728.0,435.8
1000.0,698.0,835.0,724.0,435.0
1100.0,690.0,830.8,726.2,439.7
1200.0,693.8,835.0,724.0,441.0
1300.0,697.9,830.0,724.6,435.0
1400.0,698.0,835.0,728.0,441.0
1500.0,690.0,835.0,724.0,438.9
1600.0,690.0,832.7,728.0,435.0
1700.0,690.0,835.0,724.0,441.0
1800.0,695.9,835.0,728.0,438.0
1900.0,698.0,835.0,724.0,435.0
2000.0,690.0,835.0,728.0,435.0
2100.0,690.0,830.0,724.0,435.0
2200.0,695.3,835.0,725.9,437.9
2300.0,692.6,834.9,724.0,441.0
2400.0,690.0,830.0,724.0,435.0
2500.0,690.0,835.0,728.0,441.0
2600.0,698.0,830.0,728.0,435.0
2700.0,698.0,835.0,728.0,440.9
2800.0,690.0,835.0,728.0,435.4
2900.0,692.9,830.0,727.5,438.1
3000.0,698.0,832.2,724.0,436.9
3100.0,690.0,835.0,724.0,435.0
3200.0,697.4,830.0,725.1,435.0
3300.0,698.0,830.0,724.0,435.0
3400.0,690.0,835.0,724.0,435.0
3500.0,698.0,835.0,728.0,437.9
3600.0,690.0,830.0,724.0,440.5
3700.0,693.5,835.0,728.0,439.2
3800.0,690.0,830.0,728.0,435.0
3900.0,693.9,835.0,728.0,438.6
4000.0,691.9,830.0,728.0,435.0
4100.0,691.3,834.0,724.0,441.0
4200.0,698.0,830.0,728.0,435.0
4300.0,690.0,830.0,724.0,441.0
4400.0,698.0,830.0,726.0,441.0
4500.0,690.5,830.1,724.0,440.1
4600.0,690.0,830.0,724.0,438.9
4700.0,690.0,831.5,728.0,435.1
4800.0,690.0,831.0,728.0,439.8
4900.0,698.0,835.0,724.0,435.0
5000.0,698.0,835.0,724.0,436.3
5100.0,698.0,835.0,724.0,435.0
5200.0,690.0,835.0,728.0,435.0
5300.0,690.0,835.0,724.0,438.5
5400.0,690.2,830.0,724.0,441.0
5500.0,698.0,835.0,724.0,436.2
5600.0,690.0,830.0,724.0,435.8
5700.0,690.0,834.0,728.0,438.7
5800.0,690.0,830.0,728.0,437.0
5900.0,693.8,835.0,728.0,440.3
6000.0,695.4,832.7,728.0,440.1
6100.0,693.9,832.3,728.0,435.0
6200.0,690.0,835.0,724.0,436.8
6300.0,690.0,830.0,724.0,441.0
6400.0,692.6,830.0,728.0,441.0
6500.0,696.1,830.0,728.0,441.0
6600.0,698.0,835.0,724.0,439.1
6700.0,696.3,830.0,724.0,435.0
6800.0,690.5,830.8,728.0,437.6
6900.0,690.0,830.0,724.0,435.0
7000.0,690.0,830.0,728.0,441.0
7100.0,690.0,835.0,724.0,435.0
7200.0,695.0,835.0,728.0,439.1
7300.0,690.0,835.0,725.6,435.4
7400.0,690.0,835.0,724.0,435.0
7500.0,690.0,835.0,728.0,441.0
7600.0,698.0,830.0,724.0,435.0
7700.0,690.6,835.0,728.0,441.0
7800.0,690.0,831.6,728.0,435.0
7900.0,693.0,830.0,724.0,438.1
8000.0,698.0,830.0,728.0,435.0
8100.0,690.0,835.0,724.0,441.0
8200.0,690.0,835.0,728.0,441.0
8300.0,698.0,835.0,728.0,436.1
8400.0,690.0,831.4,724.0,435.0
8500.0,698.0,835.0,724.0,435.0
8600.0,690.0,835.0,728.0,435.0
8700.0,690.0,835.0,724.0,438.7
8800.0,691.3,830.0,728.0,441.0
8900.0,690.0,830.0,728.0,441.0
9000.0,698.0,830.0,727.9,436.1
9100.0,690.0,835.0,724.0,440.7
9200.0,698.0,835.0,728.0,441.0
9300.0,695.9,830.0,724.0,435.0
9400.0,691.0,830.0,724.0,435.7
9500.0,698.0,835.0,724.0,435.0
9600.0,698.0,830.0,724.0,438.6
9700.0,698.0,830.0,727.0,441.0
9800.0,690.0,830.0,728.0,441.0
9900.0,690.0,833.8,724.0,435.0
10000.0,694.9,830.0,726.3,435.0
10100.0,698.0,830.6,728.0,435.0
10200.0,693.6,835.0,724.0,441.0
10300.0,690.0,835.0,724.0,440.3
10400.0,690.0,835.0,728.0,441.0
10500.0,698.0,835.0,728.0,435.0
10600.0,696.5,830.0,728.0,441.0
10700.0,698.0,830.0,728.0,435.0
10800.0,698.0,835.0,726.8,441.0
10900.0,698.0,835.0,724.2,441.0
11000.0,698.0,830.0,728.0,435.0
11100.0,698.0,835.0,725.0,441.0
11200.0,690.0,830.0,728.0,435.0
11300.0,698.0,835.0,728.0,435.0
11400.0,698.0,835.0,728.0,435.0
11500.0,692.4,835.0,725.6,435.0
11600.0,693.1,835.0,728.0,441.0
11700.0,690.0,835.0,728.0,441.0
11800.0,690.0,830.0,728.0,435.0
11900.0,692.0,835.0,724.0,440.6
12000.0,697.4,835.0,728.0,441.0
12100.0,698.0,835.0,727.1,441.0
12200.0,690.0,830.0,728.0,437.0
12300.0,694.8,835.0,728.0,435.0
12400.0,698.0,832.9,726.5,441.0
12500.0,698.0,830.0,724.0,440.5
12600.0,690.0,830.0,728.0,440.0
12700.0,690.0,835.0,728.0,440.3
12800.0,698.0,832.2,724.0,435.0
12900.0,690.0,835.0,728.0,435.0
13000.0,698.0,830.0,724.0,441.0
13100.0,698.0,830.0,724.0,441.0
13200.0,693.4,830.0,724.0,441.0
13300.0,690.0,830.0,728.0,441.0
13400.0,690.0,830.0,724.0,441.0
13500.0,698.0,835.0,724.0,437.9
13600.0,696.7,830.0,724.0,437.9
13700.0,690.0,835.0,724.0,439.0
13800.0,698.0,835.0,724.0,441.0
13900.0,690.0,834.0,724.0,435.0
14000.0,690.3,831.0,724.0,438.8
14100.0,690.0,832.1,728.0,435.1
14200.0,698.0,835.0,724.0,441.0
14300.0,690.4,830.0,724.0,435.0
14400.0,698.0,830.0,728.0,441.0
14500.0,698.0,835.0,724.0,441.0
14600.0,698.0,830.0,724.0,441.0
14700.0,698.0,835.0,725.6,438.2
14800.0,696.7,835.0,724.0,439.1
14900.0,698.0,835.0,724.0,441.0
15000.0,690.0,835.0,724.0,441.0
15100.0,690.0,830.0,728.0,435.0
15200.0,690.0,835.0,726.4,439.4
15300.0,698.0,835.0,728.0,435.0
15400.0,690.0,830.0,728.0,440.4
15500.0,690.0,830.8,728.0,435.0
15600.0,690.0,830.0,724.0,441.0
15700.0,698.0,835.0,728.0,435.0
15800.0,690.0,835.0,728.0,435.0
15900.0,694.9,830.0,724.0,441.0
16000.0,698.0,830.0,724.0,441.0
16100.0,698.0,830.0,726.4,435.2
16200.0,697.1,832.3,728.0,441.0
16300.0,690.0,830.0,724.0,435.4
16400.0,698.0,835.0,726.8,435.0
16500.0,691.5,830.0,724.4,435.0
16600.0,694.5,831.2,728.0,441.0
16700.0,698.0,830.0,724.3,435.0
16800.0,698.0,835.0,724.0,441.0
16900.0,690.0,830.0,724.0,441.0
17000.0,694.7,830.0,728.0,435.0
17100.0,690.0,835.0,728.0,435.4
17200.0,694.7,835.0,724.0,436.2
17300.0,694.8,830.0,724.0,435.0
17400.0,690.6,835.0,725.2,437.6
17500.0,690.0,830.0,728.0,439.7
17600.0,692.8,835.0,728.0,440.8
17700.0,694.7,833.0,724.0,435.0
17800.0,690.0,834.8,728.0,435.0
17900.0,698.0,830.0,724.0,441.0
18000.0,695.4,835.0,728.0,439.6
18100.0,698.0,830.0,724.0,439.2
18200.0,698.0,834.4,724.2,435.0
18300.0,696.3,830.0,724.0,435.0
18400.0,690.0,835.0,727.3,436.9
18500.0,693.3,835.0,724.8,437.0
18600.0,690.0,835.0,728.0,435.0
18700.0,690.0,835.0,728.0,440.9
18800.0,698.0,835.0,724.0,441.0
18900.0,690.0,830.0,726.3,435.0
19000.0,696.9,830.0,728.0,441.0
19100.0,690.0,835.0,728.0,439.3
19200.0,698.0,830.0,728.0,439.2
19300.0,698.0,835.0,724.0,435.0
19400.0,690.0,835.0,728.0,435.0
19500.0,697.4,830.0,728.0,435.0
19600.0,698.0,830.0,728.0,441.0
19700.0,698.0,835.0,728.0,441.0
19800.0,690.0,832.9,724.0,435.0
19900.0,698.0,835.0,725.7,435.9
20000.0,698.0,830.0,728.0,441.0
