timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,482.9,663.7,371.6,278.4
100.0,435.0,632.7,341.1,222.0
200.0,489.2,673.2,368.7,277.3
300.0,431.4,625.8,347.3,201.6
400.0,444.3,624.1,340.0,203.1
500.0,468.1,657.1,353.7,259.8
600.0,457.4,631.4,344.4,227.6
700.0,438.9,628.6,340.4,223.3
800.0,474.9,660.2,382.0,252.8
900.0,443.2,647.7,346.6,199.1
1000.0,478.0,659.4,358.6,249.6
1100.0,448.9,634.4,350.0,222.7
1200.0,429.7,642.0,341.7,196.0
1300.0,439.4,639.7,343.8,208.7
1400.0,506.9,679.3,382.0,267.9
1500.0,443.2,637.7,336.6,203.3
1600.0,471.2,685.3,382.0,247.4
1700.0,473.8,681.3,378.2,250.8
1800.0,481.0,671.6,380.3,247.8
1900.0,502.3,686.0,374.2,304.8
2000.0,440.9,625.2,335.0,196.9
2100.0,493.9,685.0,382.0,275.8
2200.0,477.6,641.9,349.9,266.6
2300.0,429.7,624.1,339.3,198.0
2400.0,499.5,679.4,376.9,287.0
2500.0,443.2,647.5,343.3,206.6
2600.0,437.6,640.8,336.3,207.5
2700.0,444.6,626.7,348.5,220.9
2800.0,433.0,637.1,341.9,199.4
2900.0,451.2,622.6,338.9,204.1
3000.0,466.3,658.8,342.3,294.0
3100.0,474.3,660.9,366.7,267.4
3200.0,468.6,657.1,363.1,288.4
3300.0,452.0,623.0,347.7,200.7
3400.0,471.1,654.6,352.9,243.1
3500.0,434.9,642.2,349.3,211.1
3600.0,442.5,639.0,341.7,197.8
3700.0,450.6,635.7,335.0,201.9
3800.0,451.8,633.1,344.3,207.9
3900.0,472.9,669.4,382.0,246.6
4000.0,455.0,657.1,347.6,234.5
4100.0,472.5,667.9,377.8,247.5
4200.0,470.3,652.3,348.7,254.4
4300.0,441.4,629.9,346.0,212.1
4400.0,442.2,644.9,353.4,191.3
4500.0,456.7,629.0,340.4,213.3
4600.0,452.9,646.0,341.5,217.3
4700.0,467.4,666.3,366.5,247.6
4800.0,468.0,636.3,354.6,257.5
4900.0,442.7,644.4,346.6,201.2
5000.0,462.5,655.0,354.6,232.1
5100.0,463.0,649.2,348.8,232.1
5200.0,509.0,675.5,376.9,298.5
5300.0,478.7,664.9,362.6,273.5
5400.0,444.2,641.6,341.6,202.7
5500.0,470.2,662.5,371.3,259.2
5600.0,476.7,671.3,364.6,252.9
5700.0,449.1,628.9,342.4,217.1
5800.0,449.6,639.2,347.1,206.9
5900.0,434.3,625.7,344.3,209.3
6000.0,446.5,621.0,335.8,229.2
6100.0,465.0,639.9,354.8,237.9
6200.0,467.3,683.4,382.0,244.7
6300.0,436.7,634.5,337.9,220.1
6400.0,446.5,642.8,344.2,206.1
6500.0,458.3,649.3,355.4,231.6
6600.0,471.1,659.9,382.0,254.9
6700.0,458.4,646.9,351.3,240.0
6800.0,476.1,669.2,365.3,265.6
6900.0,479.1,661.4,371.8,264.3
7000.0,443.0,639.2,348.7,216.5
7100.0,432.6,621.1,345.6,221.2
7200.0,476.4,642.4,351.7,285.7
7300.0,438.4,633.9,347.7,193.8
7400.0,466.8,664.2,374.5,261.9
7500.0,491.2,676.9,374.7,269.5
7600.0,460.7,644.8,345.6,255.2
7700.0,428.0,622.8,335.7,190.2
7800.0,437.3,635.9,337.2,233.0
7900.0,443.3,621.4,346.3,204.7
8000.0,500.1,682.8,382.0,260.0
8100.0,476.2,665.7,359.9,266.9
8200.0,445.1,621.0,336.0,196.5
8300.0,480.5,659.9,378.8,247.5
8400.0,436.8,626.6,346.0,195.2
8500.0,484.5,677.4,379.4,264.3
8600.0,449.3,637.2,347.3,215.8
8700.0,448.4,625.8,341.6,219.4
8800.0,443.9,645.1,346.3,201.4
8900.0,446.9,629.5,337.6,209.9
9000.0,476.0,677.8,382.0,251.0
9100.0,440.3,623.4,341.2,201.7
9200.0,479.9,666.9,382.0,255.9
9300.0,482.0,663.5,362.2,287.6
9400.0,461.9,636.1,351.5,265.4
9500.0,434.2,646.7,347.0,201.6
9600.0,435.9,636.9,343.1,204.2
9700.0,440.9,629.3,336.9,224.2
9800.0,437.1,621.3,339.4,199.2
9900.0,452.7,654.8,346.3,238.3
10000.0,446.8,648.4,345.4,196.8
10100.0,452.6,624.6,335.0,202.6
10200.0,442.6,646.7,342.2,205.2
10300.0,474.7,639.0,357.0,277.0
10400.0,439.3,631.1,335.3,206.4
10500.0,445.9,641.6,343.1,220.7
10600.0,489.3,660.7,381.7,248.9
10700.0,444.5,639.4,341.9,221.5
10800.0,432.3,628.0,338.2,189.3
10900.0,449.2,634.6,341.3,222.2
11000.0,461.8,640.0,353.8,256.7
11100.0,449.3,622.2,342.2,201.2
11200.0,453.8,633.7,352.7,234.3
11300.0,431.8,621.0,337.2,201.5
11400.0,435.1,625.6,336.4,200.9
11500.0,431.1,627.6,338.6,193.6
11600.0,505.6,675.8,382.0,271.4
11700.0,509.0,675.5,373.0,308.0
11800.0,477.0,671.9,359.3,255.4
11900.0,453.7,647.4,347.6,202.9
12000.0,457.3,639.1,350.3,223.3
12100.0,429.8,633.2,342.5,191.0
12200.0,446.0,638.1,343.0,201.2
12300.0,446.1,650.2,350.9,200.4
12400.0,441.1,644.9,335.3,195.4
12500.0,442.0,635.8,335.2,193.0
12600.0,476.6,675.4,362.5,293.3
12700.0,460.6,645.7,355.2,267.5
12800.0,494.9,665.9,375.1,305.0
12900.0,487.7,668.3,364.6,286.6
13000.0,479.0,672.1,369.1,258.7
13100.0,441.3,627.1,343.0,201.5
13200.0,480.7,648.9,355.3,290.4
13300.0,466.0,642.1,347.0,251.0
13400.0,479.3,659.3,370.3,248.3
13500.0,445.3,639.3,341.8,207.6
13600.0,476.5,669.9,365.7,265.5
13700.0,465.8,641.2,353.5,266.2
13800.0,446.5,637.5,339.9,208.7
13900.0,433.9,640.4,342.5,198.2
14000.0,507.2,686.0,377.0,272.3
14100.0,488.1,681.6,380.8,261.9
14200.0,487.8,674.5,381.7,248.9
14300.0,435.4,621.0,337.5,186.0
14400.0,449.4,646.0,336.2,196.8
14500.0,475.0,636.5,350.9,295.3
14600.0,439.6,632.9,345.4,210.3
14700.0,437.4,629.1,340.2,190.4
14800.0,468.1,654.9,348.2,264.8
14900.0,473.5,674.0,360.9,270.1
15000.0,436.1,645.7,344.5,201.7
15100.0,507.9,686.0,382.0,265.5
15200.0,442.2,636.0,341.2,201.9
15300.0,451.0,635.1,349.5,214.0
15400.0,495.9,686.0,381.3,300.1
15500.0,461.6,637.6,345.7,232.4
15600.0,492.9,672.3,382.0,272.2
15700.0,508.4,680.4,379.8,287.9
15800.0,445.8,648.7,350.9,263.2
15900.0,479.7,654.2,359.4,283.0
16000.0,445.3,627.6,336.8,200.4
16100.0,481.3,665.9,382.0,252.9
16200.0,443.4,634.9,349.5,192.4
16300.0,449.2,635.5,352.9,231.0
16400.0,442.4,626.0,344.8,201.9
16500.0,444.3,627.2,344.6,203.5
16600.0,439.4,636.9,340.0,218.8
16700.0,448.9,625.7,342.6,200.1
16800.0,490.6,674.7,363.5,274.2
16900.0,463.2,641.0,353.9,277.2
17000.0,428.0,621.0,339.0,192.2
17100.0,435.8,621.0,344.2,231.1
17200.0,480.0,660.8,352.8,292.5
17300.0,509.0,677.7,382.0,295.0
17400.0,443.1,636.9,345.5,206.5
17500.0,439.8,625.1,341.7,214.3
17600.0,438.0,642.0,343.7,202.4
17700.0,481.8,684.5,382.0,256.9
17800.0,463.7,662.0,358.7,262.2
17900.0,437.8,625.1,342.3,225.1
18000.0,465.5,640.0,344.5,286.4
18100.0,448.9,630.6,340.9,199.7
18200.0,445.1,633.8,335.0,201.1
18300.0,457.7,633.3,352.6,233.0
18400.0,506.3,686.0,375.6,265.8
