timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,567.7,918.0,663.0,721.0
100.0,573.3,918.8,657.1,717.9
200.0,565.0,926.0,663.0,708.5
300.0,564.1,926.0,663.0,702.9
400.0,563.7,918.1,656.1,709.5
500.0,575.0,918.0,657.1,720.6
600.0,570.9,918.0,656.0,683.0
700.0,563.0,926.0,657.7,724.0
800.0,569.1,918.0,652.7,701.8
900.0,573.8,926.0,663.0,728.0
1000.0,574.3,918.0,658.0,721.1
1100.0,573.7,926.0,663.0,728.0
1200.0,571.7,920.9,659.3,699.1
1300.0,574.5,925.2,660.3,696.6
1400.0,563.0,926.0,654.7,691.9
1500.0,563.0,923.6,662.0,705.8
1600.0,569.9,918.0,652.3,728.0
1700.0,570.2,918.0,652.0,706.5
1800.0,573.9,918.1,652.0,713.9
1900.0,568.2,922.9,663.0,728.0
2000.0,575.0,926.0,658.0,721.7
2100.0,563.0,918.0,663.0,683.0
2200.0,563.0,926.0,663.0,725.8
2300.0,563.0,921.8,652.0,720.2
2400.0,563.0,926.0,657.6,714.0
2500.0,575.0,926.0,660.3,728.0
2600.0,563.0,918.0,662.7,693.1
2700.0,575.0,926.0,663.0,717.3
2800.0,563.0,926.0,663.0,728.0
2900.0,563.5,926.0,663.0,728.0
3000.0,564.0,926.0,652.0,683.0
3100.0,572.0,926.0,652.0,709.9
3200.0,563.0,918.0,652.0,703.4
3300.0,571.4,918.7,652.9,695.4
3400.0,563.0,918.0,652.0,702.6
3500.0,567.0,920.4,657.6,704.1
3600.0,570.9,918.0,663.0,699.6
3700.0,572.6,918.0,657.4,713.4
3800.0,563.4,918.0,652.0,715.2
3900.0,566.7,926.0,652.0,695.7
4000.0,563.2,918.0,662.5,713.6
4100.0,572.9,926.0,663.0,699.4
4200.0,564.7,918.0,652.0,683.0
4300.0,574.5,918.0,652.0,693.2
4400.0,575.0,918.9,663.0,725.0
4500.0,563.0,918.0,663.0,693.0
4600.0,564.3,918.0,656.2,683.0
4700.0,563.0,926.0,652.0,720.8
4800.0,567.0,918.0,663.0,704.7
4900.0,563.6,926.0,663.0,728.0
5000.0,570.5,918.0,652.0,686.4
5100.0,575.0,926.0,663.0,722.2
5200.0,563.0,926.0,652.0,704.2
5300.0,563.0,926.0,652.0,700.2
5400.0,572.8,926.0,658.3,712.2
5500.0,566.5,918.0,660.9,713.9
5600.0,563.0,926.0,652.0,710.3
5700.0,563.0,926.0,660.7,704.4
5800.0,563.0,918.0,662.3,716.9
5900.0,575.0,926.0,652.0,717.8
6000.0,563.0,918.0,652.0,704.7
6100.0,567.8,918.0,663.0,708.8
6200.0,563.0,926.0,653.0,717.3
6300.0,575.0,926.0,662.4,719.4
6400.0,572.4,926.0,663.0,728.0
6500.0,573.5,926.0,659.0,718.4
6600.0,573.5,926.0,655.3,713.2
6700.0,575.0,923.4,661.9,716.8
6800.0,569.9,926.0,652.0,728.0
6900.0,563.0,926.0,653.1,714.9
7000.0,569.8,918.0,652.0,693.1
7100.0,567.1,926.0,652.0,690.6
7200.0,570.4,918.0,656.7,724.0
7300.0,563.0,926.0,656.0,696.1
7400.0,568.9,926.0,660.9,715.5
7500.0,566.2,918.0,660.1,694.7
7600.0,569.5,918.6,653.6,700.5
7700.0,568.1,924.0,660.7,728.0
7800.0,563.0,918.0,652.0,713.2
7900.0,563.0,926.0,652.0,699.4
8000.0,563.0,923.8,652.0,694.2
8100.0,563.2,918.0,657.3,728.0
8200.0,564.3,923.4,659.9,694.6
8300.0,565.2,918.0,657.2,728.0
8400.0,563.0,921.5,654.1,699.8
8500.0,575.0,926.0,663.0,713.2
8600.0,563.0,926.0,652.0,728.0
8700.0,563.0,918.0,652.0,707.9
8800.0,568.9,926.0,652.0,683.0
8900.0,575.0,923.1,652.0,707.2
9000.0,563.0,918.0,652.0,692.3
9100.0,574.0,918.0,660.0,683.0
9200.0,575.0,918.0,655.3,713.7
9300.0,567.1,918.0,661.2,683.0
9400.0,565.4,926.0,652.0,715.2
9500.0,564.3,918.6,660.1,716.1
9600.0,575.0,920.0,661.9,728.0
9700.0,569.2,918.0,654.9,711.5
9800.0,574.2,918.0,658.5,709.9
9900.0,575.0,924.5,658.6,713.7
10000.0,563.0,918.0,663.0,698.7
10100.0,570.8,918.0,652.0,716.7
10200.0,569.5,926.0,663.0,722.1
10300.0,563.0,922.0,660.4,724.9
10400.0,575.0,926.0,663.0,715.1
10500.0,565.4,918.9,659.4,706.6
10600.0,565.6,924.2,663.0,708.0
10700.0,569.0,926.0,662.4,713.4
10800.0,565.4,923.6,663.0,712.9
10900.0,570.0,918.0,657.2,704.3
11000.0,573.7,926.0,659.7,713.3
11100.0,566.8,918.0,656.6,702.5
11200.0,570.0,918.0,659.9,710.5
11300.0,573.8,918.0,656.2,683.0
11400.0,566.9,918.0,660.4,696.3
11500.0,567.1,918.0,661.8,728.0
11600.0,575.0,918.0,660.7,716.1
11700.0,563.0,918.0,652.0,698.5
11800.0,563.0,918.0,663.0,712.9
11900.0,563.3,926.0,653.1,683.0
12000.0,565.1,918.0,661.4,722.9
12100.0,569.7,926.0,662.2,696.0
12200.0,575.0,918.0,660.4,722.2
12300.0,565.9,918.0,652.0,695.2
12400.0,567.6,926.0,663.0,728.0
12500.0,574.6,918.0,662.4,707.5
12600.0,563.3,918.0,663.0,713.3
12700.0,574.1,918.0,663.0,728.0
12800.0,563.0,922.8,652.0,719.0
12900.0,572.6,924.8,663.0,710.5
13000.0,564.6,923.4,652.0,719.6
13100.0,563.0,918.0,662.4,717.5
13200.0,575.0,922.9,663.0,728.0
13300.0,566.9,918.0,663.0,692.6
13400.0,574.3,918.0,652.0,691.6
13500.0,564.9,918.0,658.4,691.9
13600.0,572.8,920.6,652.0,691.3
13700.0,569.9,926.0,659.2,721.5
13800.0,565.8,926.0,652.0,684.7
13900.0,571.3,926.0,655.4,690.4
14000.0,575.0,926.0,661.5,725.0
14100.0,572.2,918.0,654.1,713.4
