timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,557.0,923.0,654.0,725.1
100.0,564.0,923.0,654.0,733.2
200.0,557.0,921.0,654.0,724.0
300.0,557.0,921.0,652.6,724.0
400.0,561.2,921.0,654.0,724.3
500.0,561.8,923.0,650.0,734.0
600.0,564.0,921.0,654.0,724.0
700.0,564.0,921.0,654.0,734.0
800.0,564.0,923.0,650.0,724.0
900.0,564.0,923.0,650.0,731.6
1000.0,564.0,921.0,654.0,724.0
1100.0,564.0,921.0,654.0,728.5
1200.0,557.0,923.0,654.0,727.7
1300.0,557.0,921.0,654.0,730.2
1400.0,557.0,921.0,650.0,734.0
1500.0,559.5,923.0,650.0,734.0
1600.0,558.0,923.0,654.0,724.0
1700.0,557.0,923.0,651.6,726.3
1800.0,561.2,921.0,650.0,729.4
1900.0,557.0,923.0,654.0,727.6
2000.0,564.0,921.0,654.0,724.0
2100.0,564.0,921.0,650.0,734.0
2200.0,564.0,921.0,652.6,734.0
2300.0,557.0,921.0,654.0,734.0
2400.0,557.0,921.0,654.0,734.0
2500.0,557.0,923.0,650.0,732.4
2600.0,560.3,921.0,654.0,728.9
2700.0,564.0,923.0,654.0,726.0
2800.0,563.3,923.0,654.0,734.0
2900.0,557.0,923.0,650.9,734.0
3000.0,560.4,921.0,650.0,727.1
3100.0,557.0,923.0,654.0,734.0
3200.0,557.0,923.0,650.0,734.0
3300.0,559.0,921.0,650.0,726.6
3400.0,559.7,923.0,654.0,734.0
3500.0,564.0,921.0,650.0,725.2
3600.0,564.0,921.0,652.4,724.0
3700.0,557.0,923.0,654.0,734.0
3800.0,557.0,921.0,650.0,725.8
3900.0,564.0,923.0,654.0,734.0
4000.0,564.0,921.0,650.0,734.0
4100.0,557.0,921.9,650.0,727.2
4200.0,557.0,923.0,654.0,724.0
4300.0,557.0,923.0,650.0,734.0
4400.0,560.1,923.0,650.0,734.0
4500.0,564.0,921.0,650.0,734.0
4600.0,564.0,923.0,654.0,724.0
4700.0,557.0,923.0,650.0,732.1
4800.0,563.6,923.0,650.0,734.0
4900.0,564.0,921.0,654.0,734.0
5000.0,564.0,923.0,650.0,734.0
5100.0,564.0,923.0,653.9,729.3
5200.0,564.0,921.0,650.0,728.9
5300.0,564.0,921.0,650.0,734.0
5400.0,557.4,923.0,654.0,724.0
5500.0,557.0,923.0,652.9,734.0
5600.0,563.9,921.0,650.0,734.0
5700.0,564.0,923.0,654.0,724.0
5800.0,557.0,923.0,654.0,724.0
5900.0,558.3,921.0,654.0,725.3
6000.0,564.0,923.0,651.1,724.8
6100.0,557.0,923.0,651.6,734.0
6200.0,558.8,921.0,654.0,734.0
6300.0,557.0,922.1,650.0,724.0
6400.0,557.0,921.0,650.0,724.0
6500.0,557.0,921.0,651.5,724.0
6600.0,557.0,923.0,650.0,724.1
6700.0,557.0,923.0,650.6,730.4
6800.0,562.3,921.0,650.0,724.0
6900.0,564.0,921.0,654.0,734.0
7000.0,563.3,923.0,654.0,734.0
7100.0,557.0,921.9,654.0,726.3
7200.0,557.0,921.0,650.0,724.0
7300.0,564.0,923.0,653.7,724.0
7400.0,564.0,921.0,654.0,724.0
7500.0,564.0,923.0,650.0,734.0
7600.0,557.0,921.0,650.0,734.0
7700.0,558.1,921.0,653.6,725.9
7800.0,557.6,921.0,654.0,734.0
7900.0,564.0,921.0,654.0,725.7
8000.0,557.0,921.0,650.0,734.0
8100.0,557.0,921.0,654.0,734.0
8200.0,557.0,923.0,650.0,733.6
8300.0,557.0,921.0,650.0,734.0
8400.0,557.0,921.0,654.0,733.3
8500.0,557.0,923.0,650.0,724.0
8600.0,557.0,923.0,651.1,734.0
8700.0,564.0,923.0,650.0,729.4
8800.0,557.0,921.0,650.0,732.0
8900.0,557.0,921.0,650.5,734.0
9000.0,557.0,922.6,650.0,724.0
9100.0,557.0,923.0,654.0,734.0
9200.0,557.0,921.0,654.0,734.0
9300.0,564.0,923.0,650.0,724.0
9400.0,564.0,921.9,654.0,734.0
9500.0,564.0,921.0,654.0,724.0
9600.0,564.0,921.5,654.0,724.0
9700.0,564.0,921.0,654.0,724.0
9800.0,564.0,921.0,654.0,724.0
9900.0,557.0,923.0,650.0,734.0
10000.0,564.0,923.0,654.0,734.0
10100.0,564.0,923.0,651.3,731.9
10200.0,564.0,923.0,654.0,724.0
10300.0,563.6,923.0,654.0,732.1
10400.0,564.0,921.3,650.0,734.0
10500.0,564.0,921.0,654.0,726.0
10600.0,564.0,921.0,650.0,734.0
10700.0,558.2,921.0,650.0,725.2
10800.0,558.5,921.0,652.1,724.0
10900.0,557.0,923.0,650.0,727.0
11000.0,557.0,921.0,654.0,724.0
