timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,547.0,915.0,639.3,718.9
100.0,547.0,919.0,644.0,709.2
200.0,553.0,919.0,639.0,718.8
300.0,547.0,919.0,643.6,710.9
400.0,547.0,915.0,642.7,709.5
500.0,547.0,918.6,644.0,714.5
600.0,553.0,915.0,644.0,719.0
700.0,551.0,919.0,639.0,716.3
800.0,553.0,919.0,639.5,719.0
900.0,553.0,919.0,644.0,717.3
1000.0,553.0,915.0,644.0,719.0
1100.0,553.0,915.0,644.0,719.0
1200.0,553.0,915.0,639.0,717.8
1300.0,548.3,915.0,644.0,717.8
1400.0,553.0,919.0,639.0,706.0
1500.0,553.0,915.0,640.6,706.0
1600.0,549.7,915.0,639.0,707.2
1700.0,547.5,919.0,639.0,706.0
1800.0,547.0,919.0,643.4,715.1
1900.0,548.8,919.0,639.0,706.0
2000.0,547.0,919.0,639.0,714.6
2100.0,553.0,915.0,639.6,719.0
2200.0,552.8,915.0,644.0,706.0
2300.0,553.0,919.0,644.0,719.0
2400.0,548.0,915.0,639.8,719.0
2500.0,547.5,915.0,640.6,719.0
2600.0,552.3,915.0,642.7,706.9
2700.0,550.2,919.0,644.0,719.0
2800.0,553.0,919.0,639.0,719.0
2900.0,552.5,915.0,644.0,711.6
3000.0,549.2,919.0,639.0,715.5
3100.0,553.0,919.0,644.0,715.8
3200.0,547.8,915.0,639.0,711.6
3300.0,547.0,919.0,643.2,716.1
3400.0,547.6,915.0,639.0,719.0
3500.0,553.0,919.0,644.0,706.0
3600.0,547.0,919.0,639.3,706.0
3700.0,553.0,915.0,641.7,706.0
3800.0,553.0,919.0,639.0,707.6
3900.0,547.0,915.0,644.0,717.1
4000.0,547.0,916.5,644.0,708.4
4100.0,553.0,919.0,644.0,706.0
4200.0,553.0,919.0,639.0,719.0
4300.0,551.3,917.6,644.0,706.0
4400.0,553.0,917.4,644.0,713.6
4500.0,547.0,919.0,641.6,719.0
4600.0,553.0,915.0,640.5,712.0
4700.0,553.0,919.0,639.0,706.0
4800.0,553.0,917.3,644.0,707.1
4900.0,547.0,915.0,644.0,715.1
5000.0,553.0,916.1,639.0,719.0
5100.0,547.8,915.0,639.0,712.6
5200.0,547.0,915.0,644.0,706.0
5300.0,553.0,915.0,639.0,719.0
5400.0,553.0,919.0,639.0,712.7
5500.0,547.0,915.0,644.0,719.0
5600.0,553.0,915.0,639.0,719.0
5700.0,553.0,919.0,639.0,719.0
5800.0,547.0,915.0,639.0,717.1
5900.0,553.0,915.0,644.0,717.9
6000.0,547.0,917.4,644.0,709.0
6100.0,547.2,919.0,643.4,719.0
6200.0,551.7,915.0,639.0,708.3
6300.0,547.0,919.0,644.0,716.7
6400.0,549.2,919.0,644.0,719.0
6500.0,553.0,915.0,640.1,707.4
6600.0,553.0,915.0,639.0,713.7
6700.0,553.0,919.0,644.0,711.6
6800.0,553.0,915.6,644.0,719.0
6900.0,547.0,919.0,639.0,706.0
7000.0,553.0,915.0,644.0,719.0
7100.0,547.0,915.0,644.0,719.0
7200.0,553.0,915.0,644.0,717.1
7300.0,553.0,919.0,644.0,706.8
7400.0,553.0,919.0,644.0,715.7
7500.0,547.0,919.0,641.6,719.0
7600.0,552.3,919.0,639.4,711.8
7700.0,553.0,915.2,639.0,712.5
7800.0,547.0,915.0,639.0,706.7
7900.0,550.3,915.0,644.0,710.7
8000.0,547.0,915.0,639.0,708.0
8100.0,547.0,916.7,639.0,713.2
8200.0,553.0,915.0,642.7,719.0
8300.0,553.0,915.0,639.0,717.1
8400.0,551.5,915.0,644.0,712.0
8500.0,547.0,915.0,644.0,719.0
8600.0,547.0,919.0,639.0,706.0
8700.0,547.0,915.9,639.0,706.0
8800.0,549.3,919.0,644.0,710.6
8900.0,553.0,915.0,639.0,707.5
9000.0,547.0,915.0,644.0,719.0
9100.0,549.2,919.0,639.0,719.0
9200.0,553.0,919.0,639.0,719.0
9300.0,553.0,915.0,644.0,706.0
9400.0,553.0,915.0,644.0,706.0
9500.0,547.0,915.0,644.0,706.0
9600.0,547.0,917.8,644.0,710.8
9700.0,549.0,919.0,644.0,717.4
9800.0,553.0,919.0,641.2,719.0
9900.0,549.1,915.0,643.1,712.0
10000.0,551.6,919.0,644.0,717.1
10100.0,553.0,919.0,644.0,709.1
10200.0,552.0,919.0,644.0,719.0
10300.0,547.0,918.6,643.6,719.0
10400.0,547.0,915.0,644.0,719.0
10500.0,547.0,915.0,639.0,712.1
10600.0,553.0,915.0,639.0,719.0
10700.0,547.0,915.0,639.0,719.0
10800.0,553.0,915.0,644.0,717.0
10900.0,547.0,915.0,644.0,714.7
11000.0,548.9,919.0,639.0,719.0
11100.0,553.0,915.0,639.0,719.0
11200.0,547.0,915.0,639.0,706.0
11300.0,547.0,919.0,644.0,708.7
11400.0,547.6,915.0,640.0,719.0
11500.0,550.5,915.0,644.0,719.0
11600.0,550.1,919.0,639.0,706.7
11700.0,550.2,919.0,644.0,706.0
11800.0,553.0,915.0,644.0,711.4
11900.0,548.6,915.0,644.0,719.0
12000.0,547.0,915.0,639.0,709.1
12100.0,547.0,915.0,644.0,706.9
12200.0,547.0,919.0,639.0,706.0
12300.0,551.4,919.0,639.0,719.0
12400.0,552.8,919.0,644.0,716.0
12500.0,548.0,919.0,639.0,714.1
12600.0,547.0,919.0,639.0,706.0
12700.0,547.0,915.0,644.0,719.0
12800.0,553.0,919.0,639.0,719.0
12900.0,553.0,915.0,639.0,719.0
13000.0,548.2,919.0,644.0,719.0
13100.0,550.2,918.5,639.0,717.5
13200.0,547.0,915.0,639.0,719.0
13300.0,548.1,915.0,639.0,715.6
13400.0,548.4,919.0,644.0,719.0
13500.0,553.0,919.0,639.0,719.0
13600.0,547.0,919.0,644.0,719.0
13700.0,547.0,919.0,642.6,712.0
13800.0,553.0,915.0,644.0,719.0
13900.0,553.0,919.0,644.0,718.6
14000.0,553.0,919.0,640.7,708.4
14100.0,547.0,915.0,644.0,706.1
14200.0,547.0,919.0,639.0,711.0
14300.0,547.0,915.0,644.0,719.0
14400.0,551.8,915.0,639.0,718.6
14500.0,553.0,915.0,639.0,706.4
14600.0,547.6,919.0,639.0,718.3
14700.0,547.0,915.0,639.0,714.6
14800.0,547.0,919.0,639.0,708.1
14900.0,547.0,919.0,643.8,711.0
15000.0,550.1,915.0,644.0,719.0
15100.0,553.0,915.0,639.0,714.7
15200.0,553.0,915.0,641.4,719.0
15300.0,547.0,919.0,644.0,709.2
15400.0,552.5,919.0,639.0,719.0
15500.0,549.9,915.0,644.0,719.0
15600.0,553.0,918.8,644.0,710.1
15700.0,553.0,915.0,641.0,709.6
15800.0,553.0,919.0,642.0,709.7
