run_name,model,contrastive,gradient,window,seed,category,n,acc1,acc5
cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,cnn,True,25,100,42,Fruits,99,64.64646464646465,92.92929292929293
cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,cnn,True,25,100,42,Herbs,98,54.08163265306123,78.57142857142857
cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,cnn,True,25,100,42,Nuts,107,63.55140186915887,91.58878504672897
cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,cnn,True,25,100,42,Spices,98,61.224489795918366,89.79591836734694
cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,cnn,True,25,100,42,Vegetables,100,42.0,86.0
cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,lstm,True,25,100,42,Fruits,99,66.66666666666666,89.8989898989899
cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,lstm,True,25,100,42,Herbs,98,52.04081632653062,71.42857142857143
cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,lstm,True,25,100,42,Nuts,107,54.20560747663551,81.30841121495327
cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,lstm,True,25,100,42,Spices,98,54.08163265306123,87.75510204081633
cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,lstm,True,25,100,42,Vegetables,100,54.0,84.0
cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,mlp,True,25,100,42,Fruits,99,20.2020202020202,56.56565656565656
cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,mlp,True,25,100,42,Herbs,98,40.816326530612244,68.36734693877551
cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,mlp,True,25,100,42,Nuts,107,22.429906542056074,42.99065420560748
cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,mlp,True,25,100,42,Spices,98,37.755102040816325,68.36734693877551
cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,mlp,True,25,100,42,Vegetables,100,20.0,59.0
cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,transformer,True,25,100,42,Fruits,99,61.61616161616161,86.86868686868688
cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,transformer,True,25,100,42,Herbs,98,59.183673469387756,83.6734693877551
cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,transformer,True,25,100,42,Nuts,107,53.271028037383175,81.30841121495327
cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,transformer,True,25,100,42,Spices,98,63.26530612244898,86.73469387755102
cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,transformer,True,25,100,42,Vegetables,100,56.00000000000001,86.0
