model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
lstm,True,53.370267152786255,81.53278231620789,53.47910478323937,53.58565692888347,51.35961713970214,25,50,42,0.003,32,90,cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,2025-09-22T19:04:10,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24/results.jsonl
transformer,True,50.969529151916504,81.53278231620789,54.724013275692464,50.9859305130415,50.46043317283151,25,50,42,0.0003,32,90,cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,2025-09-22T18:51:42,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576/results.jsonl
transformer,True,49.67682361602783,81.99446201324463,52.959877967304244,49.69096704211121,49.07992617507886,25,50,42,0.001,32,90,cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.001-seed42-20250922-185800-3896e4,2025-09-22T18:59:15,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.001-seed42-20250922-185800-3896e4/results.jsonl
transformer,True,48.01477491855621,83.56417417526245,47.82167390389943,48.26492978988975,46.154089367292165,25,50,42,0.003,32,90,cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.003-seed42-20250922-190534-862ed0,2025-09-22T19:06:53,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.003-seed42-20250922-190534-862ed0/results.jsonl
lstm,True,47.737765312194824,82.54847526550293,50.715979906627226,47.86135145175191,47.122136845963986,25,50,42,0.001,32,90,cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.001-seed42-20250922-185535-415c8a,2025-09-22T18:56:35,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.001-seed42-20250922-185535-415c8a/results.jsonl
cnn,True,45.98338007926941,84.0258538722992,55.779217576865584,45.8881062834953,44.627976849220474,25,50,42,0.001,32,90,cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,2025-09-22T18:54:25,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20/results.jsonl
lstm,True,45.98338007926941,80.70175647735596,46.914119671037504,46.097717069353216,44.36280132330288,25,50,42,0.0003,32,90,cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184801-fa4e5e,2025-09-22T18:49:01,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184801-fa4e5e/results.jsonl
cnn,True,45.521700382232666,82.27146863937378,56.19940425958028,45.54027514438269,45.16056642879096,25,50,42,0.0003,32,90,cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184611-98b84d,2025-09-22T18:46:52,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184611-98b84d/results.jsonl
cnn,True,44.1366583108902,80.70175647735596,51.48618171600881,44.32657186444372,42.61424779084463,25,50,42,0.003,32,90,cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.003-seed42-20250922-190120-4b2f6d,2025-09-22T19:02:00,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.003-seed42-20250922-190120-4b2f6d/results.jsonl
transformer,True,36.27537488937378,72.28596806526184,36.044893184909874,37.11405290361812,33.33396052307533,0,50,42,0.001,32,90,cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.001-seed42-20250922-185638-9ddcce,2025-09-22T18:57:57,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.001-seed42-20250922-185638-9ddcce/results.jsonl
transformer,True,36.09885275363922,66.10767841339111,34.35918235801633,36.73799056016447,32.95315884324651,0,50,42,0.0003,32,90,cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184905-840ac1,2025-09-22T18:50:24,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184905-840ac1/results.jsonl
transformer,True,35.21623909473419,67.25507378578186,32.63826505570012,35.729708407534496,31.810894427054986,0,50,42,0.003,32,90,cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.003-seed42-20250922-190413-773eed,2025-09-22T19:05:31,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.003-seed42-20250922-190413-773eed/results.jsonl
lstm,True,29.744043946266174,64.87202048301697,27.232626035314027,30.11280690324169,26.477986203664795,0,50,42,0.003,32,90,cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.003-seed42-20250922-190204-6fddec,2025-09-22T19:03:06,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.003-seed42-20250922-190204-6fddec/results.jsonl
cnn,True,28.42012345790863,69.37334537506104,33.882964016193235,28.34338125642473,26.199870109494782,0,50,42,0.0003,32,90,cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184523-197d21,2025-09-22T18:46:08,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184523-197d21/results.jsonl
lstm,True,28.067079186439514,60.98852753639221,25.838642142835695,28.449454892933158,24.839192969819823,0,50,42,0.0003,32,90,cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184655-12af11,2025-09-22T18:47:57,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184655-12af11/results.jsonl
lstm,True,26.478376984596252,63.548099994659424,26.282628213829234,27.05871751436969,25.261560886248528,0,50,42,0.001,32,90,cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.001-seed42-20250922-185428-9ad982,2025-09-22T18:55:31,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.001-seed42-20250922-185428-9ad982/results.jsonl
cnn,True,24.18358325958252,67.60811805725098,26.40339524990428,24.051294936947112,21.131137508686994,0,50,42,0.003,32,90,cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.003-seed42-20250922-190034-ab597e,2025-09-22T19:01:16,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.003-seed42-20250922-190034-ab597e/results.jsonl
cnn,True,24.09532219171524,67.16681718826294,26.79243943443789,24.23075040901128,21.57205253586541,0,50,42,0.001,32,90,cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.001-seed42-20250922-185259-f8686e,2025-09-22T18:53:40,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.001-seed42-20250922-185259-f8686e/results.jsonl
mlp,True,23.822714388370514,60.2031409740448,27.824019702897544,23.827893349975728,23.24266736827172,25,50,42,0.0003,32,90,cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,2025-09-22T18:45:20,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251/results.jsonl
mlp,True,23.654016852378845,57.19329118728638,19.581802891238205,23.604411820063994,19.410722124825718,0,50,42,0.0003,32,90,cSEL_grad_w50-mlp-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184403-00c066,2025-09-22T18:44:43,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw50/cSEL_grad_w50-mlp-c1-g0-w50-bs32-lr0.0003-seed42-20250922-184403-00c066/results.jsonl
