model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
lstm,False,57.96812749003985,87.05179282868527,59.04978077478077,58.12626262626262,56.00793339627772,25,100,42,0.003,32,90,SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,2025-09-22T04:40:45,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6/results.jsonl
transformer,False,56.17529880478087,87.45019920318725,59.86145248513669,56.28383838383838,55.569297442730594,25,100,42,0.0003,32,90,SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,2025-09-22T04:35:18,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7/results.jsonl
lstm,False,53.78486055776892,87.25099601593625,54.788024823473734,53.67676767676767,51.72987805591167,25,100,42,0.001,32,90,SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.001-seed42-20250922-043656-3318d6,2025-09-22T04:37:26,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.001-seed42-20250922-043656-3318d6/results.jsonl
cnn,False,52.788844621513945,85.65737051792829,58.434328595842224,52.733333333333334,50.517519077443694,25,100,42,0.003,32,90,SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,2025-09-22T04:39:37,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6/results.jsonl
cnn,False,52.589641434262944,86.25498007968127,55.552598798187034,52.160606060606064,49.59482960631516,25,100,42,0.001,32,90,SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.001-seed42-20250922-043604-98c400,2025-09-22T04:36:18,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.001-seed42-20250922-043604-98c400/results.jsonl
transformer,False,52.589641434262944,84.4621513944223,55.433068173656416,52.726262626262624,51.178649385198824,25,100,42,0.003,32,90,SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20250922-044123-fc18b6,2025-09-22T04:41:55,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20250922-044123-fc18b6/results.jsonl
cnn,False,49.60159362549801,84.4621513944223,59.15021336466817,49.76161616161616,48.27858887067389,25,100,42,0.0003,32,90,SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043246-aec8ae,2025-09-22T04:32:59,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043246-aec8ae/results.jsonl
transformer,False,48.60557768924303,82.47011952191235,52.81495360515734,48.49090909090909,47.619437697107685,25,100,42,0.001,32,90,SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20250922-043805-35f10d,2025-09-22T04:38:36,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20250922-043805-35f10d/results.jsonl
lstm,False,42.82868525896414,80.47808764940238,44.709439558736236,42.8010101010101,40.25652635223211,25,100,42,0.0003,32,90,SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043337-7ee1ee,2025-09-22T04:34:07,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043337-7ee1ee/results.jsonl
transformer,False,39.92467043314501,74.76459510357816,35.19691189266141,40.24444444444445,35.783278575873574,0,100,42,0.0003,32,90,SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043410-d00cef,2025-09-22T04:34:43,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043410-d00cef/results.jsonl
transformer,False,35.59322033898305,73.06967984934086,32.47107206518971,36.38383838383839,31.999955195889555,0,100,42,0.001,32,90,SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20250922-043729-3a64b0,2025-09-22T04:38:02,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20250922-043729-3a64b0/results.jsonl
transformer,False,32.20338983050847,72.12806026365348,26.749780429187204,32.76161616161616,27.842285728643386,0,100,42,0.003,32,90,SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20250922-044047-cabdda,2025-09-22T04:41:20,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20250922-044047-cabdda/results.jsonl
cnn,False,29.566854990583803,66.66666666666666,26.247173122122412,29.23863636363636,24.965015158833975,0,100,42,0.0003,32,90,SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043229-d80363,2025-09-22T04:32:43,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043229-d80363/results.jsonl
cnn,False,29.19020715630885,68.17325800376648,28.218752479124,28.560606060606062,25.652947532219354,0,100,42,0.001,32,90,SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.001-seed42-20250922-043548-2712bf,2025-09-22T04:36:02,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.001-seed42-20250922-043548-2712bf/results.jsonl
lstm,False,28.8135593220339,58.00376647834275,27.716566586148627,29.280808080808086,27.236633166356828,0,100,42,0.0003,32,90,SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043302-8d68a2,2025-09-22T04:33:34,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.0003-seed42-20250922-043302-8d68a2/results.jsonl
lstm,False,27.683615819209038,72.12806026365348,26.861326091252792,28.00555555555555,23.913587820288534,0,100,42,0.001,32,90,SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.001-seed42-20250922-043621-fafbc1,2025-09-22T04:36:52,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.001-seed42-20250922-043621-fafbc1/results.jsonl
lstm,False,27.11864406779661,70.80979284369114,22.840701327657847,27.921212121212125,23.757245884415756,0,100,42,0.003,32,90,SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.003-seed42-20250922-043940-092688,2025-09-22T04:40:11,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-lstm-c0-g0-w100-bs32-lr0.003-seed42-20250922-043940-092688/results.jsonl
mlp,False,26.89243027888446,59.76095617529881,33.00649885131055,26.486868686868686,24.71419853587594,25,100,42,0.003,32,90,SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,2025-09-22T04:39:03,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892/results.jsonl
mlp,False,25.697211155378486,59.16334661354582,29.52672262453369,25.5050505050505,23.941643828393353,25,100,42,0.0003,32,90,SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043216-f420ff,2025-09-22T04:32:27,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043216-f420ff/results.jsonl
cnn,False,25.423728813559322,64.97175141242938,23.676248233970174,25.025757575757574,21.197101495464057,0,100,42,0.003,32,90,SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.003-seed42-20250922-043906-62e2f5,2025-09-22T04:39:21,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w100/SEL_grad_w100-cnn-c0-g0-w100-bs32-lr0.003-seed42-20250922-043906-62e2f5/results.jsonl
